                                                                                                                                                                                                                                                                
                        1                        2                        3                        4
                        l                     n_pg                Re(omega)                Im(omega)
                        2                      -65  0.1038306382735207E+000  0.0000000000000000E+000
                        1                        2                        3                        4                        5
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)
  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.5000001000155178E-003 -0.4104379437356005E+001  0.0000000000000000E+000 -0.2045171553421631E+001  0.0000000000000000E+000
  0.5416667750168109E-003 -0.4442456228481525E+001  0.0000000000000000E+000 -0.2212311445598582E+001  0.0000000000000000E+000
  0.5833334500181041E-003 -0.4779587222717669E+001  0.0000000000000000E+000 -0.2378665324277753E+001  0.0000000000000000E+000
  0.6250001250193972E-003 -0.5115700925799522E+001  0.0000000000000000E+000 -0.2544174211710320E+001  0.0000000000000000E+000
  0.6666668000206903E-003 -0.5450726128261592E+001  0.0000000000000000E+000 -0.2708779456081140E+001  0.0000000000000000E+000
  0.7500001500232767E-003 -0.6117227726218160E+001  0.0000000000000000E+000 -0.3035046176890050E+001  0.0000000000000000E+000
  0.8333335000258630E-003 -0.6778528734773528E+001  0.0000000000000000E+000 -0.3357003663822447E+001  0.0000000000000000E+000
  0.9166668500284493E-003 -0.7434071622986197E+001  0.0000000000000000E+000 -0.3674196761362481E+001  0.0000000000000000E+000
  0.1000000200031036E-002 -0.8083305217957031E+001  0.0000000000000000E+000 -0.3986177685618793E+001  0.0000000000000000E+000
  0.1125000225034915E-002 -0.9044137271270705E+001  0.0000000000000000E+000 -0.4443416734156784E+001  0.0000000000000000E+000
  0.1250000250038795E-002 -0.9987746484036654E+001  0.0000000000000000E+000 -0.4886494592934147E+001  0.0000000000000000E+000
  0.1375000275042674E-002 -0.1091237129184346E+002  0.0000000000000000E+000 -0.5314014014406182E+001  0.0000000000000000E+000
  0.1500000300046553E-002 -0.1181629709584437E+002  0.0000000000000000E+000 -0.5724631815997537E+001  0.0000000000000000E+000
  0.1666667000051726E-002 -0.1298646580634328E+002  0.0000000000000000E+000 -0.6243619709937134E+001  0.0000000000000000E+000
  0.1833333700056899E-002 -0.1411309672084895E+002  0.0000000000000000E+000 -0.6727415740191170E+001  0.0000000000000000E+000
  0.2000000400062071E-002 -0.1519259166288422E+002  0.0000000000000000E+000 -0.7173368419588638E+001  0.0000000000000000E+000
  0.2250000450069830E-002 -0.1671609290926713E+002  0.0000000000000000E+000 -0.7766117615501156E+001  0.0000000000000000E+000
  0.2500000500077589E-002 -0.1811544887141327E+002  0.0000000000000000E+000 -0.8261229410679567E+001  0.0000000000000000E+000
  0.2750000550085348E-002 -0.1938136102475995E+002  0.0000000000000000E+000 -0.8652943136141770E+001  0.0000000000000000E+000
  0.3000000600093107E-002 -0.2050582377552157E+002  0.0000000000000000E+000 -0.8936918548124888E+001  0.0000000000000000E+000
  0.3250000650100866E-002 -0.2148219355547094E+002  0.0000000000000000E+000 -0.9110290387368437E+001  0.0000000000000000E+000
  0.3500000700108625E-002 -0.2230524273401807E+002  0.0000000000000000E+000 -0.9171701572722538E+001  0.0000000000000000E+000
  0.3750000750116384E-002 -0.2297119782998547E+002  0.0000000000000000E+000 -0.9121314602202496E+001  0.0000000000000000E+000
  0.4000000800124142E-002 -0.2347776168983594E+002  0.0000000000000000E+000 -0.8960801068572737E+001  0.0000000000000000E+000
  0.4500000900139660E-002 -0.2401092868123865E+002  0.0000000000000000E+000 -0.8323412326406009E+001  0.0000000000000000E+000
  0.5000001000155178E-002 -0.2391572101303212E+002  0.0000000000000000E+000 -0.7301349441631049E+001  0.0000000000000000E+000
  0.5500001100170696E-002 -0.2322547675672796E+002  0.0000000000000000E+000 -0.5956412342675297E+001  0.0000000000000000E+000
  0.6000001200186214E-002 -0.2199388801584971E+002  0.0000000000000000E+000 -0.4366640892119992E+001  0.0000000000000000E+000
  0.6500001300201732E-002 -0.2029216696352132E+002  0.0000000000000000E+000 -0.2621687107429239E+001  0.0000000000000000E+000
  0.7000001400217250E-002 -0.1820553319450470E+002  0.0000000000000000E+000 -0.8175869220675328E+000  0.0000000000000000E+000
  0.7500001500232768E-002 -0.1582920039583944E+002  0.0000000000000000E+000  0.9487542156033714E+000  0.0000000000000000E+000
  0.8000001600248286E-002 -0.1326406043207481E+002  0.0000000000000000E+000  0.2585034091545941E+001  0.0000000000000000E+000
  0.8500001700263805E-002 -0.1061227275078737E+002  0.0000000000000000E+000  0.4008663522818452E+001  0.0000000000000000E+000
  0.9000001800279323E-002 -0.7972966246757204E+001  0.0000000000000000E+000  0.5151217859340240E+001  0.0000000000000000E+000
  0.9500001900294840E-002 -0.5438249615585359E+001  0.0000000000000000E+000  0.5961978405706528E+001  0.0000000000000000E+000
  0.1000000200031036E-001 -0.3089705571482551E+001  0.0000000000000000E+000  0.6410370353532487E+001  0.0000000000000000E+000
  0.1050000210032588E-001 -0.9955153764737061E+000  0.0000000000000000E+000  0.6487173103302479E+001  0.0000000000000000E+000
  0.1100000220034139E-001  0.7916753765276473E+000  0.0000000000000000E+000  0.6204454815263184E+001  0.0000000000000000E+000
  0.1150000230035691E-001  0.2236078871399096E+001  0.0000000000000000E+000  0.5594260713924156E+001  0.0000000000000000E+000
  0.1200000240037243E-001  0.3319246667842529E+001  0.0000000000000000E+000  0.4706159415799699E+001  0.0000000000000000E+000
