                                                                                                                                                                                                                                                                
                        1                        2                        3                        4
                        l                     n_pg                Re(omega)                Im(omega)
                        3                        6  0.1070534801882872E+002  0.0000000000000000E+000
                        1                        2                        3                        4                        5
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)
  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1000000200031036E-002  0.5150154966740875E-005  0.0000000000000000E+000  0.1716720983849296E-005  0.0000000000000000E+000
  0.1062500212532975E-002  0.5814040594247952E-005  0.0000000000000000E+000  0.1938016924048894E-005  0.0000000000000000E+000
  0.1125000225034915E-002  0.6518161331720877E-005  0.0000000000000000E+000  0.2172724709499710E-005  0.0000000000000000E+000
  0.1187500237536855E-002  0.7262517112125280E-005  0.0000000000000000E+000  0.2420844334758344E-005  0.0000000000000000E+000
  0.1250000250038795E-002  0.8047107864429332E-005  0.0000000000000000E+000  0.2682375794042183E-005  0.0000000000000000E+000
  0.1312500262540734E-002  0.8871933513622735E-005  0.0000000000000000E+000  0.2957319081219448E-005  0.0000000000000000E+000
  0.1375000275042674E-002  0.9736993980725508E-005  0.0000000000000000E+000  0.3245674189802515E-005  0.0000000000000000E+000
  0.1500000300046553E-002  0.1158781903290627E-004  0.0000000000000000E+000  0.3862619843428797E-005  0.0000000000000000E+000
  0.1625000325050433E-002  0.1359958230979295E-004  0.0000000000000000E+000  0.4533212695748416E-005  0.0000000000000000E+000
  0.1750000350054312E-002  0.1577228303668309E-004  0.0000000000000000E+000  0.5257452681683466E-005  0.0000000000000000E+000
  0.1875000375058192E-002  0.1810592037526655E-004  0.0000000000000000E+000  0.6035339730192135E-005  0.0000000000000000E+000
  0.2000000400062071E-002  0.2060049342353649E-004  0.0000000000000000E+000  0.6866873764223492E-005  0.0000000000000000E+000
  0.2100000420065175E-002  0.2271202492707185E-004  0.0000000000000000E+000  0.7570726769816340E-005  0.0000000000000000E+000
  0.2200000440068278E-002  0.2492655414907590E-004  0.0000000000000000E+000  0.8308913758719535E-005  0.0000000000000000E+000
  0.2400000480074486E-002  0.2966460354524198E-004  0.0000000000000000E+000  0.9888289507426967E-005  0.0000000000000000E+000
  0.2600000520080693E-002  0.3481463695104907E-004  0.0000000000000000E+000  0.1160500063221930E-004  0.0000000000000000E+000
  0.2800000560086900E-002  0.4037664929894351E-004  0.0000000000000000E+000  0.1345904672255086E-004  0.0000000000000000E+000
  0.3000000600093107E-002  0.4635063511512912E-004  0.0000000000000000E+000  0.1545042733512824E-004  0.0000000000000000E+000
  0.3250000650100866E-002  0.5439744607701148E-004  0.0000000000000000E+000  0.1813277903923201E-004  0.0000000000000000E+000
  0.3500000700108625E-002  0.6308794397992420E-004  0.0000000000000000E+000  0.2102971417484458E-004  0.0000000000000000E+000
  0.3750000750116384E-002  0.7242211544658642E-004  0.0000000000000000E+000  0.2414123165698352E-004  0.0000000000000000E+000
  0.4000000800124142E-002  0.8239994610632849E-004  0.0000000000000000E+000  0.2746733031850236E-004  0.0000000000000000E+000
  0.4333334200134488E-002  0.9670494125201391E-004  0.0000000000000000E+000  0.3223591931148123E-004  0.0000000000000000E+000
  0.4666667600144833E-002  0.1121541528044746E-003  0.0000000000000000E+000  0.3738598055143898E-004  0.0000000000000000E+000
  0.5000001000155178E-002  0.1287475384436148E-003  0.0000000000000000E+000  0.4291751059812977E-004  0.0000000000000000E+000
  0.5333334400165524E-002  0.1464850526951187E-003  0.0000000000000000E+000  0.4883050575974573E-004  0.0000000000000000E+000
  0.5666667800175869E-002  0.1653666469364343E-003  0.0000000000000000E+000  0.5512496209606581E-004  0.0000000000000000E+000
  0.6000001200186214E-002  0.1853922693857848E-003  0.0000000000000000E+000  0.6180087539321298E-004  0.0000000000000000E+000
  0.6500001300201732E-002  0.2175756348848657E-003  0.0000000000000000E+000  0.7252996731564577E-004  0.0000000000000000E+000
  0.7000001400217250E-002  0.2523327406867787E-003  0.0000000000000000E+000  0.8411731117714944E-004  0.0000000000000000E+000
  0.7500001500232768E-002  0.2896633719290765E-003  0.0000000000000000E+000  0.9656288952163241E-004  0.0000000000000000E+000
  0.8000001600248286E-002  0.3295672976702660E-003  0.0000000000000000E+000  0.1098666836158993E-003  0.0000000000000000E+000
  0.8500001700263805E-002  0.3720442708167715E-003  0.0000000000000000E+000  0.1240286733680323E-003  0.0000000000000000E+000
  0.9000001800279323E-002  0.4170940281132653E-003  0.0000000000000000E+000  0.1390488374440130E-003  0.0000000000000000E+000
  0.9500001900294840E-002  0.4647162900813469E-003  0.0000000000000000E+000  0.1549271531115106E-003  0.0000000000000000E+000
  0.1000000200031036E-001  0.5149107609782256E-003  0.0000000000000000E+000  0.1716635964130669E-003  0.0000000000000000E+000
  0.1050000210032588E-001  0.5676771287622694E-003  0.0000000000000000E+000  0.1892581419896659E-003  0.0000000000000000E+000
  0.1100000220034139E-001  0.6230150650185754E-003  0.0000000000000000E+000  0.2077107632179953E-003  0.0000000000000000E+000
  0.1200000240037243E-001  0.7414042471979192E-003  0.0000000000000000E+000  0.2471901193492158E-003  0.0000000000000000E+000
  0.1300000260040346E-001  0.8700753508214896E-003  0.0000000000000000E+000  0.2901014247437354E-003  0.0000000000000000E+000
  0.1400000280043450E-001  0.1009025153581921E-002  0.0000000000000000E+000  0.3364444179306727E-003  0.0000000000000000E+000
