                                                                                                                                                                                                                                                                
                        1                        2                        3                        4
                        l                     n_pg                Re(omega)                Im(omega)
                        3                      -12  0.6630114743672550E+000  0.0000000000000000E+000
                        1                        2                        3                        4                        5
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)
  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1000000200031036E-002  0.9511605149574748E-002  0.0000000000000000E+000  0.3169288202504765E-002  0.0000000000000000E+000
  0.1062500212532975E-002  0.1073664808701273E-001  0.0000000000000000E+000  0.3577293815693077E-002  0.0000000000000000E+000
  0.1125000225034915E-002  0.1203567103341634E-001  0.0000000000000000E+000  0.4009893493155655E-002  0.0000000000000000E+000
  0.1187500237536855E-002  0.1340862726007355E-001  0.0000000000000000E+000  0.4467063693745673E-002  0.0000000000000000E+000
  0.1250000250038795E-002  0.1485546737908804E-001  0.0000000000000000E+000  0.4948779538535207E-002  0.0000000000000000E+000
  0.1312500262540734E-002  0.1637613934520060E-001  0.0000000000000000E+000  0.5455014812067263E-002  0.0000000000000000E+000
  0.1375000275042674E-002  0.1797058845771950E-001  0.0000000000000000E+000  0.5985741963674240E-002  0.0000000000000000E+000
  0.1500000300046553E-002  0.2138058605436094E-001  0.0000000000000000E+000  0.7120555030768027E-002  0.0000000000000000E+000
  0.1625000325050433E-002  0.2508496953473966E-001  0.0000000000000000E+000  0.8352971684583006E-002  0.0000000000000000E+000
  0.1750000350054312E-002  0.2908320591856664E-001  0.0000000000000000E+000  0.9682723602160079E-002  0.0000000000000000E+000
  0.1875000375058192E-002  0.3337471995929109E-001  0.0000000000000000E+000  0.1110952124681261E-001  0.0000000000000000E+000
  0.2000000400062071E-002  0.3795889423025180E-001  0.0000000000000000E+000  0.1263305392640876E-001  0.0000000000000000E+000
  0.2100000420065175E-002  0.4183650723235004E-001  0.0000000000000000E+000  0.1392130705088727E-001  0.0000000000000000E+000
  0.2200000440068278E-002  0.4590064448366805E-001  0.0000000000000000E+000  0.1527107911321154E-001  0.0000000000000000E+000
  0.2400000480074486E-002  0.5458697789215535E-001  0.0000000000000000E+000  0.1815441889253908E-001  0.0000000000000000E+000
  0.2600000520080693E-002  0.6401469572694618E-001  0.0000000000000000E+000  0.2128146545898432E-001  0.0000000000000000E+000
  0.2800000560086900E-002  0.7418032646671208E-001  0.0000000000000000E+000  0.2465047481910129E-001  0.0000000000000000E+000
  0.3000000600093107E-002  0.8508012713161417E-001  0.0000000000000000E+000  0.2825956769030646E-001  0.0000000000000000E+000
  0.3250000650100866E-002  0.9973116527479794E-001  0.0000000000000000E+000  0.3310547090389938E-001  0.0000000000000000E+000
  0.3500000700108625E-002  0.1155146265665853E+000  0.0000000000000000E+000  0.3831912319704023E-001  0.0000000000000000E+000
  0.3750000750116384E-002  0.1324214332369918E+000  0.0000000000000000E+000  0.4389597722080259E-001  0.0000000000000000E+000
  0.4000000800124142E-002  0.1504418625677086E+000  0.0000000000000000E+000  0.4983116731256334E-001  0.0000000000000000E+000
  0.4333334200134488E-002  0.1761834029545429E+000  0.0000000000000000E+000  0.5829316781940569E-001  0.0000000000000000E+000
  0.4666667600144833E-002  0.2038599143423586E+000  0.0000000000000000E+000  0.6736983100050378E-001  0.0000000000000000E+000
  0.5000001000155178E-002  0.2334431159581962E+000  0.0000000000000000E+000  0.7704706081873391E-001  0.0000000000000000E+000
  0.5333334400165524E-002  0.2649027849973653E+000  0.0000000000000000E+000  0.8730981989654635E-001  0.0000000000000000E+000
  0.5666667800175869E-002  0.2982067888021986E+000  0.0000000000000000E+000  0.9814215105013831E-001  0.0000000000000000E+000
  0.6000001200186214E-002  0.3333211190269070E+000  0.0000000000000000E+000  0.1095272000874718E+000  0.0000000000000000E+000
  0.6500001300201732E-002  0.3893080654909406E+000  0.0000000000000000E+000  0.1276021093540145E+000  0.0000000000000000E+000
  0.7000001400217250E-002  0.4491586221859587E+000  0.0000000000000000E+000  0.1468171734070575E+000  0.0000000000000000E+000
  0.7500001500232768E-002  0.5127354341072513E+000  0.0000000000000000E+000  0.1671049310903744E+000  0.0000000000000000E+000
  0.8000001600248286E-002  0.5798926633189697E+000  0.0000000000000000E+000  0.1883940532785318E+000  0.0000000000000000E+000
  0.8500001700263805E-002  0.6504763365699744E+000  0.0000000000000000E+000  0.2106095722292751E+000  0.0000000000000000E+000
  0.9000001800279323E-002  0.7243247120132490E+000  0.0000000000000000E+000  0.2336731229156729E+000  0.0000000000000000E+000
  0.9500001900294840E-002  0.8012686638816905E+000  0.0000000000000000E+000  0.2575031947487874E+000  0.0000000000000000E+000
  0.1000000200031036E-001  0.8811320842522612E+000  0.0000000000000000E+000  0.2820153938917349E+000  0.0000000000000000E+000
  0.1050000210032588E-001  0.9637323008381310E+000  0.0000000000000000E+000  0.3071227141667093E+000  0.0000000000000000E+000
  0.1100000220034139E-001  0.1048880509658364E+001  0.0000000000000000E+000  0.3327358167873764E+000  0.0000000000000000E+000
  0.1200000240037243E-001  0.1226037721670909E+001  0.0000000000000000E+000  0.3851120779371071E+000  0.0000000000000000E+000
  0.1300000260040346E-001  0.1410987930868390E+001  0.0000000000000000E+000  0.4383938678865385E+000  0.0000000000000000E+000
  0.1400000280043450E-001  0.1602047033640133E+001  0.0000000000000000E+000  0.4918125025276088E+000  0.0000000000000000E+000
