                                                                                                                                                                                                                                                                
                        1                        2                        3                        4
                        l                     n_pg                Re(omega)                Im(omega)
                        2                        6  0.1024094633877110E+002  0.0000000000000000E+000
                        1                        2                        3                        4                        5
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)
  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1000000200031036E-002  0.1553897880641643E-002  0.0000000000000000E+000  0.7769538143824141E-003  0.0000000000000000E+000
  0.1083333550033622E-002  0.1683387021172437E-002  0.0000000000000000E+000  0.8416997079925507E-003  0.0000000000000000E+000
  0.1166666900036208E-002  0.1812875598165179E-002  0.0000000000000000E+000  0.9064455405262364E-003  0.0000000000000000E+000
  0.1250000250038794E-002  0.1942363568455104E-002  0.0000000000000000E+000  0.9711913071035978E-003  0.0000000000000000E+000
  0.1333333600041381E-002  0.2071850888766558E-002  0.0000000000000000E+000  0.1035937002826565E-002  0.0000000000000000E+000
  0.1500000300046553E-002  0.2330823405973181E-002  0.0000000000000000E+000  0.1165428162024489E-002  0.0000000000000000E+000
  0.1666667000051726E-002  0.2589792802297385E-002  0.0000000000000000E+000  0.1294918978582598E-002  0.0000000000000000E+000
  0.1833333700056899E-002  0.2848758729622740E-002  0.0000000000000000E+000  0.1424409412729586E-002  0.0000000000000000E+000
  0.2000000400062071E-002  0.3107720839396811E-002  0.0000000000000000E+000  0.1553899424504856E-002  0.0000000000000000E+000
  0.2250000450069830E-002  0.3496156084307915E-002  0.0000000000000000E+000  0.1748133569224285E-002  0.0000000000000000E+000
  0.2500000500077589E-002  0.3884580784710131E-002  0.0000000000000000E+000  0.1942366556100202E-002  0.0000000000000000E+000
  0.2750000550085349E-002  0.4272993769990724E-002  0.0000000000000000E+000  0.2136598256773390E-002  0.0000000000000000E+000
  0.3000000600093107E-002  0.4661393869159148E-002  0.0000000000000000E+000  0.2330828542826374E-002  0.0000000000000000E+000
  0.3333334000103452E-002  0.5179238598238768E-002  0.0000000000000000E+000  0.2589799833647809E-002  0.0000000000000000E+000
  0.3666667400113797E-002  0.5697055557959603E-002  0.0000000000000000E+000  0.2848768073806385E-002  0.0000000000000000E+000
  0.4000000800124142E-002  0.6214841969556157E-002  0.0000000000000000E+000  0.3107732957932319E-002  0.0000000000000000E+000
  0.4500000900139660E-002  0.6991458229077052E-002  0.0000000000000000E+000  0.3496173322977483E-002  0.0000000000000000E+000
  0.5000001000155178E-002  0.7767990118381109E-002  0.0000000000000000E+000  0.3884604417373258E-002  0.0000000000000000E+000
  0.5500001100170696E-002  0.8544428250414043E-002  0.0000000000000000E+000  0.4273025208225813E-002  0.0000000000000000E+000
  0.6000001200186214E-002  0.9320763234650902E-002  0.0000000000000000E+000  0.4661434662513907E-002  0.0000000000000000E+000
  0.6500001300201732E-002  0.1009698567569259E-001  0.0000000000000000E+000  0.5049831745219846E-002  0.0000000000000000E+000
  0.7000001400217250E-002  0.1087308617399018E-001  0.0000000000000000E+000  0.5438215421984679E-002  0.0000000000000000E+000
  0.7500001500232768E-002  0.1164905532443023E-001  0.0000000000000000E+000  0.5826584655640040E-002  0.0000000000000000E+000
  0.8000001600248286E-002  0.1242488371691523E-001  0.0000000000000000E+000  0.6214938409858484E-002  0.0000000000000000E+000
  0.9000001800279323E-002  0.1397608055601386E-001  0.0000000000000000E+000  0.6991595320820962E-002  0.0000000000000000E+000
  0.1000000200031036E-001  0.1552660128363395E-001  0.0000000000000000E+000  0.7768177830707315E-002  0.0000000000000000E+000
  0.1100000220034139E-001  0.1707637038050889E-001  0.0000000000000000E+000  0.8544677595113037E-002  0.0000000000000000E+000
  0.1200000240037243E-001  0.1862531220359579E-001  0.0000000000000000E+000  0.9321086245070560E-002  0.0000000000000000E+000
  0.1300000260040346E-001  0.2017335097159426E-001  0.0000000000000000E+000  0.1009739537673298E-001  0.0000000000000000E+000
  0.1400000280043450E-001  0.2172041075247403E-001  0.0000000000000000E+000  0.1087359656112035E-001  0.0000000000000000E+000
  0.1500000300046553E-001  0.2326641545231496E-001  0.0000000000000000E+000  0.1164968133668073E-001  0.0000000000000000E+000
  0.1600000320049657E-001  0.2481128880234189E-001  0.0000000000000000E+000  0.1242564120462768E-001  0.0000000000000000E+000
  0.1700000340052760E-001  0.2635495434672709E-001  0.0000000000000000E+000  0.1320146763171000E-001  0.0000000000000000E+000
  0.1800000360055864E-001  0.2789733542862360E-001  0.0000000000000000E+000  0.1397715203243301E-001  0.0000000000000000E+000
  0.1900000380058968E-001  0.2943835517749745E-001  0.0000000000000000E+000  0.1475268578600761E-001  0.0000000000000000E+000
  0.2000000400062071E-001  0.3097793649980114E-001  0.0000000000000000E+000  0.1552806023715167E-001  0.0000000000000000E+000
  0.2100000420065175E-001  0.3251600206688644E-001  0.0000000000000000E+000  0.1630326667793242E-001  0.0000000000000000E+000
  0.2200000440068279E-001  0.3405247429988888E-001  0.0000000000000000E+000  0.1707829633858843E-001  0.0000000000000000E+000
  0.2300000460071382E-001  0.3558727535681734E-001  0.0000000000000000E+000  0.1785314040231473E-001  0.0000000000000000E+000
  0.2400000480074486E-001  0.3712032712105432E-001  0.0000000000000000E+000  0.1862778999621649E-001  0.0000000000000000E+000
  0.2500000500077590E-001  0.3865155118899843E-001  0.0000000000000000E+000  0.1940223618992649E-001  0.0000000000000000E+000
