                                                                                                                                                                                                                                                                
                        1                        2                        3                        4
                        l                     n_pg                Re(omega)                Im(omega)
                        2                      -10  0.5678867241486613E+000  0.0000000000000000E+000
                        1                        2                        3                        4                        5
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)
  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1000000200031036E-002  0.2742851364579026E+000  0.0000000000000000E+000  0.1370795669546148E+000  0.0000000000000000E+000
  0.1083333550033622E-002  0.2971076608355280E+000  0.0000000000000000E+000  0.1484737375281404E+000  0.0000000000000000E+000
  0.1166666900036208E-002  0.3199218923190391E+000  0.0000000000000000E+000  0.1598609224106813E+000  0.0000000000000000E+000
  0.1250000250038794E-002  0.3427271944989366E+000  0.0000000000000000E+000  0.1712405859816303E+000  0.0000000000000000E+000
  0.1333333600041381E-002  0.3655229312803694E+000  0.0000000000000000E+000  0.1826121930083586E+000  0.0000000000000000E+000
  0.1500000300046553E-002  0.4110831660037434E+000  0.0000000000000000E+000  0.2053290986092070E+000  0.0000000000000000E+000
  0.1666667000051726E-002  0.4565975150300575E+000  0.0000000000000000E+000  0.2280073661918359E+000  0.0000000000000000E+000
  0.1833333700056899E-002  0.5020609035817095E+000  0.0000000000000000E+000  0.2506427307573379E+000  0.0000000000000000E+000
  0.2000000400062071E-002  0.5474682643405629E+000  0.0000000000000000E+000  0.2732309362292737E+000  0.0000000000000000E+000
  0.2250000450069830E-002  0.6154631892830851E+000  0.0000000000000000E+000  0.3070155365409507E+000  0.0000000000000000E+000
  0.2500000500077589E-002  0.6833036365834479E+000  0.0000000000000000E+000  0.3406701955754829E+000  0.0000000000000000E+000
  0.2750000550085349E-002  0.7509726232253300E+000  0.0000000000000000E+000  0.3741806906436015E+000  0.0000000000000000E+000
  0.3000000600093107E-002  0.8184532231069993E+000  0.0000000000000000E+000  0.4075328667278929E+000  0.0000000000000000E+000
  0.3333334000103452E-002  0.9081051729742395E+000  0.0000000000000000E+000  0.4517318351290656E+000  0.0000000000000000E+000
  0.3666667400113797E-002  0.9973524590974845E+000  0.0000000000000000E+000  0.4955911742981736E+000  0.0000000000000000E+000
  0.4000000800124142E-002  0.1086155538153289E+001  0.0000000000000000E+000  0.5390780176782635E+000  0.0000000000000000E+000
  0.4500000900139660E-002  0.1218441417911246E+001  0.0000000000000000E+000  0.6035387285633828E+000  0.0000000000000000E+000
  0.5000001000155178E-002  0.1349508167851849E+001  0.0000000000000000E+000  0.6669797284952834E+000  0.0000000000000000E+000
  0.5500001100170696E-002  0.1479226056127079E+001  0.0000000000000000E+000  0.7292945052845438E+000  0.0000000000000000E+000
  0.6000001200186214E-002  0.1607467137459750E+001  0.0000000000000000E+000  0.7903786568638447E+000  0.0000000000000000E+000
  0.6500001300201732E-002  0.1734105420674456E+001  0.0000000000000000E+000  0.8501300851808370E+000  0.0000000000000000E+000
  0.7000001400217250E-002  0.1859017033516565E+001  0.0000000000000000E+000  0.9084491861493427E+000  0.0000000000000000E+000
  0.7500001500232768E-002  0.1982080383776631E+001  0.0000000000000000E+000  0.9652390334869756E+000  0.0000000000000000E+000
  0.8000001600248286E-002  0.2103176317170068E+001  0.0000000000000000E+000  0.1020405558282035E+001  0.0000000000000000E+000
  0.9000001800279323E-002  0.2339002424415320E+001  0.0000000000000000E+000  0.1125507681164092E+001  0.0000000000000000E+000
  0.1000000200031036E-001  0.2565596621927249E+001  0.0000000000000000E+000  0.1223066565241083E+001  0.0000000000000000E+000
  0.1100000220034139E-001  0.2782108588831040E+001  0.0000000000000000E+000  0.1312449344478341E+001  0.0000000000000000E+000
  0.1200000240037243E-001  0.2987740696179641E+001  0.0000000000000000E+000  0.1393083841868433E+001  0.0000000000000000E+000
  0.1300000260040346E-001  0.3181751958322459E+001  0.0000000000000000E+000  0.1464462643328252E+001  0.0000000000000000E+000
  0.1400000280043450E-001  0.3363461633492568E+001  0.0000000000000000E+000  0.1526146652317317E+001  0.0000000000000000E+000
  0.1500000300046553E-001  0.3532252452594378E+001  0.0000000000000000E+000  0.1577768092542871E+001  0.0000000000000000E+000
  0.1600000320049657E-001  0.3687573457513508E+001  0.0000000000000000E+000  0.1619032939831971E+001  0.0000000000000000E+000
  0.1700000340052760E-001  0.3828942433852884E+001  0.0000000000000000E+000  0.1649722766461458E+001  0.0000000000000000E+000
  0.1800000360055864E-001  0.3955947925117601E+001  0.0000000000000000E+000  0.1669695982310422E+001  0.0000000000000000E+000
  0.1900000380058968E-001  0.4068250819048624E+001  0.0000000000000000E+000  0.1678888472934438E+001  0.0000000000000000E+000
  0.2000000400062071E-001  0.4165585499490560E+001  0.0000000000000000E+000  0.1677313625889625E+001  0.0000000000000000E+000
  0.2100000420065175E-001  0.4247760559244210E+001  0.0000000000000000E+000  0.1665061749282243E+001  0.0000000000000000E+000
  0.2200000440068279E-001  0.4314659073216050E+001  0.0000000000000000E+000  0.1642298894671292E+001  0.0000000000000000E+000
  0.2300000460071382E-001  0.4366238434658512E+001  0.0000000000000000E+000  0.1609265098730229E+001  0.0000000000000000E+000
  0.2400000480074486E-001  0.4402529759442039E+001  0.0000000000000000E+000  0.1566272057067438E+001  0.0000000000000000E+000
  0.2500000500077590E-001  0.4423636866105007E+001  0.0000000000000000E+000  0.1513700256835682E+001  0.0000000000000000E+000
