                                                                                                                                                                                                                                                                
                        1                        2                        3                        4
                        l                     n_pg                Re(omega)                Im(omega)
                        3                        4  0.8158826201054829E+001  0.0000000000000000E+000
                        1                        2                        3                        4                        5
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)
  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1000000200031036E-002  0.3540247619600058E-005  0.0000000000000000E+000  0.1180081554651286E-005  0.0000000000000000E+000
  0.1062500212532975E-002  0.3996608005961038E-005  0.0000000000000000E+000  0.1332201413484634E-005  0.0000000000000000E+000
  0.1125000225034915E-002  0.4480626683334716E-005  0.0000000000000000E+000  0.1493540651179535E-005  0.0000000000000000E+000
  0.1187500237536855E-002  0.4992303667193620E-005  0.0000000000000000E+000  0.1664099266472281E-005  0.0000000000000000E+000
  0.1250000250038795E-002  0.5531638973780154E-005  0.0000000000000000E+000  0.1843877258007747E-005  0.0000000000000000E+000
  0.1312500262540734E-002  0.6098632620119717E-005  0.0000000000000000E+000  0.2032874624332569E-005  0.0000000000000000E+000
  0.1375000275042674E-002  0.6693284624026848E-005  0.0000000000000000E+000  0.2231091363890590E-005  0.0000000000000000E+000
  0.1500000300046553E-002  0.7965563779758712E-005  0.0000000000000000E+000  0.2655182955948808E-005  0.0000000000000000E+000
  0.1625000325050433E-002  0.9348476599315673E-005  0.0000000000000000E+000  0.3116152019571826E-005  0.0000000000000000E+000
  0.1750000350054312E-002  0.1084202325366361E-004  0.0000000000000000E+000  0.3613998538360643E-005  0.0000000000000000E+000
  0.1875000375058192E-002  0.1244620392634006E-004  0.0000000000000000E+000  0.4148722494088588E-005  0.0000000000000000E+000
  0.2000000400062071E-002  0.1416101881339672E-004  0.0000000000000000E+000  0.4720323866671448E-005  0.0000000000000000E+000
  0.2100000420065175E-002  0.1561252749765486E-004  0.0000000000000000E+000  0.5204156693220230E-005  0.0000000000000000E+000
  0.2200000440068278E-002  0.1713484232827866E-004  0.0000000000000000E+000  0.5711591047964268E-005  0.0000000000000000E+000
  0.2400000480074486E-002  0.2039189091988599E-004  0.0000000000000000E+000  0.6797264299828208E-005  0.0000000000000000E+000
  0.2600000520080693E-002  0.2393216562648302E-004  0.0000000000000000E+000  0.7977343533383809E-005  0.0000000000000000E+000
  0.2800000560086900E-002  0.2775566757597656E-004  0.0000000000000000E+000  0.9251828652413219E-005  0.0000000000000000E+000
  0.3000000600093107E-002  0.3186239798619672E-004  0.0000000000000000E+000  0.1062071955315257E-004  0.0000000000000000E+000
  0.3250000650100866E-002  0.3739410302172859E-004  0.0000000000000000E+000  0.1246459113578087E-004  0.0000000000000000E+000
  0.3500000700108625E-002  0.4336835732337354E-004  0.0000000000000000E+000  0.1445597133609318E-004  0.0000000000000000E+000
  0.3750000750116384E-002  0.4978516385763531E-004  0.0000000000000000E+000  0.1659485989971430E-004  0.0000000000000000E+000
  0.4000000800124142E-002  0.5664452581023241E-004  0.0000000000000000E+000  0.1888125655256974E-004  0.0000000000000000E+000
  0.4333334200134488E-002  0.6647876720192698E-004  0.0000000000000000E+000  0.2215924194240890E-004  0.0000000000000000E+000
  0.4666667600144833E-002  0.7709978853382203E-004  0.0000000000000000E+000  0.2569946267028470E-004  0.0000000000000000E+000
  0.5000001000155178E-002  0.8850759917077288E-004  0.0000000000000000E+000  0.2950191793021217E-004  0.0000000000000000E+000
  0.5333334400165524E-002  0.1007022091646102E-003  0.0000000000000000E+000  0.3356660686087122E-004  0.0000000000000000E+000
  0.5666667800175869E-002  0.1136836292596710E-003  0.0000000000000000E+000  0.3789352854822470E-004  0.0000000000000000E+000
  0.6000001200186214E-002  0.1274518708867605E-003  0.0000000000000000E+000  0.4248268200865145E-004  0.0000000000000000E+000
  0.6500001300201732E-002  0.1495795503863971E-003  0.0000000000000000E+000  0.4985809449798624E-004  0.0000000000000000E+000
  0.7000001400217250E-002  0.1734776495385597E-003  0.0000000000000000E+000  0.5782352241458689E-004  0.0000000000000000E+000
  0.7500001500232768E-002  0.1991462155834836E-003  0.0000000000000000E+000  0.6637896173232486E-004  0.0000000000000000E+000
  0.8000001600248286E-002  0.2265852992237711E-003  0.0000000000000000E+000  0.7552440816191164E-004  0.0000000000000000E+000
  0.8500001700263805E-002  0.2557949545903219E-003  0.0000000000000000E+000  0.8525985709995547E-004  0.0000000000000000E+000
  0.9000001800279323E-002  0.2867752392529412E-003  0.0000000000000000E+000  0.9558530371464398E-004  0.0000000000000000E+000
  0.9500001900294840E-002  0.3195262141965449E-003  0.0000000000000000E+000  0.1065007428442302E-003  0.0000000000000000E+000
  0.1000000200031036E-001  0.3540479438122321E-003  0.0000000000000000E+000  0.1180061691223058E-003  0.0000000000000000E+000
  0.1050000210032588E-001  0.3903404958941851E-003  0.0000000000000000E+000  0.1301015768630919E-003  0.0000000000000000E+000
  0.1100000220034139E-001  0.4284039416101937E-003  0.0000000000000000E+000  0.1427869601627245E-003  0.0000000000000000E+000
  0.1200000240037243E-001  0.5098438154674527E-003  0.0000000000000000E+000  0.1699276284563858E-003  0.0000000000000000E+000
  0.1300000260040346E-001  0.5983682017795085E-003  0.0000000000000000E+000  0.1994281214651080E-003  0.0000000000000000E+000
  0.1400000280043450E-001  0.6939777899915295E-003  0.0000000000000000E+000  0.2312883828530176E-003  0.0000000000000000E+000
