                                                                                                                                                                                                                                                                
                        1                        2                        3                        4
                        l                     n_pg                Re(omega)                Im(omega)
                        3                      -16  0.5222741011262614E+000  0.0000000000000000E+000
                        1                        2                        3                        4                        5
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)
  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1000000200031036E-002  0.1960389508639030E-001  0.0000000000000000E+000  0.6530499194402886E-002  0.0000000000000000E+000
  0.1062500212532975E-002  0.2212740581004757E-001  0.0000000000000000E+000  0.7370536093175409E-002  0.0000000000000000E+000
  0.1125000225034915E-002  0.2480297029351317E-001  0.0000000000000000E+000  0.8261039187640231E-002  0.0000000000000000E+000
  0.1187500237536855E-002  0.2763043234121398E-001  0.0000000000000000E+000  0.9201930066852618E-002  0.0000000000000000E+000
  0.1250000250038795E-002  0.3060962689253609E-001  0.0000000000000000E+000  0.1019312587917401E-001  0.0000000000000000E+000
  0.1312500262540734E-002  0.3374038003150420E-001  0.0000000000000000E+000  0.1123453933903228E-001  0.0000000000000000E+000
  0.1375000275042674E-002  0.3702250899711001E-001  0.0000000000000000E+000  0.1232607873401554E-001  0.0000000000000000E+000
  0.1500000300046553E-002  0.4404011920517202E-001  0.0000000000000000E+000  0.1465914639048595E-001  0.0000000000000000E+000
  0.1625000325050433E-002  0.5166081895742369E-001  0.0000000000000000E+000  0.1719150690389258E-001  0.0000000000000000E+000
  0.1750000350054312E-002  0.5988282893176214E-001  0.0000000000000000E+000  0.1992226801269006E-001  0.0000000000000000E+000
  0.1875000375058192E-002  0.6870422947244230E-001  0.0000000000000000E+000  0.2285046742729053E-001  0.0000000000000000E+000
  0.2000000400062071E-002  0.7812296105345784E-001  0.0000000000000000E+000  0.2597507314151044E-001  0.0000000000000000E+000
  0.2100000420065175E-002  0.8608655167981882E-001  0.0000000000000000E+000  0.2861543245435741E-001  0.0000000000000000E+000
  0.2200000440068278E-002  0.9442983972131423E-001  0.0000000000000000E+000  0.3138019254140517E-001  0.0000000000000000E+000
  0.2400000480074486E-002  0.1122504655361534E+000  0.0000000000000000E+000  0.3728039152932372E-001  0.0000000000000000E+000
  0.2600000520080693E-002  0.1315741897771037E+000  0.0000000000000000E+000  0.4367034371177465E-001  0.0000000000000000E+000
  0.2800000560086900E-002  0.1523894665226832E+000  0.0000000000000000E+000  0.5054427884698578E-001  0.0000000000000000E+000
  0.3000000600093107E-002  0.1746838597908682E+000  0.0000000000000000E+000  0.5789598762511822E-001  0.0000000000000000E+000
  0.3250000650100866E-002  0.2046114859445538E+000  0.0000000000000000E+000  0.6774733133992308E-001  0.0000000000000000E+000
  0.3500000700108625E-002  0.2368014269388700E+000  0.0000000000000000E+000  0.7832087008617777E-001  0.0000000000000000E+000
  0.3750000750116384E-002  0.2712236449599417E+000  0.0000000000000000E+000  0.8960166119339250E-001  0.0000000000000000E+000
  0.4000000800124142E-002  0.3078460241317417E+000  0.0000000000000000E+000  0.1015737534798971E+000  0.0000000000000000E+000
  0.4333334200134488E-002  0.3600389980783087E+000  0.0000000000000000E+000  0.1185824836725130E+000  0.0000000000000000E+000
  0.4666667600144833E-002  0.4159958705925755E+000  0.0000000000000000E+000  0.1367471562411645E+000  0.0000000000000000E+000
  0.5000001000155178E-002  0.4756238922889712E+000  0.0000000000000000E+000  0.1560220050265501E+000  0.0000000000000000E+000
  0.5333334400165524E-002  0.5388242560095313E+000  0.0000000000000000E+000  0.1763584153956078E+000  0.0000000000000000E+000
  0.5666667800175869E-002  0.6054922659647738E+000  0.0000000000000000E+000  0.1977050361023054E+000  0.0000000000000000E+000
  0.6000001200186214E-002  0.6755175167728084E+000  0.0000000000000000E+000  0.2200078973370425E+000  0.0000000000000000E+000
  0.6500001300201732E-002  0.7865951697451458E+000  0.0000000000000000E+000  0.2551309747338092E+000  0.0000000000000000E+000
  0.7000001400217250E-002  0.9045510438548274E+000  0.0000000000000000E+000  0.2920775961026436E+000  0.0000000000000000E+000
  0.7500001500232768E-002  0.1028946299195580E+001  0.0000000000000000E+000  0.3306364351717306E+000  0.0000000000000000E+000
  0.8000001600248286E-002  0.1159318426948490E+001  0.0000000000000000E+000  0.3705863316003635E+000  0.0000000000000000E+000
  0.8500001700263805E-002  0.1295183019317293E+001  0.0000000000000000E+000  0.4116974347872517E+000  0.0000000000000000E+000
  0.9000001800279323E-002  0.1436035620539353E+001  0.0000000000000000E+000  0.4537323931839073E+000  0.0000000000000000E+000
  0.9500001900294840E-002  0.1581353650989613E+001  0.0000000000000000E+000  0.4964475813858988E+000  0.0000000000000000E+000
  0.1000000200031036E-001  0.1730598396752536E+001  0.0000000000000000E+000  0.5395943606503355E+000  0.0000000000000000E+000
  0.1050000210032588E-001  0.1883217056485710E+001  0.0000000000000000E+000  0.5829203641007157E+000  0.0000000000000000E+000
  0.1100000220034139E-001  0.2038644837092889E+001  0.0000000000000000E+000  0.6261708021472965E+000  0.0000000000000000E+000
  0.1200000240037243E-001  0.2355621478768674E+001  0.0000000000000000E+000  0.7114216189952073E+000  0.0000000000000000E+000
  0.1300000260040346E-001  0.2676852039919453E+001  0.0000000000000000E+000  0.7933101855262423E+000  0.0000000000000000E+000
  0.1400000280043450E-001  0.2997607612863256E+001  0.0000000000000000E+000  0.8698454200258616E+000  0.0000000000000000E+000
