                                                                                                                                                                                                                                                                
                        1                        2                        3                        4
                        l                     n_pg                Re(omega)                Im(omega)
                        2                        4  0.7708950899483765E+001  0.0000000000000000E+000
                        1                        2                        3                        4                        5
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)
  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.1000000200031036E-002  0.1199142544214664E-002  0.0000000000000000E+000  0.5995730562715945E-003  0.0000000000000000E+000
  0.1083333550033622E-002  0.1299070482833223E-002  0.0000000000000000E+000  0.6495375101829267E-003  0.0000000000000000E+000
  0.1166666900036208E-002  0.1398998276106497E-002  0.0000000000000000E+000  0.6995019724831059E-003  0.0000000000000000E+000
  0.1250000250038794E-002  0.1498925912997250E-002  0.0000000000000000E+000  0.7494664436775434E-003  0.0000000000000000E+000
  0.1333333600041381E-002  0.1598853382382886E-002  0.0000000000000000E+000  0.7994309242576810E-003  0.0000000000000000E+000
  0.1500000300046553E-002  0.1798707773857671E-002  0.0000000000000000E+000  0.8993599154697894E-003  0.0000000000000000E+000
  0.1666667000051726E-002  0.1998561360565196E-002  0.0000000000000000E+000  0.9992889497802762E-003  0.0000000000000000E+000
  0.1833333700056899E-002  0.2198414052058878E-002  0.0000000000000000E+000  0.1099218030670953E-002  0.0000000000000000E+000
  0.2000000400062071E-002  0.2398265757560430E-002  0.0000000000000000E+000  0.1199147161479181E-002  0.0000000000000000E+000
  0.2250000450069830E-002  0.2698041268989253E-002  0.0000000000000000E+000  0.1349040963544081E-002  0.0000000000000000E+000
  0.2500000500077589E-002  0.2997814055676487E-002  0.0000000000000000E+000  0.1498934910043253E-002  0.0000000000000000E+000
  0.2750000550085349E-002  0.3297583815759123E-002  0.0000000000000000E+000  0.1648829017287932E-002  0.0000000000000000E+000
  0.3000000600093107E-002  0.3597350247118872E-002  0.0000000000000000E+000  0.1798723301556756E-002  0.0000000000000000E+000
  0.3333334000103452E-002  0.3997033121519061E-002  0.0000000000000000E+000  0.1998582649670124E-002  0.0000000000000000E+000
  0.3666667400113797E-002  0.4396708822725147E-002  0.0000000000000000E+000  0.2198442377736110E-002  0.0000000000000000E+000
  0.4000000800124142E-002  0.4796376632594086E-002  0.0000000000000000E+000  0.2398302523716276E-002  0.0000000000000000E+000
  0.4500000900139660E-002  0.5395861979391695E-002  0.0000000000000000E+000  0.2698093609006472E-002  0.0000000000000000E+000
  0.5000001000155178E-002  0.5995325527979356E-002  0.0000000000000000E+000  0.2997885847299531E-002  0.0000000000000000E+000
  0.5500001100170696E-002  0.6594764850294894E-002  0.0000000000000000E+000  0.3297679365781556E-002  0.0000000000000000E+000
  0.6000001200186214E-002  0.7194177516757533E-002  0.0000000000000000E+000  0.3597474291935643E-002  0.0000000000000000E+000
  0.6500001300201732E-002  0.7793561095300369E-002  0.0000000000000000E+000  0.3897270752138951E-002  0.0000000000000000E+000
  0.7000001400217250E-002  0.8392913152045224E-002  0.0000000000000000E+000  0.4197068873751260E-002  0.0000000000000000E+000
  0.7500001500232768E-002  0.8992231250326303E-002  0.0000000000000000E+000  0.4496868782477889E-002  0.0000000000000000E+000
  0.8000001600248286E-002  0.9591512951253888E-002  0.0000000000000000E+000  0.4796670605226250E-002  0.0000000000000000E+000
  0.9000001800279323E-002  0.1078995738989412E-001  0.0000000000000000E+000  0.5396280492727734E-002  0.0000000000000000E+000
  0.1000000200031036E-001  0.1198822689576734E-001  0.0000000000000000E+000  0.5995899538184528E-002  0.0000000000000000E+000
  0.1100000220034139E-001  0.1318630184387513E-001  0.0000000000000000E+000  0.6595528739273496E-002  0.0000000000000000E+000
  0.1200000240037243E-001  0.1438416255071417E-001  0.0000000000000000E+000  0.7195169087339551E-002  0.0000000000000000E+000
  0.1300000260040346E-001  0.1558178926677166E-001  0.0000000000000000E+000  0.7794821560687270E-002  0.0000000000000000E+000
  0.1400000280043450E-001  0.1677916217056387E-001  0.0000000000000000E+000  0.8394487133356370E-002  0.0000000000000000E+000
  0.1500000300046553E-001  0.1797626136367943E-001  0.0000000000000000E+000  0.8994166770629738E-002  0.0000000000000000E+000
  0.1600000320049657E-001  0.1917306686441822E-001  0.0000000000000000E+000  0.9593861426681413E-002  0.0000000000000000E+000
  0.1700000340052760E-001  0.2036955860201275E-001  0.0000000000000000E+000  0.1019357204795977E-001  0.0000000000000000E+000
  0.1800000360055864E-001  0.2156571640946927E-001  0.0000000000000000E+000  0.1079329956070205E-001  0.0000000000000000E+000
  0.1900000380058968E-001  0.2276152001740046E-001  0.0000000000000000E+000  0.1139304488525925E-001  0.0000000000000000E+000
  0.2000000400062071E-001  0.2395694905043145E-001  0.0000000000000000E+000  0.1199280893795145E-001  0.0000000000000000E+000
  0.2100000420065175E-001  0.2515198302145722E-001  0.0000000000000000E+000  0.1259259261827822E-001  0.0000000000000000E+000
  0.2200000440068279E-001  0.2634660132353975E-001  0.0000000000000000E+000  0.1319239680305689E-001  0.0000000000000000E+000
  0.2300000460071382E-001  0.2754078322349550E-001  0.0000000000000000E+000  0.1379222235906523E-001  0.0000000000000000E+000
  0.2400000480074486E-001  0.2873450785655911E-001  0.0000000000000000E+000  0.1439207013727396E-001  0.0000000000000000E+000
  0.2500000500077590E-001  0.2992775422036591E-001  0.0000000000000000E+000  0.1499194097299389E-001  0.0000000000000000E+000
