                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                      41                  9.9999999989056321E-001                 -3.2152201770072031E-003                  3.9451778300278999E+000                 -6.5493399631898761E+000                  5.2068594700654041E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      42                  9.9999999988704746E-001                 -3.2178170737517868E-003                  3.9503619022973040E+000                 -6.5437540329319290E+000                  5.2183710074559082E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      43                  9.9999999988118804E-001                 -3.2220900237039580E-003                  3.9562634339266971E+000                 -6.5366070238958534E+000                  5.2323447194651855E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      44                  9.9999999987532862E-001                 -3.2262933539359481E-003                  3.9616652272777184E+000                 -6.5293967544309908E+000                  5.2458833144652575E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      45                  9.9999999986946930E-001                 -3.2304275945423595E-003                  3.9666382628009647E+000                 -6.5221631748484734E+000                  5.2590130808550954E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      46                  9.9999999986360977E-001                 -3.2344936609662806E-003                  3.9712402066242465E+000                 -6.5149370338096357E+000                  5.2717579939630106E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      47                  9.9999999985775034E-001                 -3.2384927440393982E-003                  3.9762272986402292E+000                 -6.5065770906629359E+000                  5.2861697527985045E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      48                  9.9999999984993782E-001                 -3.2437233627615226E-003                  3.9827281244203712E+000                 -6.4947866044722913E+000                  5.3059631183803173E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      49                  9.9999999983821908E-001                 -3.2513594896572931E-003                  3.9896253928669743E+000                 -6.4807976622781593E+000                  5.3285841665031519E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      50                  9.9999999982650034E-001                 -3.2587539543664913E-003                  3.9942551212427801E+000                 -6.4704494119082892E+000                  5.3448098879010733E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      51                  9.9999999982064092E-001                 -3.2623642685839097E-003                  3.9971784858172019E+000                 -6.4637097424180130E+000                  5.3553000919272309E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      52                  9.9999999981478160E-001                 -3.2659190760182320E-003                  4.0013419390451315E+000                 -6.4538301859239784E+000                  5.3705755676536580E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      53                  9.9999999980306287E-001                 -3.2728690355586024E-003                  4.0055617459980901E+000                 -6.4429888768773216E+000                  5.3869420646988919E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      54                  9.9999999979525023E-001                 -3.2773882912318798E-003                  4.0103224225613436E+000                 -6.4304443688399644E+000                  5.4058017117867623E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      55                  9.9999999977962528E-001                 -3.2861698649355770E-003                  4.0146044130728109E+000                 -6.4181027130096640E+000                  5.4238777651379264E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      56                  9.9999999977181275E-001                 -3.2904378242770275E-003                  4.0186608693725381E+000                 -6.4062422882248962E+000                  5.4412320989126775E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      57                  9.9999999975618781E-001                 -3.2987441451889448E-003                  4.0235859143961381E+000                 -6.3908561125742418E+000                  5.4633441337229653E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      58                  9.9999999974056286E-001                 -3.3067617937572683E-003                  4.0269744691279366E+000                 -6.3796399425039994E+000                  5.4792204805842477E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
