                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                      10                  9.9999999999025013E-001                 -4.8479881696738364E-002                  3.7638469565354056E+000                 -6.6473556657275985E+000                  4.9208451423250983E+000                  7.0000000000000018E-001                  2.8000000000000014E-001                  1.9999999999999685E-002 
                                      11                  9.9999999998900013E-001                 -4.8481463565011047E-002                  3.7651650424314895E+000                 -6.6413305553691240E+000                  4.9281917080025597E+000                  7.0000000000000018E-001                  2.8000000000000019E-001                  1.9999999999999574E-002 
                                      12                  9.9999999998821876E-001                 -4.8482438619884674E-002                  3.7661918057008825E+000                 -6.6367923043492612E+000                  4.9337595883552980E+000                  7.0000000000000018E-001                  2.8000000000000019E-001                  1.9999999999999574E-002 
                                      13                  9.9999999998743772E-001                 -4.8483403545235830E-002                  3.7677514182494134E+000                 -6.6301363246016738E+000                  4.9419798836048336E+000                  7.0000000000000018E-001                  2.8000000000000019E-001                  1.9999999999999574E-002 
                                      14                  9.9999999998587508E-001                 -4.8485304063426334E-002                  3.7698883514206383E+000                 -6.6215562231560838E+000                  4.9527038897424687E+000                  7.0000000000000018E-001                  2.8000000000000019E-001                  1.9999999999999574E-002 
                                      15                  9.9999999998431255E-001                 -4.8487167426888071E-002                  3.7720836889331713E+000                 -6.6132933746293734E+000                  4.9631696349309635E+000                  7.0000000000000018E-001                  2.8000000000000014E-001                  1.9999999999999685E-002 
                                      16                  9.9999999998275013E-001                 -4.8488995696597113E-002                  3.7743400340088109E+000                 -6.6053381371119810E+000                  4.9733892672115987E+000                  7.0000000000000018E-001                  2.8000000000000014E-001                  1.9999999999999685E-002 
                                      17                  9.9999999998118749E-001                 -4.8490790804096746E-002                  3.7760809832827631E+000                 -6.5995754182019191E+000                  4.9808993284007039E+000                  7.0000000000000018E-001                  2.8000000000000014E-001                  1.9999999999999685E-002 
                                      18                  9.9999999998040623E-001                 -4.8491676534941811E-002                  3.7772572062212033E+000                 -6.5958204926174107E+000                  4.9858348837333111E+000                  7.0000000000000018E-001                  2.8000000000000014E-001                  1.9999999999999685E-002 
                                      19                  9.9999999997962497E-001                 -4.8492554646084804E-002                  3.7790457019660098E+000                 -6.5903160647999419E+000                  4.9931346734358186E+000                  7.0000000000000018E-001                  2.8000000000000014E-001                  1.9999999999999685E-002 
                                      20                  9.9999999997806255E-001                 -4.8494288765395854E-002                  3.7815022543144421E+000                 -6.5832363264953004E+000                  5.0026808488135757E+000                  7.0000000000000018E-001                  2.8000000000000014E-001                  1.9999999999999685E-002 
                                      21                  9.9999999997649991E-001                 -4.8495994865058359E-002                  3.7840323961614630E+000                 -6.5764362755609005E+000                  5.0120218412633051E+000                  7.0000000000000018E-001                  2.8000000000000014E-001                  1.9999999999999685E-002 
                                      22                  9.9999999997493738E-001                 -4.8497674478820467E-002                  3.7859894481239280E+000                 -6.5715258298169603E+000                  5.0188981628719231E+000                  7.0000000000000018E-001                  2.8000000000000014E-001                  1.9999999999999685E-002 
                                      23                  9.9999999997415601E-001                 -4.8498504850916793E-002                  3.7873133590426784E+000                 -6.5683314318540784E+000                  5.0234226609250330E+000                  7.0000000000000018E-001                  2.8000000000000014E-001                  1.9999999999999685E-002 
                                      24                  9.9999999997337496E-001                 -4.8499329142437819E-002                  3.7893293219159037E+000                 -6.5636575316625141E+000                  5.0301222868984423E+000                  7.0000000000000018E-001                  2.8000000000000014E-001                  1.9999999999999685E-002 
                                      25                  9.9999999997181233E-001                 -4.8500960092299962E-002                  3.7921081116502036E+000                 -6.5576753036666551E+000                  5.0388974528939032E+000                  7.0000000000000018E-001                  2.8000000000000014E-001                  1.9999999999999685E-002 
                                      26                  9.9999999997024980E-001                 -4.8502568748515752E-002                  3.7964132275600795E+000                 -6.5491645302980785E+000                  5.0517366371539127E+000                  7.0000000000000018E-001                  2.8000000000000014E-001                  1.9999999999999685E-002 
                                      27                  9.9999999996712485E-001                 -4.8505723677656189E-002                  3.8010527283115727E+000                 -6.5413601538635620E+000                  5.0642074835611908E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      28                  9.9999999996556233E-001                 -4.8507273073168808E-002                  3.8034581785193704E+000                 -6.5376765229135092E+000                  5.0703112257924854E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      29                  9.9999999996478106E-001                 -4.8508041233971434E-002                  3.8050916351904571E+000                 -6.5352981698049195E+000                  5.0743332726500716E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      30                  9.9999999996399980E-001                 -4.8508805203592360E-002                  3.8075884784712795E+000                 -6.5318470061967364E+000                  5.0802973943378147E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      31                  9.9999999996243727E-001                 -4.8510321060965235E-002                  3.8110564883761868E+000                 -6.5275114607317128E+000                  5.0881243574815924E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      32                  9.9999999996087474E-001                 -4.8511821876511423E-002                  3.8164591291053527E+000                 -6.5214708128379808E+000                  5.0996066642221232E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      33                  9.9999999995774969E-001                 -4.8514782092223215E-002                  3.8223146102768459E+000                 -6.5161865677924382E+000                  5.1107934947609754E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      34                  9.9999999995618727E-001                 -4.8516244322432268E-002                  3.8263486943449161E+000                 -6.5129563347647386E+000                  5.1180945327318188E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      35                  9.9999999995462474E-001                 -4.8517695731691367E-002                  3.8325915716731660E+000                 -6.5085384019468400E+000                  5.1288211288816887E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      36                  9.9999999995149991E-001                 -4.8520569213419344E-002                  3.8392294427328784E+000                 -6.5047900588896832E+000                  5.1392894370042983E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      37                  9.9999999994993727E-001                 -4.8521993628451020E-002                  3.8437386180012796E+000                 -6.5025196852267655E+000                  5.1461307920171864E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      38                  9.9999999994837474E-001                 -4.8523410630362654E-002                  3.8506035733572963E+000                 -6.4994256050185593E+000                  5.1561950330465978E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      39                  9.9999999994524980E-001                 -4.8526224556530023E-002                  3.8599282436150228E+000                 -6.4958587180595995E+000                  5.1692615246179656E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      40                  9.9999999994212485E-001                 -4.8529015520428070E-002                  3.8668446419548745E+000                 -6.4933843223362011E+000                  5.1788099464331436E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      41                  9.9999999994056221E-001                 -4.8530403094239137E-002                  3.8713683744725347E+000                 -6.4917744495730823E+000                  5.1850609703831028E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      42                  9.9999999993899980E-001                 -4.8531785547246159E-002                  3.8779907677946186E+000                 -6.4893829373996352E+000                  5.1942720913986635E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      43                  9.9999999993587485E-001                 -4.8534535308949467E-002                  3.8842732547932601E+000                 -6.4868621797787096E+000                  5.2032921268238903E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      44                  9.9999999993431221E-001                 -4.8535902252187124E-002                  3.8883136501353976E+000                 -6.4851463765317590E+000                  5.2092031326167145E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      45                  9.9999999993274979E-001                 -4.8537263818412092E-002                  3.8922129682779985E+000                 -6.4833755780819153E+000                  5.2150348378613822E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      46                  9.9999999993118727E-001                 -4.8538619857002370E-002                  3.8959712775158577E+000                 -6.4815479825176450E+000                  5.2207893428366923E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      47                  9.9999999992962463E-001                 -4.8539970213729015E-002                  3.9013890166286331E+000                 -6.4787433260337890E+000                  5.2292807164600328E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      48                  9.9999999992649979E-001                 -4.8542653579663947E-002                  3.9064303533188607E+000                 -6.4757360478296588E+000                  5.2376094485713631E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      49                  9.9999999992493727E-001                 -4.8543986022702545E-002                  3.9096602583872695E+000                 -6.4736958432827283E+000                  5.2430745701402888E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      50                  9.9999999992337485E-001                 -4.8545312233119947E-002                  3.9127710853154745E+000                 -6.4716085345067080E+000                  5.2484718384434181E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      51                  9.9999999992181221E-001                 -4.8546632096853892E-002                  3.9157685587951758E+000                 -6.4694777195875712E+000                  5.2538029182183390E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      52                  9.9999999992024968E-001                 -4.8547945512637698E-002                  3.9186583342016608E+000                 -6.4673074852640866E+000                  5.2590694136654301E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      53                  9.9999999991868727E-001                 -4.8549252393285343E-002                  3.9214459048008385E+000                 -6.4651020595703343E+000                  5.2642728713502311E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      54                  9.9999999991712463E-001                 -4.8550552665886010E-002                  3.9254754730992092E+000                 -6.4617675831069299E+000                  5.2719630879798647E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      55                  9.9999999991399968E-001                 -4.8553133355373375E-002                  3.9304982830255377E+000                 -6.4571888217253699E+000                  5.2820095988820555E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      56                  9.9999999991087474E-001                 -4.8555687024892651E-002                  3.9340291340763676E+000                 -6.4536731714103039E+000                  5.2893950193017467E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      57                  9.9999999990931221E-001                 -4.8556953582002176E-002                  3.9363056377334633E+000                 -6.4513251728688568E+000                  5.2942498253976131E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      58                  9.9999999990774957E-001                 -4.8558213320981661E-002                  3.9385116482253486E+000                 -6.4489619424981379E+000                  5.2990510163466915E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      59                  9.9999999990618715E-001                 -4.8559466234534610E-002                  3.9406507095243613E+000                 -6.4465855488450208E+000                  5.3037997637520080E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      60                  9.9999999990462463E-001                 -4.8560712321810973E-002                  3.9427261454497966E+000                 -6.4441980085772181E+000                  5.3084972012217317E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      61                  9.9999999990306199E-001                 -4.8561951588136844E-002                  3.9447410745271876E+000                 -6.4418012823014985E+000                  5.3131444259951648E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
