                                                                                                                                                                                                                                                                
                        1                        2                        3                        4
                        l                     n_pg                Re(omega)                Im(omega)
                        2                        0  0.3380912961593588E+001  0.0000000000000000E+000
                        1                        2                        3                        4                        5
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)
  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.9203529331346033E-003  0.6578413617761715E-001  0.0000000000000000E+000  0.3288898074591182E-001  0.0000000000000000E+000
  0.1039966386193774E-002  0.7433100850916748E-001  0.0000000000000000E+000  0.3715993501743448E-001  0.0000000000000000E+000
  0.1159579839252944E-002  0.8287629458769348E-001  0.0000000000000000E+000  0.4142985914887673E-001  0.0000000000000000E+000
  0.1310287751119751E-002  0.9364072287594215E-001  0.0000000000000000E+000  0.4680800293018549E-001  0.0000000000000000E+000
  0.1460995662986557E-002  0.1044024455787828E+000  0.0000000000000000E+000  0.5218387320399887E-001  0.0000000000000000E+000
  0.1650884358646135E-002  0.1179577353744593E+000  0.0000000000000000E+000  0.5895368939736022E-001  0.0000000000000000E+000
  0.1840773054305712E-002  0.1315077857188333E+000  0.0000000000000000E+000  0.6571890357579341E-001  0.0000000000000000E+000
  0.2080034956818093E-002  0.1485726191573641E+000  0.0000000000000000E+000  0.7423578050694085E-001  0.0000000000000000E+000
  0.2319296859330475E-002  0.1656270383906333E+000  0.0000000000000000E+000  0.8274343482013144E-001  0.0000000000000000E+000
  0.2620782178678318E-002  0.1870999751188366E+000  0.0000000000000000E+000  0.9344887659891526E-001  0.0000000000000000E+000
  0.2922267498026161E-002  0.2085521149751361E+000  0.0000000000000000E+000  0.1041358846033685E+000  0.0000000000000000E+000
  0.3302183600846774E-002  0.2355515773744779E+000  0.0000000000000000E+000  0.1175736477781741E+000  0.0000000000000000E+000
  0.3682099703667387E-002  0.2625095115250447E+000  0.0000000000000000E+000  0.1309746390974484E+000  0.0000000000000000E+000
  0.4160900837802833E-002  0.2964173654475276E+000  0.0000000000000000E+000  0.1478047872437830E+000  0.0000000000000000E+000
  0.4639701971938278E-002  0.3302422442181431E+000  0.0000000000000000E+000  0.1645615952131668E+000  0.0000000000000000E+000
  0.5099164758699403E-002  0.3626143004375053E+000  0.0000000000000000E+000  0.1805650066310942E+000  0.0000000000000000E+000
  0.5558627545460530E-002  0.3948929882919855E+000  0.0000000000000000E+000  0.1964859351563993E+000  0.0000000000000000E+000
  0.6245989158360841E-002  0.4429893626471457E+000  0.0000000000000000E+000  0.2201352661125451E+000  0.0000000000000000E+000
  0.6768639774805322E-002  0.4793924846263224E+000  0.0000000000000000E+000  0.2379686743995779E+000  0.0000000000000000E+000
  0.7291290391249803E-002  0.5156367119771725E+000  0.0000000000000000E+000  0.2556629079421627E+000  0.0000000000000000E+000
  0.8033712313215114E-002  0.5668247276000299E+000  0.0000000000000000E+000  0.2805390536642125E+000  0.0000000000000000E+000
  0.8776134235180425E-002  0.6176365336922491E+000  0.0000000000000000E+000  0.3050862956297216E+000  0.0000000000000000E+000
  0.9779784977971731E-002  0.6856699903776621E+000  0.0000000000000000E+000  0.3377009487171081E+000  0.0000000000000000E+000
  0.1078343572076304E-001  0.7528806523234421E+000  0.0000000000000000E+000  0.3696006037169864E+000  0.0000000000000000E+000
  0.1166068504828845E-001  0.8108948194166571E+000  0.0000000000000000E+000  0.3968491271205031E+000  0.0000000000000000E+000
  0.1253793437581385E-001  0.8681743280923924E+000  0.0000000000000000E+000  0.4234651732804587E+000  0.0000000000000000E+000
  0.1341518370333926E-001  0.9246722816051794E+000  0.0000000000000000E+000  0.4494112556204276E+000  0.0000000000000000E+000
  0.1454644800751802E-001  0.9963002199559216E+000  0.0000000000000000E+000  0.4818227915663856E+000  0.0000000000000000E+000
  0.1567771231169677E-001  0.1066459104984457E+001  0.0000000000000000E+000  0.5129840394664669E+000  0.0000000000000000E+000
  0.1680897661587552E-001  0.1135059528987536E+001  0.0000000000000000E+000  0.5428324358871808E+000  0.0000000000000000E+000
  0.1774028948610247E-001  0.1190308057837592E+001  0.0000000000000000E+000  0.5663780890700920E+000  0.0000000000000000E+000
  0.1867160235632941E-001  0.1244398870085666E+001  0.0000000000000000E+000  0.5889555309967616E+000  0.0000000000000000E+000
  0.1960291522655636E-001  0.1297289201164765E+001  0.0000000000000000E+000  0.6105406735496034E+000  0.0000000000000000E+000
  0.2053422809678330E-001  0.1348941504605047E+001  0.0000000000000000E+000  0.6311235599942712E+000  0.0000000000000000E+000
  0.2154914563826640E-001  0.1403785065764006E+001  0.0000000000000000E+000  0.6524144688851305E+000  0.0000000000000000E+000
  0.2256406317974949E-001  0.1457090679079665E+001  0.0000000000000000E+000  0.6725059701097357E+000  0.0000000000000000E+000
  0.2357898072123258E-001  0.1508829463153185E+001  0.0000000000000000E+000  0.6913796273932536E+000  0.0000000000000000E+000
  0.2466754477920376E-001  0.1562549704354676E+001  0.0000000000000000E+000  0.7102520275151314E+000  0.0000000000000000E+000
  0.2575610883717493E-001  0.1614406498930265E+001  0.0000000000000000E+000  0.7276999556358622E+000  0.0000000000000000E+000
  0.2684467289514611E-001  0.1664374492777885E+001  0.0000000000000000E+000  0.7437163220551453E+000  0.0000000000000000E+000
  0.2793323695311728E-001  0.1712431375391529E+001  0.0000000000000000E+000  0.7582934898035008E+000  0.0000000000000000E+000
