                                                                                                                                                                                                                                                                
                        1                        2                        3                        4
                        l                     n_pg                Re(omega)                Im(omega)
                        2                      -18  0.5720385556868076E+000  0.0000000000000000E+000
                        1                        2                        3                        4                        5
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)
  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.9203529331346033E-003  0.3295962484858424E+001  0.0000000000000000E+000  0.1643061574675632E+001  0.0000000000000000E+000
  0.1039966386193774E-002  0.3718681692051646E+001  0.0000000000000000E+000  0.1849405915925327E+001  0.0000000000000000E+000
  0.1159579839252944E-002  0.4137835672115468E+001  0.0000000000000000E+000  0.2053646911680736E+001  0.0000000000000000E+000
  0.1310287751119751E-002  0.4660926135468333E+001  0.0000000000000000E+000  0.2307404179955196E+001  0.0000000000000000E+000
  0.1460995662986557E-002  0.5178120455684483E+001  0.0000000000000000E+000  0.2556598012076605E+001  0.0000000000000000E+000
  0.1650884358646135E-002  0.5820603178966847E+001  0.0000000000000000E+000  0.2863247175600134E+001  0.0000000000000000E+000
  0.1840773054305712E-002  0.6451877685745968E+001  0.0000000000000000E+000  0.3160766974338012E+001  0.0000000000000000E+000
  0.2080034956818093E-002  0.7229516200421081E+001  0.0000000000000000E+000  0.3521184210644176E+001  0.0000000000000000E+000
  0.2319296859330475E-002  0.7985317205032934E+001  0.0000000000000000E+000  0.3863756086205459E+001  0.0000000000000000E+000
  0.2620782178678318E-002  0.8903070621353548E+001  0.0000000000000000E+000  0.4267412184742697E+001  0.0000000000000000E+000
  0.2922267498026161E-002  0.9778496380894163E+001  0.0000000000000000E+000  0.4636851363708743E+001  0.0000000000000000E+000
  0.3302183600846774E-002  0.1081511114633654E+002  0.0000000000000000E+000  0.5049361698916946E+001  0.0000000000000000E+000
  0.3682099703667387E-002  0.1177110482427222E+002  0.0000000000000000E+000  0.5398057761808635E+001  0.0000000000000000E+000
  0.4160900837802833E-002  0.1285090559762676E+002  0.0000000000000000E+000  0.5740487461560217E+001  0.0000000000000000E+000
  0.4639701971938278E-002  0.1378166011320197E+002  0.0000000000000000E+000  0.5969072416268924E+001  0.0000000000000000E+000
  0.5099164758699403E-002  0.1452662442379145E+002  0.0000000000000000E+000  0.6078037717401746E+001  0.0000000000000000E+000
  0.5558627545460530E-002  0.1512069427588689E+002  0.0000000000000000E+000  0.6077893674646709E+001  0.0000000000000000E+000
  0.6245989158360841E-002  0.1572062885227886E+002  0.0000000000000000E+000  0.5877403532888247E+001  0.0000000000000000E+000
  0.6768639774805322E-002  0.1594419565928322E+002  0.0000000000000000E+000  0.5572114459656929E+001  0.0000000000000000E+000
  0.7291290391249803E-002  0.1596987773738272E+002  0.0000000000000000E+000  0.5145288427536020E+001  0.0000000000000000E+000
  0.8033712313215114E-002  0.1568029602265934E+002  0.0000000000000000E+000  0.4354465592182954E+001  0.0000000000000000E+000
  0.8776134235180425E-002  0.1503385504534232E+002  0.0000000000000000E+000  0.3389236697883189E+001  0.0000000000000000E+000
  0.9779784977971731E-002  0.1366859126535527E+002  0.0000000000000000E+000  0.1897607158728915E+001  0.0000000000000000E+000
  0.1078343572076304E-001  0.1184802088478635E+002  0.0000000000000000E+000  0.3261954790465024E+000  0.0000000000000000E+000
  0.1166068504828845E-001  0.9995004007427266E+001  0.0000000000000000E+000 -0.9956038941044697E+000  0.0000000000000000E+000
  0.1253793437581385E-001  0.8007825113657454E+001  0.0000000000000000E+000 -0.2178367840943221E+001  0.0000000000000000E+000
  0.1341518370333926E-001  0.5987285983166891E+001  0.0000000000000000E+000 -0.3146765289633736E+001  0.0000000000000000E+000
  0.1454644800751802E-001  0.3487130657328032E+001  0.0000000000000000E+000 -0.4001116335217087E+001  0.0000000000000000E+000
  0.1567771231169677E-001  0.1255421374042993E+001  0.0000000000000000E+000 -0.4339908200722610E+001  0.0000000000000000E+000
  0.1680897661587552E-001 -0.5750413760568256E+000  0.0000000000000000E+000 -0.4158839045218185E+001  0.0000000000000000E+000
  0.1774028948610247E-001 -0.1720589726850835E+001  0.0000000000000000E+000 -0.3652341206744952E+001  0.0000000000000000E+000
  0.1867160235632941E-001 -0.2515280005976995E+001  0.0000000000000000E+000 -0.2892039744867181E+001  0.0000000000000000E+000
  0.1960291522655636E-001 -0.2963865475117545E+001  0.0000000000000000E+000 -0.1955132184700060E+001  0.0000000000000000E+000
  0.2053422809678330E-001 -0.3091995662570092E+001  0.0000000000000000E+000 -0.9297939902426186E+000  0.0000000000000000E+000
  0.2154914563826640E-001 -0.2918518091731083E+001  0.0000000000000000E+000  0.1811679889654281E+000  0.0000000000000000E+000
  0.2256406317974949E-001 -0.2488198051990604E+001  0.0000000000000000E+000  0.1183015826428660E+001  0.0000000000000000E+000
  0.2357898072123258E-001 -0.1882540026745074E+001  0.0000000000000000E+000  0.1987988139810216E+001  0.0000000000000000E+000
  0.2466754477920376E-001 -0.1133662028973956E+001  0.0000000000000000E+000  0.2563833560717733E+001  0.0000000000000000E+000
  0.2575610883717493E-001 -0.3742047127620045E+000  0.0000000000000000E+000  0.2805305712943126E+001  0.0000000000000000E+000
  0.2684467289514611E-001  0.3145446465154799E+000  0.0000000000000000E+000  0.2713600915892343E+001  0.0000000000000000E+000
