                                                                                                                                                                                                                                                                
                        1                        2                        3                        4
                        l                     n_pg                Re(omega)                Im(omega)
                        2                      -11  0.8901381773582850E+000  0.0000000000000000E+000
                        1                        2                        3                        4                        5
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)
  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.9203529331346033E-003 -0.1422912401862044E+001  0.0000000000000000E+000 -0.7105767082560187E+000  0.0000000000000000E+000
  0.1039966386193774E-002 -0.1606842732711231E+001  0.0000000000000000E+000 -0.8016504451661186E+000  0.0000000000000000E+000
  0.1159579839252944E-002 -0.1790141720189075E+001  0.0000000000000000E+000 -0.8923494209357236E+000  0.0000000000000000E+000
  0.1310287751119751E-002 -0.2020198826754626E+001  0.0000000000000000E+000 -0.1005986672812921E+001  0.0000000000000000E+000
  0.1460995662986557E-002 -0.2249206815771448E+001  0.0000000000000000E+000 -0.1118805415035466E+001  0.0000000000000000E+000
  0.1650884358646135E-002 -0.2536114418996430E+001  0.0000000000000000E+000 -0.1259634323738376E+001  0.0000000000000000E+000
  0.1840773054305712E-002 -0.2821012965840612E+001  0.0000000000000000E+000 -0.1398809891169450E+001  0.0000000000000000E+000
  0.2080034956818093E-002 -0.3176785311190192E+001  0.0000000000000000E+000 -0.1571535335456960E+001  0.0000000000000000E+000
  0.2319296859330475E-002 -0.3528598688787826E+001  0.0000000000000000E+000 -0.1740977680667839E+001  0.0000000000000000E+000
  0.2620782178678318E-002 -0.3965579547653743E+001  0.0000000000000000E+000 -0.1949274471237773E+001  0.0000000000000000E+000
  0.2922267498026161E-002 -0.4394747331187654E+001  0.0000000000000000E+000 -0.2151113265055001E+001  0.0000000000000000E+000
  0.3302183600846774E-002 -0.4923110390533000E+001  0.0000000000000000E+000 -0.2395262660187971E+001  0.0000000000000000E+000
  0.3682099703667387E-002 -0.5436154044792203E+001  0.0000000000000000E+000 -0.2626853578517347E+001  0.0000000000000000E+000
  0.4160900837802833E-002 -0.6058448191332064E+001  0.0000000000000000E+000 -0.2899033559711564E+001  0.0000000000000000E+000
  0.4639701971938278E-002 -0.6651047722985232E+001  0.0000000000000000E+000 -0.3147190647516965E+001  0.0000000000000000E+000
  0.5099164758699403E-002 -0.7189252055303990E+001  0.0000000000000000E+000 -0.3360899025365025E+001  0.0000000000000000E+000
  0.5558627545460530E-002 -0.7695324901587687E+001  0.0000000000000000E+000 -0.3549120176981146E+001  0.0000000000000000E+000
  0.6245989158360841E-002 -0.8387814542763307E+001  0.0000000000000000E+000 -0.3780456821461523E+001  0.0000000000000000E+000
  0.6768639774805322E-002 -0.8859725545121513E+001  0.0000000000000000E+000 -0.3914152548992803E+001  0.0000000000000000E+000
  0.7291290391249803E-002 -0.9281843674350396E+001  0.0000000000000000E+000 -0.4010318173103119E+001  0.0000000000000000E+000
  0.8033712313215114E-002 -0.9792340411787695E+001  0.0000000000000000E+000 -0.4081344073628390E+001  0.0000000000000000E+000
  0.8776134235180425E-002 -0.1019525483158191E+002  0.0000000000000000E+000 -0.4075160919938708E+001  0.0000000000000000E+000
  0.9779784977971731E-002 -0.1056535692696933E+002  0.0000000000000000E+000 -0.3946697091839732E+001  0.0000000000000000E+000
  0.1078343572076304E-001 -0.1073477787450480E+002  0.0000000000000000E+000 -0.3687634506102089E+001  0.0000000000000000E+000
  0.1166068504828845E-001 -0.1072192055043072E+002  0.0000000000000000E+000 -0.3364405211878681E+001  0.0000000000000000E+000
  0.1253793437581385E-001 -0.1056544179139344E+002  0.0000000000000000E+000 -0.2962229704230865E+001  0.0000000000000000E+000
  0.1341518370333926E-001 -0.1027413616807047E+002  0.0000000000000000E+000 -0.2494279075442658E+001  0.0000000000000000E+000
  0.1454644800751802E-001 -0.9718368354224921E+001  0.0000000000000000E+000 -0.1816843500295996E+001  0.0000000000000000E+000
  0.1567771231169677E-001 -0.8985260621782979E+001  0.0000000000000000E+000 -0.1087980726389739E+001  0.0000000000000000E+000
  0.1680897661587552E-001 -0.8107523076418696E+001  0.0000000000000000E+000 -0.3433768007326951E+000  0.0000000000000000E+000
  0.1774028948610247E-001 -0.7300905135882889E+001  0.0000000000000000E+000  0.2555027543376716E+000  0.0000000000000000E+000
  0.1867160235632941E-001 -0.6441368920924723E+001  0.0000000000000000E+000  0.8234093149361860E+000  0.0000000000000000E+000
  0.1960291522655636E-001 -0.5549509781641681E+001  0.0000000000000000E+000  0.1343475230762870E+001  0.0000000000000000E+000
  0.2053422809678330E-001 -0.4645630905317272E+001  0.0000000000000000E+000  0.1800459247655339E+001  0.0000000000000000E+000
  0.2154914563826640E-001 -0.3670033925598432E+001  0.0000000000000000E+000  0.2212559757724445E+001  0.0000000000000000E+000
  0.2256406317974949E-001 -0.2726558257096682E+001  0.0000000000000000E+000  0.2523944082357506E+001  0.0000000000000000E+000
  0.2357898072123258E-001 -0.1835877805380978E+001  0.0000000000000000E+000  0.2728589284269367E+001  0.0000000000000000E+000
  0.2466754477920376E-001 -0.9591509486699226E+000  0.0000000000000000E+000  0.2828344152586550E+001  0.0000000000000000E+000
  0.2575610883717493E-001 -0.1800700346390004E+000  0.0000000000000000E+000  0.2806972902717358E+001  0.0000000000000000E+000
  0.2684467289514611E-001  0.4889810708929193E+000  0.0000000000000000E+000  0.2672686776745564E+001  0.0000000000000000E+000
