                                                                                                                                                                                                                                                                
                        1                        2                        3                        4
                        l                     n_pg                Re(omega)                Im(omega)
                        2                      -46  0.2322930728283438E+000  0.0000000000000000E+000
                        1                        2                        3                        4                        5
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)
  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2300882332836508E-003  0.5162718163279198E+001  0.0000000000000000E+000  0.2578447116457961E+001  0.0000000000000000E+000
  0.2492622527239550E-003  0.5591029997157418E+001  0.0000000000000000E+000  0.2790683781303784E+001  0.0000000000000000E+000
  0.2684362721642593E-003  0.6018446849347611E+001  0.0000000000000000E+000  0.3002435513162600E+001  0.0000000000000000E+000
  0.2876102916045635E-003  0.6444999267751628E+001  0.0000000000000000E+000  0.3213632869835370E+001  0.0000000000000000E+000
  0.3067843110448678E-003  0.6870685029227790E+001  0.0000000000000000E+000  0.3424217510017807E+001  0.0000000000000000E+000
  0.3451323499254762E-003  0.7719348802826629E+001  0.0000000000000000E+000  0.3843349240110495E+001  0.0000000000000000E+000
  0.3834803888060847E-003  0.8564183995491824E+001  0.0000000000000000E+000  0.4259446913050973E+001  0.0000000000000000E+000
  0.4218284276866932E-003  0.9404849128071341E+001  0.0000000000000000E+000  0.4672159622570820E+001  0.0000000000000000E+000
  0.4601764665673016E-003  0.1024097372397250E+002  0.0000000000000000E+000  0.5081150286937336E+001  0.0000000000000000E+000
  0.5176985248882143E-003  0.1148576247469848E+002  0.0000000000000000E+000  0.5686956062181929E+001  0.0000000000000000E+000
  0.5752205832091270E-003  0.1271819498751501E+002  0.0000000000000000E+000  0.6282557738397469E+001  0.0000000000000000E+000
  0.6327426415300398E-003  0.1393697059072567E+002  0.0000000000000000E+000  0.6866898308766778E+001  0.0000000000000000E+000
  0.6902646998509525E-003  0.1514080732083944E+002  0.0000000000000000E+000  0.7438944677679186E+001  0.0000000000000000E+000
  0.7669607776121694E-003  0.1672042048420871E+002  0.0000000000000000E+000  0.8180840886013609E+001  0.0000000000000000E+000
  0.8436568553733864E-003  0.1826834511931187E+002  0.0000000000000000E+000  0.8896771556055683E+001  0.0000000000000000E+000
  0.9203529331346033E-003  0.1978172832047758E+002  0.0000000000000000E+000  0.9584523041870785E+001  0.0000000000000000E+000
  0.1039966386193774E-002  0.2206612771621158E+002  0.0000000000000000E+000  0.1059604444795676E+002  0.0000000000000000E+000
  0.1159579839252944E-002  0.2425000661357484E+002  0.0000000000000000E+000  0.1152632485276037E+002  0.0000000000000000E+000
  0.1310287751119751E-002  0.2684341381998106E+002  0.0000000000000000E+000  0.1257218895134839E+002  0.0000000000000000E+000
  0.1460995662986557E-002  0.2924487503833878E+002  0.0000000000000000E+000  0.1346571708539977E+002  0.0000000000000000E+000
  0.1650884358646135E-002  0.3197243242058312E+002  0.0000000000000000E+000  0.1435935428554768E+002  0.0000000000000000E+000
  0.1840773054305712E-002  0.3434361035534759E+002  0.0000000000000000E+000  0.1497957700103929E+002  0.0000000000000000E+000
  0.2080034956818093E-002  0.3678973853016956E+002  0.0000000000000000E+000  0.1535740107152115E+002  0.0000000000000000E+000
  0.2319296859330475E-002  0.3860518650857240E+002  0.0000000000000000E+000  0.1527960207201089E+002  0.0000000000000000E+000
  0.2520287072229037E-002  0.3963020110644059E+002  0.0000000000000000E+000  0.1486832793520980E+002  0.0000000000000000E+000
  0.2721277285127599E-002  0.4019602674049457E+002  0.0000000000000000E+000  0.1415475056375416E+002  0.0000000000000000E+000
  0.2922267498026161E-002  0.4030807133716921E+002  0.0000000000000000E+000  0.1315889881999178E+002  0.0000000000000000E+000
  0.3112225549436467E-002  0.4000785049178076E+002  0.0000000000000000E+000  0.1198216130557541E+002  0.0000000000000000E+000
  0.3302183600846774E-002  0.3932928051858838E+002  0.0000000000000000E+000  0.1060373731409654E+002  0.0000000000000000E+000
  0.3492141652257081E-002  0.3829322894826000E+002  0.0000000000000000E+000  0.9054344917061982E+001  0.0000000000000000E+000
  0.3682099703667387E-002  0.3692506205165735E+002  0.0000000000000000E+000  0.7367855251235004E+001  0.0000000000000000E+000
  0.3921500270735109E-002  0.3477516132023619E+002  0.0000000000000000E+000  0.5101411739286384E+001  0.0000000000000000E+000
  0.4160900837802833E-002  0.3221041799817512E+002  0.0000000000000000E+000  0.2750578902630540E+001  0.0000000000000000E+000
  0.4400301404870555E-002  0.2930406369862853E+002  0.0000000000000000E+000  0.3926770071793294E+000  0.0000000000000000E+000
  0.4639701971938278E-002  0.2613407338943643E+002  0.0000000000000000E+000 -0.1896260734853590E+001  0.0000000000000000E+000
  0.4869433365318841E-002  0.2291859955823416E+002  0.0000000000000000E+000 -0.3960279059545267E+001  0.0000000000000000E+000
  0.5099164758699403E-002  0.1960651485521948E+002  0.0000000000000000E+000 -0.5836031592748019E+001  0.0000000000000000E+000
  0.5328896152079966E-002  0.1626827605125693E+002  0.0000000000000000E+000 -0.7472160846785755E+001  0.0000000000000000E+000
  0.5558627545460530E-002  0.1297153795196812E+002  0.0000000000000000E+000 -0.8825804295367874E+001  0.0000000000000000E+000
  0.5787748083093968E-002  0.9787942700324164E+001  0.0000000000000000E+000 -0.9861585775397947E+001  0.0000000000000000E+000
  0.6016868620727404E-002  0.6765935466195404E+001  0.0000000000000000E+000 -0.1056156290033036E+002  0.0000000000000000E+000
