                                                                                                                                                                                                                                                                
                        1                        2                        3                        4
                        l                     n_pg                Re(omega)                Im(omega)
                        2                      -54  0.1981431152887596E+000  0.0000000000000000E+000
                        1                        2                        3                        4                        5
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)
  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2300882332836508E-003  0.6791064113529075E+001  0.0000000000000000E+000  0.3390265332048332E+001  0.0000000000000000E+000
  0.2492622527239550E-003  0.7353522709810320E+001  0.0000000000000000E+000  0.3668025542855724E+001  0.0000000000000000E+000
  0.2684362721642593E-003  0.7914363521825531E+001  0.0000000000000000E+000  0.3944909814330309E+001  0.0000000000000000E+000
  0.2876102916045635E-003  0.8473642079068886E+001  0.0000000000000000E+000  0.4220793124128633E+001  0.0000000000000000E+000
  0.3067843110448678E-003  0.9031354772997638E+001  0.0000000000000000E+000  0.4495570586195972E+001  0.0000000000000000E+000
  0.3451323499254762E-003  0.1014189010931823E+002  0.0000000000000000E+000  0.5041450187919580E+001  0.0000000000000000E+000
  0.3834803888060847E-003  0.1124551494524945E+002  0.0000000000000000E+000  0.5581861374490086E+001  0.0000000000000000E+000
  0.4218284276866932E-003  0.1234161871687376E+002  0.0000000000000000E+000  0.6116178020787403E+001  0.0000000000000000E+000
  0.4601764665673016E-003  0.1342954013372140E+002  0.0000000000000000E+000  0.6643800945702037E+001  0.0000000000000000E+000
  0.5176985248882143E-003  0.1504450582937487E+002  0.0000000000000000E+000  0.7421443746023294E+001  0.0000000000000000E+000
  0.5752205832091270E-003  0.1663725950074683E+002  0.0000000000000000E+000  0.8180798316119608E+001  0.0000000000000000E+000
  0.6327426415300398E-003  0.1820550472632844E+002  0.0000000000000000E+000  0.8920018292080538E+001  0.0000000000000000E+000
  0.6902646998509525E-003  0.1974699120351473E+002  0.0000000000000000E+000  0.9637314755989058E+001  0.0000000000000000E+000
  0.7669607776121694E-003  0.2175673691887488E+002  0.0000000000000000E+000  0.1055668163035831E+002  0.0000000000000000E+000
  0.8436568553733864E-003  0.2371001235675053E+002  0.0000000000000000E+000  0.1143008276551267E+002  0.0000000000000000E+000
  0.9203529331346033E-003  0.2560194151620627E+002  0.0000000000000000E+000  0.1225383997346008E+002  0.0000000000000000E+000
  0.1039966386193774E-002  0.2841851083317606E+002  0.0000000000000000E+000  0.1343162707183381E+002  0.0000000000000000E+000
  0.1159579839252944E-002  0.3105839059426922E+002  0.0000000000000000E+000  0.1446841001983027E+002  0.0000000000000000E+000
  0.1310287751119751E-002  0.3410881989413966E+002  0.0000000000000000E+000  0.1555814811989051E+002  0.0000000000000000E+000
  0.1460995662986557E-002  0.3682793750190362E+002  0.0000000000000000E+000  0.1639046290817820E+002  0.0000000000000000E+000
  0.1650884358646135E-002  0.3974633742876803E+002  0.0000000000000000E+000  0.1705456302432212E+002  0.0000000000000000E+000
  0.1840773054305712E-002  0.4206789424439738E+002  0.0000000000000000E+000  0.1727752424163629E+002  0.0000000000000000E+000
  0.2080034956818093E-002  0.4410734881236847E+002  0.0000000000000000E+000  0.1693017062172729E+002  0.0000000000000000E+000
  0.2319296859330475E-002  0.4514406060004868E+002  0.0000000000000000E+000  0.1590822509342587E+002  0.0000000000000000E+000
  0.2520287072229037E-002  0.4524674446789893E+002  0.0000000000000000E+000  0.1456987081993583E+002  0.0000000000000000E+000
  0.2721277285127599E-002  0.4467230079673074E+002  0.0000000000000000E+000  0.1284353936198058E+002  0.0000000000000000E+000
  0.2922267498026161E-002  0.4345779368187385E+002  0.0000000000000000E+000  0.1078932655661817E+002  0.0000000000000000E+000
  0.3112225549436467E-002  0.4176602015160253E+002  0.0000000000000000E+000  0.8609802048397688E+001  0.0000000000000000E+000
  0.3302183600846774E-002  0.3959833821931591E+002  0.0000000000000000E+000  0.6264410135332441E+001  0.0000000000000000E+000
  0.3492141652257081E-002  0.3701359680394168E+002  0.0000000000000000E+000  0.3821513019541853E+001  0.0000000000000000E+000
  0.3682099703667387E-002  0.3407673218273255E+002  0.0000000000000000E+000  0.1351082206497699E+001  0.0000000000000000E+000
  0.3921500270735109E-002  0.2998504881637120E+002  0.0000000000000000E+000 -0.1699524434102783E+001  0.0000000000000000E+000
  0.4160900837802833E-002  0.2558743914668268E+002  0.0000000000000000E+000 -0.4551462025403748E+001  0.0000000000000000E+000
  0.4400301404870555E-002  0.2103094833040963E+002  0.0000000000000000E+000 -0.7084172523730631E+001  0.0000000000000000E+000
  0.4639701971938278E-002  0.1645939721730402E+002  0.0000000000000000E+000 -0.9194926306960163E+001  0.0000000000000000E+000
  0.4869433365318841E-002  0.1218380280924814E+002  0.0000000000000000E+000 -0.1074740637510159E+002  0.0000000000000000E+000
  0.5099164758699403E-002  0.8129206650734718E+001  0.0000000000000000E+000 -0.1178823549604204E+002  0.0000000000000000E+000
  0.5328896152079966E-002  0.4391216984724562E+001  0.0000000000000000E+000 -0.1229185087884328E+002  0.0000000000000000E+000
  0.5558627545460530E-002  0.1049414177508819E+001  0.0000000000000000E+000 -0.1225666945046236E+002  0.0000000000000000E+000
  0.5787748083093968E-002 -0.1827456004230034E+001  0.0000000000000000E+000 -0.1170674087841413E+002  0.0000000000000000E+000
  0.6016868620727404E-002 -0.4206345540684235E+001  0.0000000000000000E+000 -0.1068641781542367E+002  0.0000000000000000E+000
