                                                                                                                                                                                                                                                                
                        1                        2                        3                        4
                        l                     n_pg                Re(omega)                Im(omega)
                        2                      -92  0.1157317126924838E+000  0.0000000000000000E+000
                        1                        2                        3                        4                        5
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)
  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2300882332836508E-003  0.1472311807513885E+002  0.0000000000000000E+000  0.7327950932541911E+001  0.0000000000000000E+000
  0.2492622527239550E-003  0.1592796707279974E+002  0.0000000000000000E+000  0.7908379851154059E+001  0.0000000000000000E+000
  0.2684362721642593E-003  0.1712256141364851E+002  0.0000000000000000E+000  0.8483280428449582E+001  0.0000000000000000E+000
  0.2876102916045635E-003  0.1830726630594254E+002  0.0000000000000000E+000  0.9051882718012742E+001  0.0000000000000000E+000
  0.3067843110448678E-003  0.1948207682496359E+002  0.0000000000000000E+000  0.9613547443134831E+001  0.0000000000000000E+000
  0.3451323499254762E-003  0.2180089957267678E+002  0.0000000000000000E+000  0.1071391461594497E+002  0.0000000000000000E+000
  0.3834803888060847E-003  0.2407636420599481E+002  0.0000000000000000E+000  0.1178031446231561E+002  0.0000000000000000E+000
  0.4218284276866932E-003  0.2630489867539055E+002  0.0000000000000000E+000  0.1280914011980034E+002  0.0000000000000000E+000
  0.4601764665673016E-003  0.2848268385613738E+002  0.0000000000000000E+000  0.1379704030993798E+002  0.0000000000000000E+000
  0.5176985248882143E-003  0.3164531311533685E+002  0.0000000000000000E+000  0.1519547151414026E+002  0.0000000000000000E+000
  0.5752205832091270E-003  0.3467259568172073E+002  0.0000000000000000E+000  0.1648484287047059E+002  0.0000000000000000E+000
  0.6327426415300398E-003  0.3755236620906357E+002  0.0000000000000000E+000  0.1765622794777839E+002  0.0000000000000000E+000
  0.6902646998509525E-003  0.4027326570443640E+002  0.0000000000000000E+000  0.1870164361556166E+002  0.0000000000000000E+000
  0.7669607776121694E-003  0.4363534068090530E+002  0.0000000000000000E+000  0.1988786663623461E+002  0.0000000000000000E+000
  0.8436568553733864E-003  0.4667453752562839E+002  0.0000000000000000E+000  0.2082410917871010E+002  0.0000000000000000E+000
  0.9203529331346033E-003  0.4937169244577658E+002  0.0000000000000000E+000  0.2150023008833930E+002  0.0000000000000000E+000
  0.1039966386193774E-002  0.5285740073932624E+002  0.0000000000000000E+000  0.2202146785149329E+002  0.0000000000000000E+000
  0.1159579839252944E-002  0.5543205711250210E+002  0.0000000000000000E+000  0.2188687033152904E+002  0.0000000000000000E+000
  0.1310287751119751E-002  0.5734512569338669E+002  0.0000000000000000E+000  0.2080435017096222E+002  0.0000000000000000E+000
  0.1460995662986557E-002  0.5777871502614703E+002  0.0000000000000000E+000  0.1877418590077996E+002  0.0000000000000000E+000
  0.1650884358646135E-002  0.5630830141019776E+002  0.0000000000000000E+000  0.1505306958966106E+002  0.0000000000000000E+000
  0.1840773054305712E-002  0.5278626995816897E+002  0.0000000000000000E+000  0.1035414465110245E+002  0.0000000000000000E+000
  0.2080034956818093E-002  0.4593890549038037E+002  0.0000000000000000E+000  0.3647938219111544E+001  0.0000000000000000E+000
  0.2319296859330475E-002  0.3712955046017076E+002  0.0000000000000000E+000 -0.3086438985759153E+001  0.0000000000000000E+000
  0.2520287072229037E-002  0.2886854273450156E+002  0.0000000000000000E+000 -0.8108340142085744E+001  0.0000000000000000E+000
  0.2721277285127599E-002  0.2043563444871521E+002  0.0000000000000000E+000 -0.1210591791977506E+002  0.0000000000000000E+000
  0.2922267498026161E-002  0.1234971661059653E+002  0.0000000000000000E+000 -0.1475972930626309E+002  0.0000000000000000E+000
  0.3112225549436467E-002  0.5433029067477023E+001  0.0000000000000000E+000 -0.1586151283421359E+002  0.0000000000000000E+000
  0.3302183600846774E-002 -0.4643071662714368E+000  0.0000000000000000E+000 -0.1557689414156953E+002  0.0000000000000000E+000
  0.3492141652257081E-002 -0.5131736384459075E+001  0.0000000000000000E+000 -0.1400216830315704E+002  0.0000000000000000E+000
  0.3682099703667387E-002 -0.8456939886965278E+001  0.0000000000000000E+000 -0.1134162638870564E+002  0.0000000000000000E+000
  0.3921500270735109E-002 -0.1073339785866670E+002  0.0000000000000000E+000 -0.6927518523299653E+001  0.0000000000000000E+000
  0.4160900837802833E-002 -0.1104640763040311E+002  0.0000000000000000E+000 -0.1937016128518866E+001  0.0000000000000000E+000
  0.4400301404870555E-002 -0.9743205384760312E+001  0.0000000000000000E+000  0.2895895185129332E+001  0.0000000000000000E+000
  0.4639701971938278E-002 -0.7296339106992431E+001  0.0000000000000000E+000  0.6901444064251263E+001  0.0000000000000000E+000
  0.4869433365318841E-002 -0.4361876509560321E+001  0.0000000000000000E+000  0.9486756463725598E+001  0.0000000000000000E+000
  0.5099164758699403E-002 -0.1325109801953870E+001  0.0000000000000000E+000  0.1057142549368179E+002  0.0000000000000000E+000
  0.5328896152079966E-002  0.1410056045945217E+001  0.0000000000000000E+000  0.1010923646618382E+002  0.0000000000000000E+000
  0.5558627545460530E-002  0.3535542820378287E+001  0.0000000000000000E+000  0.8264920235960842E+001  0.0000000000000000E+000
  0.5787748083093968E-002  0.4859945216437919E+001  0.0000000000000000E+000  0.5390024060935987E+001  0.0000000000000000E+000
