                                                                                                                                                                                                                                                                
                        1                        2                        3                        4
                        l                     n_pg                Re(omega)                Im(omega)
                        2                      -82  0.1301694931431944E+000  0.0000000000000000E+000
                        1                        2                        3                        4                        5
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)
  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2300882332836508E-003  0.1278515234133211E+002  0.0000000000000000E+000  0.6369538596826039E+001  0.0000000000000000E+000
  0.2492622527239550E-003  0.1383544126433372E+002  0.0000000000000000E+000  0.6879572999494813E+001  0.0000000000000000E+000
  0.2684362721642593E-003  0.1487868476580784E+002  0.0000000000000000E+000  0.7385804115538869E+001  0.0000000000000000E+000
  0.2876102916045635E-003  0.1591513089861338E+002  0.0000000000000000E+000  0.7887698033566936E+001  0.0000000000000000E+000
  0.3067843110448678E-003  0.1694477237512559E+002  0.0000000000000000E+000  0.8384809963912526E+001  0.0000000000000000E+000
  0.3451323499254762E-003  0.1898285235187034E+002  0.0000000000000000E+000  0.9363185251738594E+001  0.0000000000000000E+000
  0.3834803888060847E-003  0.2099104636554159E+002  0.0000000000000000E+000  0.1031807261907602E+002  0.0000000000000000E+000
  0.4218284276866932E-003  0.2296683538291655E+002  0.0000000000000000E+000  0.1124691545185806E+002  0.0000000000000000E+000
  0.4601764665673016E-003  0.2490751456686705E+002  0.0000000000000000E+000  0.1214731459917042E+002  0.0000000000000000E+000
  0.5176985248882143E-003  0.2774635677162083E+002  0.0000000000000000E+000  0.1343973473891703E+002  0.0000000000000000E+000
  0.5752205832091270E-003  0.3049102868339589E+002  0.0000000000000000E+000  0.1465574401796474E+002  0.0000000000000000E+000
  0.6327426415300398E-003  0.3313265823930229E+002  0.0000000000000000E+000  0.1578861675363433E+002  0.0000000000000000E+000
  0.6902646998509525E-003  0.3566282008726269E+002  0.0000000000000000E+000  0.1683215652746022E+002  0.0000000000000000E+000
  0.7669607776121694E-003  0.3884880803994141E+002  0.0000000000000000E+000  0.1807509948077219E+002  0.0000000000000000E+000
  0.8436568553733864E-003  0.4180546986460239E+002  0.0000000000000000E+000  0.1913752130888530E+002  0.0000000000000000E+000
  0.9203529331346033E-003  0.4451718581101829E+002  0.0000000000000000E+000  0.2000974691695890E+002  0.0000000000000000E+000
  0.1039966386193774E-002  0.4822399370135971E+002  0.0000000000000000E+000  0.2097361242601724E+002  0.0000000000000000E+000
  0.1159579839252944E-002  0.5126128388352652E+002  0.0000000000000000E+000  0.2143800188506288E+002  0.0000000000000000E+000
  0.1310287751119751E-002  0.5408812891694707E+002  0.0000000000000000E+000  0.2130327958708316E+002  0.0000000000000000E+000
  0.1460995662986557E-002  0.5577319159806860E+002  0.0000000000000000E+000  0.2038296862043290E+002  0.0000000000000000E+000
  0.1650884358646135E-002  0.5627438669805720E+002  0.0000000000000000E+000  0.1818223468495625E+002  0.0000000000000000E+000
  0.1840773054305712E-002  0.5503540590743889E+002  0.0000000000000000E+000  0.1497932441217086E+002  0.0000000000000000E+000
  0.2080034956818093E-002  0.5123425939550564E+002  0.0000000000000000E+000  0.9860937619545206E+001  0.0000000000000000E+000
  0.2319296859330475E-002  0.4532765066764735E+002  0.0000000000000000E+000  0.4065190658618460E+001  0.0000000000000000E+000
  0.2520287072229037E-002  0.3912972920762880E+002  0.0000000000000000E+000 -0.8679549324520562E+000  0.0000000000000000E+000
  0.2721277285127599E-002  0.3220726769886420E+002  0.0000000000000000E+000 -0.5491776966025514E+001  0.0000000000000000E+000
  0.2922267498026161E-002  0.2494048545816697E+002  0.0000000000000000E+000 -0.9484327255195891E+001  0.0000000000000000E+000
  0.3112225549436467E-002  0.1808989965763686E+002  0.0000000000000000E+000 -0.1243304140988963E+002  0.0000000000000000E+000
  0.3302183600846774E-002  0.1155646587415991E+002  0.0000000000000000E+000 -0.1442034763268514E+002  0.0000000000000000E+000
  0.3492141652257081E-002  0.5593246028716380E+001  0.0000000000000000E+000 -0.1535661627949791E+002  0.0000000000000000E+000
  0.3682099703667387E-002  0.4055661973697965E+000  0.0000000000000000E+000 -0.1522695210382098E+002  0.0000000000000000E+000
  0.3921500270735109E-002 -0.4801874161293756E+001  0.0000000000000000E+000 -0.1367246286692164E+002  0.0000000000000000E+000
  0.4160900837802833E-002 -0.8391537571684244E+001  0.0000000000000000E+000 -0.1078249525223999E+002  0.0000000000000000E+000
  0.4400301404870555E-002 -0.1034232329739262E+002  0.0000000000000000E+000 -0.6950635945547588E+001  0.0000000000000000E+000
  0.4639701971938278E-002 -0.1077009673643658E+002  0.0000000000000000E+000 -0.2654445304348045E+001  0.0000000000000000E+000
  0.4869433365318841E-002 -0.9958559142929136E+001  0.0000000000000000E+000  0.1438179139317469E+001  0.0000000000000000E+000
  0.5099164758699403E-002 -0.8229762887868020E+001  0.0000000000000000E+000  0.5071070104113637E+001  0.0000000000000000E+000
  0.5328896152079966E-002 -0.5899113578996082E+001  0.0000000000000000E+000  0.7892742819163644E+001  0.0000000000000000E+000
  0.5558627545460530E-002 -0.3291350955371394E+001  0.0000000000000000E+000  0.9654781655858601E+001  0.0000000000000000E+000
  0.5787748083093968E-002 -0.7181927207163593E+000  0.0000000000000000E+000  0.1023376499159381E+002  0.0000000000000000E+000
