                                                                                                                                                                                                                                                                
                        1                        2                        3                        4
                        l                     n_pg                Re(omega)                Im(omega)
                        2                      -15  0.6766457274087244E+000  0.0000000000000000E+000
                        1                        2                        3                        4                        5
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)
  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.9203529331346033E-003 -0.2409802886482046E+001  0.0000000000000000E+000 -0.1202330098789516E+001  0.0000000000000000E+000
  0.1039966386193774E-002 -0.2720052121834309E+001  0.0000000000000000E+000 -0.1354835362188825E+001  0.0000000000000000E+000
  0.1159579839252944E-002 -0.3028441041373383E+001  0.0000000000000000E+000 -0.1506240561241998E+001  0.0000000000000000E+000
  0.1310287751119751E-002 -0.3414373087435510E+001  0.0000000000000000E+000 -0.1695130598762648E+001  0.0000000000000000E+000
  0.1460995662986557E-002 -0.3797221826500074E+001  0.0000000000000000E+000 -0.1881626320600140E+001  0.0000000000000000E+000
  0.1650884358646135E-002 -0.4274799106761554E+001  0.0000000000000000E+000 -0.2112753125594984E+001  0.0000000000000000E+000
  0.1840773054305712E-002 -0.4746494377859064E+001  0.0000000000000000E+000 -0.2339067237216900E+001  0.0000000000000000E+000
  0.2080034956818093E-002 -0.5331483579204719E+001  0.0000000000000000E+000 -0.2616575990673196E+001  0.0000000000000000E+000
  0.2319296859330475E-002 -0.5904949127233939E+001  0.0000000000000000E+000 -0.2884604486535732E+001  0.0000000000000000E+000
  0.2620782178678318E-002 -0.6609216438699250E+001  0.0000000000000000E+000 -0.3207376110370750E+001  0.0000000000000000E+000
  0.2922267498026161E-002 -0.7290950001202110E+001  0.0000000000000000E+000 -0.3511740578251255E+001  0.0000000000000000E+000
  0.3302183600846774E-002 -0.8114369580433449E+001  0.0000000000000000E+000 -0.3866491190986561E+001  0.0000000000000000E+000
  0.3682099703667387E-002 -0.8894254030851446E+001  0.0000000000000000E+000 -0.4186195296093440E+001  0.0000000000000000E+000
  0.4160900837802833E-002 -0.9808880263832137E+001  0.0000000000000000E+000 -0.4535006965093779E+001  0.0000000000000000E+000
  0.4639701971938278E-002 -0.1064111827099289E+002  0.0000000000000000E+000 -0.4819075764218677E+001  0.0000000000000000E+000
  0.5099164758699403E-002 -0.1135654199424550E+002  0.0000000000000000E+000 -0.5027364808817627E+001  0.0000000000000000E+000
  0.5558627545460530E-002 -0.1198573679263450E+002  0.0000000000000000E+000 -0.5170301435854801E+001  0.0000000000000000E+000
  0.6245989158360841E-002 -0.1275783565460664E+002  0.0000000000000000E+000 -0.5259654115221085E+001  0.0000000000000000E+000
  0.6768639774805322E-002 -0.1320521720297339E+002  0.0000000000000000E+000 -0.5227597416809004E+001  0.0000000000000000E+000
  0.7291290391249803E-002 -0.1352944702206454E+002  0.0000000000000000E+000 -0.5111014796253397E+001  0.0000000000000000E+000
  0.8033712313215114E-002 -0.1377810427561550E+002  0.0000000000000000E+000 -0.4806516042336828E+001  0.0000000000000000E+000
  0.8776134235180425E-002 -0.1378235381168365E+002  0.0000000000000000E+000 -0.4352316980450142E+001  0.0000000000000000E+000
  0.9779784977971731E-002 -0.1341961792281499E+002  0.0000000000000000E+000 -0.3534333178558497E+001  0.0000000000000000E+000
  0.1078343572076304E-001 -0.1266997016482576E+002  0.0000000000000000E+000 -0.2538489392162825E+001  0.0000000000000000E+000
  0.1166068504828845E-001 -0.1174057633618842E+002  0.0000000000000000E+000 -0.1578469419407909E+001  0.0000000000000000E+000
  0.1253793437581385E-001 -0.1060332547162956E+002  0.0000000000000000E+000 -0.5858048608688639E+000  0.0000000000000000E+000
  0.1341518370333926E-001 -0.9307586644700935E+001  0.0000000000000000E+000  0.3897685086341277E+000  0.0000000000000000E+000
  0.1454644800751802E-001 -0.7489300375578334E+001  0.0000000000000000E+000  0.1551738641736553E+001  0.0000000000000000E+000
  0.1567771231169677E-001 -0.5603032242330411E+001  0.0000000000000000E+000  0.2520664156738399E+001  0.0000000000000000E+000
  0.1680897661587552E-001 -0.3754876808350104E+001  0.0000000000000000E+000  0.3228165391782496E+001  0.0000000000000000E+000
  0.1774028948610247E-001 -0.2327922565023860E+001  0.0000000000000000E+000  0.3579443243784192E+001  0.0000000000000000E+000
  0.1867160235632941E-001 -0.1036506847298863E+001  0.0000000000000000E+000  0.3715045650854485E+001  0.0000000000000000E+000
  0.1960291522655636E-001  0.8494774056754890E-001  0.0000000000000000E+000  0.3638386570025606E+001  0.0000000000000000E+000
  0.2053422809678330E-001  0.1012126774002065E+001  0.0000000000000000E+000  0.3365227030978302E+001  0.0000000000000000E+000
  0.2154914563826640E-001  0.1785577572983881E+001  0.0000000000000000E+000  0.2877157353545253E+001  0.0000000000000000E+000
  0.2256406317974949E-001  0.2308855072625283E+001  0.0000000000000000E+000  0.2234294927122555E+001  0.0000000000000000E+000
  0.2357898072123258E-001  0.2591425828038915E+001  0.0000000000000000E+000  0.1490243031380272E+001  0.0000000000000000E+000
  0.2466754477920376E-001  0.2651359631681795E+001  0.0000000000000000E+000  0.6445949348879755E+000  0.0000000000000000E+000
  0.2575610883717493E-001  0.2495739723983454E+001  0.0000000000000000E+000 -0.1849072791527377E+000  0.0000000000000000E+000
  0.2684467289514611E-001  0.2169579323084423E+001  0.0000000000000000E+000 -0.9368053874542142E+000  0.0000000000000000E+000
