                                                                                                                                                                                                                                                                
                        1                        2                        3                        4
                        l                     n_pg                Re(omega)                Im(omega)
                        2                      -40  0.2665936553825262E+000  0.0000000000000000E+000
                        1                        2                        3                        4                        5
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)
  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2300882332836508E-003  0.3982229557295696E+001  0.0000000000000000E+000  0.1989409716641781E+001  0.0000000000000000E+000
  0.2492622527239550E-003  0.4312961205999340E+001  0.0000000000000000E+000  0.2153651512609781E+001  0.0000000000000000E+000
  0.2684362721642593E-003  0.4643168751650435E+001  0.0000000000000000E+000  0.2317609175968919E+001  0.0000000000000000E+000
  0.2876102916045635E-003  0.4972870014654024E+001  0.0000000000000000E+000  0.2481241936210194E+001  0.0000000000000000E+000
  0.3067843110448678E-003  0.5302063605227512E+001  0.0000000000000000E+000  0.2644515508467009E+001  0.0000000000000000E+000
  0.3451323499254762E-003  0.5958864155758612E+001  0.0000000000000000E+000  0.2969867760464644E+001  0.0000000000000000E+000
  0.3834803888060847E-003  0.6613420534003589E+001  0.0000000000000000E+000  0.3293439818704234E+001  0.0000000000000000E+000
  0.4218284276866932E-003  0.7265531365471431E+001  0.0000000000000000E+000  0.3615024474553112E+001  0.0000000000000000E+000
  0.4601764665673016E-003  0.7914977942548670E+001  0.0000000000000000E+000  0.3934422204844042E+001  0.0000000000000000E+000
  0.5176985248882143E-003  0.8883629145200150E+001  0.0000000000000000E+000  0.4409001913674325E+001  0.0000000000000000E+000
  0.5752205832091270E-003  0.9845018617738807E+001  0.0000000000000000E+000  0.4877572943897309E+001  0.0000000000000000E+000
  0.6327426415300398E-003  0.1079837321849817E+002  0.0000000000000000E+000  0.5339502781502881E+001  0.0000000000000000E+000
  0.6902646998509525E-003  0.1174292816238613E+002  0.0000000000000000E+000  0.5794169894653063E+001  0.0000000000000000E+000
  0.7669607776121694E-003  0.1298728933157602E+002  0.0000000000000000E+000  0.6388060677366701E+001  0.0000000000000000E+000
  0.8436568553733864E-003  0.1421292325531557E+002  0.0000000000000000E+000  0.6966541095506718E+001  0.0000000000000000E+000
  0.9203529331346033E-003  0.1541809987033115E+002  0.0000000000000000E+000  0.7528246118923641E+001  0.0000000000000000E+000
  0.1039966386193774E-002  0.1725261169198758E+002  0.0000000000000000E+000  0.8367760910347780E+001  0.0000000000000000E+000
  0.1159579839252944E-002  0.1902719774639198E+002  0.0000000000000000E+000  0.9158456171082952E+001  0.0000000000000000E+000
  0.1310287751119751E-002  0.2116829014055536E+002  0.0000000000000000E+000  0.1007827279048399E+002  0.0000000000000000E+000
  0.1460995662986557E-002  0.2319363299290188E+002  0.0000000000000000E+000  0.1090501381709987E+002  0.0000000000000000E+000
  0.1650884358646135E-002  0.2556410100969683E+002  0.0000000000000000E+000  0.1180307926575616E+002  0.0000000000000000E+000
  0.1840773054305712E-002  0.2771558610778297E+002  0.0000000000000000E+000  0.1252934952094750E+002  0.0000000000000000E+000
  0.2080034956818093E-002  0.3008882396809010E+002  0.0000000000000000E+000  0.1318540350835378E+002  0.0000000000000000E+000
  0.2319296859330475E-002  0.3206211249257374E+002  0.0000000000000000E+000  0.1354068875691650E+002  0.0000000000000000E+000
  0.2520287072229037E-002  0.3339619660838381E+002  0.0000000000000000E+000  0.1360270604321472E+002  0.0000000000000000E+000
  0.2721277285127599E-002  0.3442612178062675E+002  0.0000000000000000E+000  0.1344987281994162E+002  0.0000000000000000E+000
  0.2922267498026161E-002  0.3514799314161882E+002  0.0000000000000000E+000  0.1308706163276387E+002  0.0000000000000000E+000
  0.3112225549436467E-002  0.3554686810946867E+002  0.0000000000000000E+000  0.1255888906203834E+002  0.0000000000000000E+000
  0.3302183600846774E-002  0.3567325755363957E+002  0.0000000000000000E+000  0.1186084085115505E+002  0.0000000000000000E+000
  0.3492141652257081E-002  0.3553287183067197E+002  0.0000000000000000E+000  0.1100552866451326E+002  0.0000000000000000E+000
  0.3682099703667387E-002  0.3513414302306153E+002  0.0000000000000000E+000  0.1000790951541090E+002  0.0000000000000000E+000
  0.3921500270735109E-002  0.3428162052867858E+002  0.0000000000000000E+000  0.8573710623909774E+001  0.0000000000000000E+000
  0.4160900837802833E-002  0.3306365227422460E+002  0.0000000000000000E+000  0.6978604277031587E+001  0.0000000000000000E+000
  0.4400301404870555E-002  0.3151303266580952E+002  0.0000000000000000E+000  0.5264116991531647E+001  0.0000000000000000E+000
  0.4639701971938278E-002  0.2966720009808676E+002  0.0000000000000000E+000  0.3474134223011201E+001  0.0000000000000000E+000
  0.4869433365318841E-002  0.2765636111319147E+002  0.0000000000000000E+000  0.1727541591799877E+001  0.0000000000000000E+000
  0.5099164758699403E-002  0.2545073200469144E+002  0.0000000000000000E+000 -0.7321779850751328E-002  0.0000000000000000E+000
  0.5328896152079966E-002  0.2309104744892550E+002  0.0000000000000000E+000 -0.1691480458788845E+001  0.0000000000000000E+000
  0.5558627545460530E-002  0.2061905743207609E+002  0.0000000000000000E+000 -0.3287704921421479E+001  0.0000000000000000E+000
  0.5787748083093968E-002  0.1808356926607046E+002  0.0000000000000000E+000 -0.4757751997899664E+001  0.0000000000000000E+000
  0.6016868620727404E-002  0.1551931292733013E+002  0.0000000000000000E+000 -0.6075493178815365E+001  0.0000000000000000E+000
