                                                                                                                                                                                                                                                                
                        1                        2                        3                        4
                        l                     n_pg                Re(omega)                Im(omega)
                        2                      -42  0.2540988158030806E+000  0.0000000000000000E+000
                        1                        2                        3                        4                        5
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)
  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2300882332836508E-003  0.4363061810864217E+001  0.0000000000000000E+000  0.2179474475411991E+001  0.0000000000000000E+000
  0.2492622527239550E-003  0.4725298359888839E+001  0.0000000000000000E+000  0.2359237143456555E+001  0.0000000000000000E+000
  0.2684362721642593E-003  0.5086902802073752E+001  0.0000000000000000E+000  0.2538657189877194E+001  0.0000000000000000E+000
  0.2876102916045635E-003  0.5447896657034097E+001  0.0000000000000000E+000  0.2717685482740622E+001  0.0000000000000000E+000
  0.3067843110448678E-003  0.5808278282696436E+001  0.0000000000000000E+000  0.2896280718122608E+001  0.0000000000000000E+000
  0.3451323499254762E-003  0.6527128315642920E+001  0.0000000000000000E+000  0.3252030724562601E+001  0.0000000000000000E+000
  0.3834803888060847E-003  0.7243272541761690E+001  0.0000000000000000E+000  0.3605635024670151E+001  0.0000000000000000E+000
  0.4218284276866932E-003  0.7956468627717908E+001  0.0000000000000000E+000  0.3956844369672070E+001  0.0000000000000000E+000
  0.4601764665673016E-003  0.8666453470025060E+001  0.0000000000000000E+000  0.4305418937552713E+001  0.0000000000000000E+000
  0.5176985248882143E-003  0.9724780623672276E+001  0.0000000000000000E+000  0.4822840550107209E+001  0.0000000000000000E+000
  0.5752205832091270E-003  0.1077435954880890E+002  0.0000000000000000E+000  0.5333028022803698E+001  0.0000000000000000E+000
  0.6327426415300398E-003  0.1181426218148468E+002  0.0000000000000000E+000  0.5835223697421232E+001  0.0000000000000000E+000
  0.6902646998509525E-003  0.1284357153599844E+002  0.0000000000000000E+000  0.6328684324255817E+001  0.0000000000000000E+000
  0.7669607776121694E-003  0.1419788081359778E+002  0.0000000000000000E+000  0.6971809522660527E+001  0.0000000000000000E+000
  0.8436568553733864E-003  0.1552966912612615E+002  0.0000000000000000E+000  0.7596427550861419E+001  0.0000000000000000E+000
  0.9203529331346033E-003  0.1683687274097865E+002  0.0000000000000000E+000  0.8200918560498994E+001  0.0000000000000000E+000
  0.1039966386193774E-002  0.1882146634707209E+002  0.0000000000000000E+000  0.9099922792262767E+001  0.0000000000000000E+000
  0.1159579839252944E-002  0.2073419329190719E+002  0.0000000000000000E+000  0.9940526881641217E+001  0.0000000000000000E+000
  0.1310287751119751E-002  0.2303063769286599E+002  0.0000000000000000E+000  0.1090844005884486E+002  0.0000000000000000E+000
  0.1460995662986557E-002  0.2518877055042018E+002  0.0000000000000000E+000  0.1176559305025285E+002  0.0000000000000000E+000
  0.1650884358646135E-002  0.2769178460554900E+002  0.0000000000000000E+000  0.1267534490189373E+002  0.0000000000000000E+000
  0.1840773054305712E-002  0.2993467517343431E+002  0.0000000000000000E+000  0.1338244221251421E+002  0.0000000000000000E+000
  0.2080034956818093E-002  0.3236147443780869E+002  0.0000000000000000E+000  0.1396980501865750E+002  0.0000000000000000E+000
  0.2319296859330475E-002  0.3431785391759308E+002  0.0000000000000000E+000  0.1420774176115560E+002  0.0000000000000000E+000
  0.2520287072229037E-002  0.3558309862331318E+002  0.0000000000000000E+000  0.1413581990361662E+002  0.0000000000000000E+000
  0.2721277285127599E-002  0.3649538079503854E+002  0.0000000000000000E+000  0.1381978735002095E+002  0.0000000000000000E+000
  0.2922267498026161E-002  0.3705286045488671E+002  0.0000000000000000E+000  0.1326835862392016E+002  0.0000000000000000E+000
  0.3112225549436467E-002  0.3725607291020715E+002  0.0000000000000000E+000  0.1254279188343273E+002  0.0000000000000000E+000
  0.3302183600846774E-002  0.3715099553017468E+002  0.0000000000000000E+000  0.1163333954252475E+002  0.0000000000000000E+000
  0.3492141652257081E-002  0.3674725113656243E+002  0.0000000000000000E+000  0.1055759198175087E+002  0.0000000000000000E+000
  0.3682099703667387E-002  0.3605775490496808E+002  0.0000000000000000E+000  0.9335826897440985E+001  0.0000000000000000E+000
  0.3921500270735109E-002  0.3480774059613523E+002  0.0000000000000000E+000  0.7622118630743613E+001  0.0000000000000000E+000
  0.4160900837802833E-002  0.3316736684097113E+002  0.0000000000000000E+000  0.5761609511085977E+001  0.0000000000000000E+000
  0.4400301404870555E-002  0.3118092823791789E+002  0.0000000000000000E+000  0.3806860642435205E+001  0.0000000000000000E+000
  0.4639701971938278E-002  0.2889771022751180E+002  0.0000000000000000E+000  0.1812160869442445E+001  0.0000000000000000E+000
  0.4869433365318841E-002  0.2647662056189822E+002  0.0000000000000000E+000 -0.8866066859494695E-001  0.0000000000000000E+000
  0.5099164758699403E-002  0.2388044726066701E+002  0.0000000000000000E+000 -0.1929327114672548E+001  0.0000000000000000E+000
  0.5328896152079966E-002  0.2115957217319470E+002  0.0000000000000000E+000 -0.3665262957312692E+001  0.0000000000000000E+000
  0.5558627545460530E-002  0.1836459804437543E+002  0.0000000000000000E+000 -0.5255328021008636E+001  0.0000000000000000E+000
  0.5787748083093968E-002  0.1555282791523094E+002  0.0000000000000000E+000 -0.6659485496646053E+001  0.0000000000000000E+000
  0.6016868620727404E-002  0.1276463560149858E+002  0.0000000000000000E+000 -0.7851596959414049E+001  0.0000000000000000E+000
