                                                                                                                                                                                                                                                                
                        1                        2                        3                        4
                        l                     n_pg                Re(omega)                Im(omega)
                        2                      -71  0.1506184419806038E+000  0.0000000000000000E+000
                        1                        2                        3                        4                        5
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)
  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2300882332836508E-003 -0.1046517709221548E+002  0.0000000000000000E+000 -0.5218522149744630E+001  0.0000000000000000E+000
  0.2492622527239550E-003 -0.1132802721865403E+002  0.0000000000000000E+000 -0.5640702775185022E+001  0.0000000000000000E+000
  0.2684362721642593E-003 -0.1218656647104749E+002  0.0000000000000000E+000 -0.6060553278280646E+001  0.0000000000000000E+000
  0.2876102916045635E-003 -0.1304094494567558E+002  0.0000000000000000E+000 -0.6477744099441479E+001  0.0000000000000000E+000
  0.3067843110448678E-003 -0.1389115589773640E+002  0.0000000000000000E+000 -0.6891999824062581E+001  0.0000000000000000E+000
  0.3451323499254762E-003 -0.1557857910290691E+002  0.0000000000000000E+000 -0.7710771498152089E+001  0.0000000000000000E+000
  0.3834803888060847E-003 -0.1724765924357698E+002  0.0000000000000000E+000 -0.8515083140592102E+001  0.0000000000000000E+000
  0.4218284276866932E-003 -0.1889681696895986E+002  0.0000000000000000E+000 -0.9303324279758312E+001  0.0000000000000000E+000
  0.4601764665673016E-003 -0.2052434974336777E+002  0.0000000000000000E+000 -0.1007396998744036E+002  0.0000000000000000E+000
  0.5176985248882143E-003 -0.2292108081756163E+002  0.0000000000000000E+000 -0.1119383098033839E+002  0.0000000000000000E+000
  0.5752205832091270E-003 -0.2525949722096960E+002  0.0000000000000000E+000 -0.1226606392823567E+002  0.0000000000000000E+000
  0.6327426415300398E-003 -0.2753386566400626E+002  0.0000000000000000E+000 -0.1328619989384451E+002  0.0000000000000000E+000
  0.6902646998509525E-003 -0.2973866084243034E+002  0.0000000000000000E+000 -0.1425002027737771E+002  0.0000000000000000E+000
  0.7669607776121694E-003 -0.3256068626612768E+002  0.0000000000000000E+000 -0.1544084245023007E+002  0.0000000000000000E+000
  0.8436568553733864E-003 -0.3523792707494017E+002  0.0000000000000000E+000 -0.1651594313892231E+002  0.0000000000000000E+000
  0.9203529331346033E-003 -0.3775933330871319E+002  0.0000000000000000E+000 -0.1746773081959158E+002  0.0000000000000000E+000
  0.1039966386193774E-002 -0.4135566842322891E+002  0.0000000000000000E+000 -0.1869118758322535E+002  0.0000000000000000E+000
  0.1159579839252944E-002 -0.4451579735034169E+002  0.0000000000000000E+000 -0.1957884548247281E+002  0.0000000000000000E+000
  0.1310287751119751E-002 -0.4783268256505838E+002  0.0000000000000000E+000 -0.2019861909143844E+002  0.0000000000000000E+000
  0.1460995662986557E-002 -0.5037237818951830E+002  0.0000000000000000E+000 -0.2025138721043369E+002  0.0000000000000000E+000
  0.1650884358646135E-002 -0.5242836357415877E+002  0.0000000000000000E+000 -0.1952069470553861E+002  0.0000000000000000E+000
  0.1840773054305712E-002 -0.5320195999211359E+002  0.0000000000000000E+000 -0.1794978419379634E+002  0.0000000000000000E+000
  0.2080034956818093E-002 -0.5240599558721601E+002  0.0000000000000000E+000 -0.1491294211760449E+002  0.0000000000000000E+000
  0.2319296859330475E-002 -0.4977806363642281E+002  0.0000000000000000E+000 -0.1094466314747423E+002  0.0000000000000000E+000
  0.2520287072229037E-002 -0.4632389355222579E+002  0.0000000000000000E+000 -0.7133875091137559E+001  0.0000000000000000E+000
  0.2721277285127599E-002 -0.4193040870630637E+002  0.0000000000000000E+000 -0.3110667440883054E+001  0.0000000000000000E+000
  0.2922267498026161E-002 -0.3680654233110521E+002  0.0000000000000000E+000  0.9030227851336743E+000  0.0000000000000000E+000
  0.3112225549436467E-002 -0.3149483112083941E+002  0.0000000000000000E+000  0.4490131955823549E+001  0.0000000000000000E+000
  0.3302183600846774E-002 -0.2592978349931051E+002  0.0000000000000000E+000  0.7708139436845875E+001  0.0000000000000000E+000
  0.3492141652257081E-002 -0.2030527852291853E+002  0.0000000000000000E+000  0.1041283844413367E+002  0.0000000000000000E+000
  0.3682099703667387E-002 -0.1480553527719305E+002  0.0000000000000000E+000  0.1248992705235979E+002  0.0000000000000000E+000
  0.3921500270735109E-002 -0.8314889901256203E+001  0.0000000000000000E+000  0.1411460648553998E+002  0.0000000000000000E+000
  0.4160900837802833E-002 -0.2564147751440739E+001  0.0000000000000000E+000  0.1454740529811517E+002  0.0000000000000000E+000
  0.4400301404870555E-002  0.2227731299700169E+001  0.0000000000000000E+000  0.1381348880483895E+002  0.0000000000000000E+000
  0.4639701971938278E-002  0.5918479786894152E+001  0.0000000000000000E+000  0.1203164064583499E+002  0.0000000000000000E+000
  0.4869433365318841E-002  0.8365613073394877E+001  0.0000000000000000E+000  0.9517690206702271E+001  0.0000000000000000E+000
  0.5099164758699403E-002  0.9751527572151828E+001  0.0000000000000000E+000  0.6452353705611819E+001  0.0000000000000000E+000
  0.5328896152079966E-002  0.1014832130930074E+002  0.0000000000000000E+000  0.3098028709610358E+001  0.0000000000000000E+000
  0.5558627545460530E-002  0.9678687215776314E+001  0.0000000000000000E+000 -0.2718098607141021E+000  0.0000000000000000E+000
  0.5787748083093968E-002  0.8507967586555345E+001  0.0000000000000000E+000 -0.3386779392414327E+001  0.0000000000000000E+000
