                                                                                                                                                                                                                                                                
                        1                        2                        3                        4
                        l                     n_pg                Re(omega)                Im(omega)
                        2                      -28  0.3772709594474889E+000  0.0000000000000000E+000
                        1                        2                        3                        4                        5
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)
  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2300882332836508E-003  0.2073660245576845E+001  0.0000000000000000E+000  0.1036386592960518E+001  0.0000000000000000E+000
  0.2492622527239550E-003  0.2246174154086643E+001  0.0000000000000000E+000  0.1122351384635546E+001  0.0000000000000000E+000
  0.2684362721642593E-003  0.2418551906787888E+001  0.0000000000000000E+000  0.1208242264066585E+001  0.0000000000000000E+000
  0.2876102916045635E-003  0.2590798099358643E+001  0.0000000000000000E+000  0.1294048595990787E+001  0.0000000000000000E+000
  0.3067843110448678E-003  0.2762912330940235E+001  0.0000000000000000E+000  0.1379761423211651E+001  0.0000000000000000E+000
  0.3451323499254762E-003  0.3106728171740096E+001  0.0000000000000000E+000  0.1550875847141813E+001  0.0000000000000000E+000
  0.3834803888060847E-003  0.3449960059668508E+001  0.0000000000000000E+000  0.1721526220449595E+001  0.0000000000000000E+000
  0.4218284276866932E-003  0.3792555094215786E+001  0.0000000000000000E+000  0.1891657992273480E+001  0.0000000000000000E+000
  0.4601764665673016E-003  0.4134455729114782E+001  0.0000000000000000E+000  0.2061218438671002E+001  0.0000000000000000E+000
  0.5176985248882143E-003  0.4645866639341933E+001  0.0000000000000000E+000  0.2314377328717520E+001  0.0000000000000000E+000
  0.5752205832091270E-003  0.5155380184054724E+001  0.0000000000000000E+000  0.2565961078957989E+001  0.0000000000000000E+000
  0.6327426415300398E-003  0.5662790768295980E+001  0.0000000000000000E+000  0.2815799731312571E+001  0.0000000000000000E+000
  0.6902646998509525E-003  0.6167893888580118E+001  0.0000000000000000E+000  0.3063724919606433E+001  0.0000000000000000E+000
  0.7669607776121694E-003  0.6837409875900783E+001  0.0000000000000000E+000  0.3391032282606117E+001  0.0000000000000000E+000
  0.8436568553733864E-003  0.7501989900729249E+001  0.0000000000000000E+000  0.3714250095515592E+001  0.0000000000000000E+000
  0.9203529331346033E-003  0.8161159784574126E+001  0.0000000000000000E+000  0.4032994914859118E+001  0.0000000000000000E+000
  0.1039966386193774E-002  0.9177213855141677E+001  0.0000000000000000E+000  0.4520307388791037E+001  0.0000000000000000E+000
  0.1159579839252944E-002  0.1017725752698032E+002  0.0000000000000000E+000  0.4994413517426742E+001  0.0000000000000000E+000
  0.1310287751119751E-002  0.1141172814837389E+002  0.0000000000000000E+000  0.5570856832828861E+001  0.0000000000000000E+000
  0.1460995662986557E-002  0.1261471932889790E+002  0.0000000000000000E+000  0.6121473364820235E+001  0.0000000000000000E+000
  0.1650884358646135E-002  0.1408045666633092E+002  0.0000000000000000E+000  0.6774648251605499E+001  0.0000000000000000E+000
  0.1840773054305712E-002  0.1548490285164186E+002  0.0000000000000000E+000  0.7378120842758698E+001  0.0000000000000000E+000
  0.2080034956818093E-002  0.1715791883982599E+002  0.0000000000000000E+000  0.8061211618352981E+001  0.0000000000000000E+000
  0.2319296859330475E-002  0.1871358192862024E+002  0.0000000000000000E+000  0.8650924307703569E+001  0.0000000000000000E+000
  0.2520287072229037E-002  0.1992263845523060E+002  0.0000000000000000E+000  0.9069365002345632E+001  0.0000000000000000E+000
  0.2721277285127599E-002  0.2103668253904679E+002  0.0000000000000000E+000  0.9414253998096040E+001  0.0000000000000000E+000
  0.2922267498026161E-002  0.2205115520667957E+002  0.0000000000000000E+000  0.9683125574020471E+001  0.0000000000000000E+000
  0.3112225549436467E-002  0.2291489057852943E+002  0.0000000000000000E+000  0.9865750764796996E+001  0.0000000000000000E+000
  0.3302183600846774E-002  0.2368337161033883E+002  0.0000000000000000E+000  0.9977948259240884E+001  0.0000000000000000E+000
  0.3492141652257081E-002  0.2435433937839576E+002  0.0000000000000000E+000  0.1001932963193766E+002  0.0000000000000000E+000
  0.3682099703667387E-002  0.2492606847635992E+002  0.0000000000000000E+000  0.9990060910926202E+001  0.0000000000000000E+000
  0.3921500270735109E-002  0.2550344099827830E+002  0.0000000000000000E+000  0.9853681179580205E+001  0.0000000000000000E+000
  0.4160900837802833E-002  0.2592022747574085E+002  0.0000000000000000E+000  0.9608902386465028E+001  0.0000000000000000E+000
  0.4400301404870555E-002  0.2617662448001431E+002  0.0000000000000000E+000  0.9259710475560125E+001  0.0000000000000000E+000
  0.4639701971938278E-002  0.2627417013855779E+002  0.0000000000000000E+000  0.8811355525101490E+001  0.0000000000000000E+000
  0.4869433365318841E-002  0.2622102421490191E+002  0.0000000000000000E+000  0.8293843718186750E+001  0.0000000000000000E+000
  0.5099164758699403E-002  0.2602781017757158E+002  0.0000000000000000E+000  0.7697504902846555E+001  0.0000000000000000E+000
  0.5328896152079966E-002  0.2569914778957861E+002  0.0000000000000000E+000  0.7029848692881562E+001  0.0000000000000000E+000
  0.5558627545460530E-002  0.2524064447078000E+002  0.0000000000000000E+000  0.6299214200072487E+001  0.0000000000000000E+000
  0.5787748083093968E-002  0.2466054227861778E+002  0.0000000000000000E+000  0.5516771330148383E+001  0.0000000000000000E+000
  0.6016868620727404E-002  0.2396512529104266E+002  0.0000000000000000E+000  0.4690034046719741E+001  0.0000000000000000E+000
