                                                                                                                                                                                                                                                                
                        1                        2                        3                        4
                        l                     n_pg                Re(omega)                Im(omega)
                        2                      -22  0.4749869112822462E+000  0.0000000000000000E+000
                        1                        2                        3                        4                        5
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)
  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2300882332836508E-003  0.1313558033483567E+001  0.0000000000000000E+000  0.6566015942931460E+000  0.0000000000000000E+000
  0.2492622527239550E-003  0.1422904978880645E+001  0.0000000000000000E+000  0.7111583942641808E+000  0.0000000000000000E+000
  0.2684362721642593E-003  0.1532197587962349E+001  0.0000000000000000E+000  0.7656856655841234E+000  0.0000000000000000E+000
  0.2876102916045635E-003  0.1641437686791621E+001  0.0000000000000000E+000  0.8201791573362698E+000  0.0000000000000000E+000
  0.3067843110448678E-003  0.1750625107601895E+001  0.0000000000000000E+000  0.8746352869441225E+000  0.0000000000000000E+000
  0.3451323499254762E-003  0.1968835198824016E+001  0.0000000000000000E+000  0.9834231636532571E+000  0.0000000000000000E+000
  0.3834803888060847E-003  0.2186812078517610E+001  0.0000000000000000E+000  0.1092025533129572E+001  0.0000000000000000E+000
  0.4218284276866932E-003  0.2404534544408272E+001  0.0000000000000000E+000  0.1200420511866757E+001  0.0000000000000000E+000
  0.4601764665673016E-003  0.2621979520347861E+001  0.0000000000000000E+000  0.1308586920232907E+001  0.0000000000000000E+000
  0.5176985248882143E-003  0.2947571282826932E+001  0.0000000000000000E+000  0.1470363481506817E+001  0.0000000000000000E+000
  0.5752205832091270E-003  0.3272404149724697E+001  0.0000000000000000E+000  0.1631509091700327E+001  0.0000000000000000E+000
  0.6327426415300398E-003  0.3596395366491836E+001  0.0000000000000000E+000  0.1791955066758641E+001  0.0000000000000000E+000
  0.6902646998509525E-003  0.3919462454733133E+001  0.0000000000000000E+000  0.1951633170622140E+001  0.0000000000000000E+000
  0.7669607776121694E-003  0.4348633279893611E+001  0.0000000000000000E+000  0.2163227718110561E+001  0.0000000000000000E+000
  0.8436568553733864E-003  0.4775823584107808E+001  0.0000000000000000E+000  0.2373176825171278E+001  0.0000000000000000E+000
  0.9203529331346033E-003  0.5200840452371465E+001  0.0000000000000000E+000  0.2581323118714347E+001  0.0000000000000000E+000
  0.1039966386193774E-002  0.5858869102449274E+001  0.0000000000000000E+000  0.2901986980273380E+001  0.0000000000000000E+000
  0.1159579839252944E-002  0.6510442256006742E+001  0.0000000000000000E+000  0.3217300819293703E+001  0.0000000000000000E+000
  0.1310287751119751E-002  0.7321067081078810E+001  0.0000000000000000E+000  0.3606076441578852E+001  0.0000000000000000E+000
  0.1460995662986557E-002  0.8118916996137269E+001  0.0000000000000000E+000  0.3984292605094431E+001  0.0000000000000000E+000
  0.1650884358646135E-002  0.9103799249356250E+001  0.0000000000000000E+000  0.4444132651841784E+001  0.0000000000000000E+000
  0.1840773054305712E-002  0.1006355049417758E+002  0.0000000000000000E+000  0.4883350958397838E+001  0.0000000000000000E+000
  0.2080034956818093E-002  0.1123292909959033E+002  0.0000000000000000E+000  0.5404359107093274E+001  0.0000000000000000E+000
  0.2319296859330475E-002  0.1235338152740673E+002  0.0000000000000000E+000  0.5885680474077351E+001  0.0000000000000000E+000
  0.2520287072229037E-002  0.1325343355612972E+002  0.0000000000000000E+000  0.6256800780101385E+001  0.0000000000000000E+000
  0.2721277285127599E-002  0.1411301487617773E+002  0.0000000000000000E+000  0.6595656925102437E+001  0.0000000000000000E+000
  0.2922267498026161E-002  0.1492969644697332E+002  0.0000000000000000E+000  0.6900588160518851E+001  0.0000000000000000E+000
  0.3112225549436467E-002  0.1566009670324107E+002  0.0000000000000000E+000  0.7156272663971666E+001  0.0000000000000000E+000
  0.3302183600846774E-002  0.1634840109687201E+002  0.0000000000000000E+000  0.7379274885474213E+001  0.0000000000000000E+000
  0.3492141652257081E-002  0.1699300489595468E+002  0.0000000000000000E+000  0.7568683986149459E+001  0.0000000000000000E+000
  0.3682099703667387E-002  0.1759245717593308E+002  0.0000000000000000E+000  0.7723756998635880E+001  0.0000000000000000E+000
  0.3921500270735109E-002  0.1828157927036095E+002  0.0000000000000000E+000  0.7869433298892218E+001  0.0000000000000000E+000
  0.4160900837802833E-002  0.1889474784379538E+002  0.0000000000000000E+000  0.7958918441154503E+001  0.0000000000000000E+000
  0.4400301404870555E-002  0.1943015599184322E+002  0.0000000000000000E+000  0.7991907083756621E+001  0.0000000000000000E+000
  0.4639701971938278E-002  0.1988642465050831E+002  0.0000000000000000E+000  0.7968535965179207E+001  0.0000000000000000E+000
  0.4869433365318841E-002  0.2024897489872520E+002  0.0000000000000000E+000  0.7893640293212318E+001  0.0000000000000000E+000
  0.5099164758699403E-002  0.2053730099876679E+002  0.0000000000000000E+000  0.7768215750505943E+001  0.0000000000000000E+000
  0.5328896152079966E-002  0.2075129768174818E+002  0.0000000000000000E+000  0.7593513933168703E+001  0.0000000000000000E+000
  0.5558627545460530E-002  0.2089123103580597E+002  0.0000000000000000E+000  0.7371176144497730E+001  0.0000000000000000E+000
  0.5787748083093968E-002  0.2095765817953492E+002  0.0000000000000000E+000  0.7103971436675105E+001  0.0000000000000000E+000
  0.6016868620727404E-002  0.2095203771810696E+002  0.0000000000000000E+000  0.6793618895701490E+001  0.0000000000000000E+000
