                                                                                                                                                                                                                                                                
                        1                        2                        3                        4
                        l                     n_pg                Re(omega)                Im(omega)
                        2                      -89  0.1197331002757421E+000  0.0000000000000000E+000
                        1                        2                        3                        4                        5
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)
  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.2300882332836508E-003 -0.1416010329056757E+002  0.0000000000000000E+000 -0.7049866196080497E+001  0.0000000000000000E+000
  0.2492622527239550E-003 -0.1532027988025710E+002  0.0000000000000000E+000 -0.7610185461580208E+001  0.0000000000000000E+000
  0.2684362721642593E-003 -0.1647123948291965E+002  0.0000000000000000E+000 -0.8165533729936350E+001  0.0000000000000000E+000
  0.2876102916045635E-003 -0.1761330917788362E+002  0.0000000000000000E+000 -0.8715216945535234E+001  0.0000000000000000E+000
  0.3067843110448678E-003 -0.1874648293733767E+002  0.0000000000000000E+000 -0.9258658232235582E+001  0.0000000000000000E+000
  0.3451323499254762E-003 -0.2098513095761789E+002  0.0000000000000000E+000 -0.1032487239620426E+002  0.0000000000000000E+000
  0.3834803888060847E-003 -0.2318476852047633E+002  0.0000000000000000E+000 -0.1136049458335727E+002  0.0000000000000000E+000
  0.4218284276866932E-003 -0.2534215844437527E+002  0.0000000000000000E+000 -0.1236225075015992E+002  0.0000000000000000E+000
  0.4601764665673016E-003 -0.2745383491702090E+002  0.0000000000000000E+000 -0.1332708918415394E+002  0.0000000000000000E+000
  0.5176985248882143E-003 -0.3052754696400770E+002  0.0000000000000000E+000 -0.1469901458771747E+002  0.0000000000000000E+000
  0.5752205832091270E-003 -0.3347912466494848E+002  0.0000000000000000E+000 -0.1597231002190847E+002  0.0000000000000000E+000
  0.6327426415300398E-003 -0.3629742390948670E+002  0.0000000000000000E+000 -0.1713871086007907E+002  0.0000000000000000E+000
  0.6902646998509525E-003 -0.3897198196951121E+002  0.0000000000000000E+000 -0.1819075255819722E+002  0.0000000000000000E+000
  0.7669607776121694E-003 -0.4229714367107078E+002  0.0000000000000000E+000 -0.1940447475727881E+002  0.0000000000000000E+000
  0.8436568553733864E-003 -0.4532904584884535E+002  0.0000000000000000E+000 -0.2038994620858967E+002  0.0000000000000000E+000
  0.9203529331346033E-003 -0.4804947162104690E+002  0.0000000000000000E+000 -0.2113696259942077E+002  0.0000000000000000E+000
  0.1039966386193774E-002 -0.5163338614693177E+002  0.0000000000000000E+000 -0.2181056763719021E+002  0.0000000000000000E+000
  0.1159579839252944E-002 -0.5438081704947160E+002  0.0000000000000000E+000 -0.2187503197488235E+002  0.0000000000000000E+000
  0.1310287751119751E-002 -0.5661179266600481E+002  0.0000000000000000E+000 -0.2109867887185255E+002  0.0000000000000000E+000
  0.1460995662986557E-002 -0.5746285708046663E+002  0.0000000000000000E+000 -0.1941721353163793E+002  0.0000000000000000E+000
  0.1650884358646135E-002 -0.5662872296194544E+002  0.0000000000000000E+000 -0.1615822778921045E+002  0.0000000000000000E+000
  0.1840773054305712E-002 -0.5382063463760014E+002  0.0000000000000000E+000 -0.1189266904089817E+002  0.0000000000000000E+000
  0.2080034956818093E-002 -0.4789030474307610E+002  0.0000000000000000E+000 -0.5606779866380672E+001  0.0000000000000000E+000
  0.2319296859330475E-002 -0.3990853797241463E+002  0.0000000000000000E+000  0.9451955876710300E+000  0.0000000000000000E+000
  0.2520287072229037E-002 -0.3219039806676026E+002  0.0000000000000000E+000  0.6052641459802381E+001  0.0000000000000000E+000
  0.2721277285127599E-002 -0.2409945507477536E+002  0.0000000000000000E+000  0.1036597343898679E+002  0.0000000000000000E+000
  0.2922267498026161E-002 -0.1611885188624163E+002  0.0000000000000000E+000  0.1355067571502928E+002  0.0000000000000000E+000
  0.3112225549436467E-002 -0.9071210253967378E+001  0.0000000000000000E+000  0.1531440616098696E+002  0.0000000000000000E+000
  0.3302183600846774E-002 -0.2826158743847211E+001  0.0000000000000000E+000  0.1578958381978374E+002  0.0000000000000000E+000
  0.3492141652257081E-002  0.2380038450398422E+001  0.0000000000000000E+000  0.1500249170357855E+002  0.0000000000000000E+000
  0.3682099703667387E-002  0.6393618654011068E+001  0.0000000000000000E+000  0.1308053657827008E+002  0.0000000000000000E+000
  0.3921500270735109E-002  0.9663665910355961E+001  0.0000000000000000E+000  0.9412201522807262E+001  0.0000000000000000E+000
  0.4160900837802833E-002  0.1100154021964553E+002  0.0000000000000000E+000  0.4845122415804007E+001  0.0000000000000000E+000
  0.4400301404870555E-002  0.1063209741828874E+002  0.0000000000000000E+000  0.2995885358756587E-001  0.0000000000000000E+000
  0.4639701971938278E-002  0.8920104168126123E+001  0.0000000000000000E+000 -0.4386032617769700E+001  0.0000000000000000E+000
  0.4869433365318841E-002  0.6430327285208638E+001  0.0000000000000000E+000 -0.7728315187806437E+001  0.0000000000000000E+000
  0.5099164758699403E-002  0.3545315205282943E+001  0.0000000000000000E+000 -0.9829254527466647E+001  0.0000000000000000E+000
  0.5328896152079966E-002  0.6695533972668349E+000  0.0000000000000000E+000 -0.1050675337534369E+002  0.0000000000000000E+000
  0.5558627545460530E-002 -0.1852640109586706E+001  0.0000000000000000E+000 -0.9767168573620181E+001  0.0000000000000000E+000
  0.5787748083093968E-002 -0.3761967062897062E+001  0.0000000000000000E+000 -0.7802066179822890E+001  0.0000000000000000E+000
