                                                                                                                                                                                                                                                                
                        1                        2                        3                        4
                        l                     n_pg                Re(omega)                Im(omega)
                        2                        8  0.1393869788963406E+002  0.0000000000000000E+000
                        1                        2                        3                        4                        5
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)
  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.9203529331346033E-003  0.1737938856609080E-002  0.0000000000000000E+000  0.8689644575004487E-003  0.0000000000000000E+000
  0.1039966386193774E-002  0.1963794268039279E-002  0.0000000000000000E+000  0.9819058297858062E-003  0.0000000000000000E+000
  0.1159579839252944E-002  0.2189652773097211E-002  0.0000000000000000E+000  0.1094847666747415E-002  0.0000000000000000E+000
  0.1310287751119751E-002  0.2474226384288852E-002  0.0000000000000000E+000  0.1237150491294424E-002  0.0000000000000000E+000
  0.1460995662986557E-002  0.2758799535293764E-002  0.0000000000000000E+000  0.1379455027301583E-002  0.0000000000000000E+000
  0.1650884358646135E-002  0.3117353521605342E-002  0.0000000000000000E+000  0.1558759003042204E-002  0.0000000000000000E+000
  0.1840773054305712E-002  0.3475903901889317E-002  0.0000000000000000E+000  0.1738067392632036E-002  0.0000000000000000E+000
  0.2080034956818093E-002  0.3927675550325907E-002  0.0000000000000000E+000  0.1964005223232389E-002  0.0000000000000000E+000
  0.2319296859330475E-002  0.4379438964163362E-002  0.0000000000000000E+000  0.2189952308435606E-002  0.0000000000000000E+000
  0.2620782178678318E-002  0.4948677307541055E-002  0.0000000000000000E+000  0.2474674766522735E-002  0.0000000000000000E+000
  0.2922267498026161E-002  0.5517898794239221E-002  0.0000000000000000E+000  0.2759415897924813E-002  0.0000000000000000E+000
  0.3302183600846774E-002  0.6235176850952894E-002  0.0000000000000000E+000  0.3118261407536801E-002  0.0000000000000000E+000
  0.3682099703667387E-002  0.6952421216536665E-002  0.0000000000000000E+000  0.3477144722426878E-002  0.0000000000000000E+000
  0.4160900837802833E-002  0.7856299725199141E-002  0.0000000000000000E+000  0.3929494761407329E-002  0.0000000000000000E+000
  0.4639701971938278E-002  0.8760108537973148E-002  0.0000000000000000E+000  0.4381920331977172E-002  0.0000000000000000E+000
  0.5099164758699403E-002  0.9627342551508532E-002  0.0000000000000000E+000  0.4816152674848802E-002  0.0000000000000000E+000
  0.5558627545460530E-002  0.1049450098931317E-001  0.0000000000000000E+000  0.5250467672849687E-002  0.0000000000000000E+000
  0.6245989158360841E-002  0.1179164098902643E-001  0.0000000000000000E+000  0.5900387593253363E-002  0.0000000000000000E+000
  0.6768639774805322E-002  0.1277780399735528E-001  0.0000000000000000E+000  0.6394716501483298E-002  0.0000000000000000E+000
  0.7291290391249803E-002  0.1376383644526780E-001  0.0000000000000000E+000  0.6889189330328327E-002  0.0000000000000000E+000
  0.8033712313215114E-002  0.1516426105519291E-001  0.0000000000000000E+000  0.7591844868939175E-002  0.0000000000000000E+000
  0.8776134235180425E-002  0.1656436518805239E-001  0.0000000000000000E+000  0.8294839562394881E-002  0.0000000000000000E+000
  0.9779784977971731E-002  0.1845658388427762E-001  0.0000000000000000E+000  0.9245767632461281E-002  0.0000000000000000E+000
  0.1078343572076304E-001  0.2034807459194941E-001  0.0000000000000000E+000  0.1019744225559913E-001  0.0000000000000000E+000
  0.1166068504828845E-001  0.2200067877282614E-001  0.0000000000000000E+000  0.1102993127163483E-001  0.0000000000000000E+000
  0.1253793437581385E-001  0.2365262302485308E-001  0.0000000000000000E+000  0.1186308807411240E-001  0.0000000000000000E+000
  0.1341518370333926E-001  0.2530385282377406E-001  0.0000000000000000E+000  0.1269695939699217E-001  0.0000000000000000E+000
  0.1454644800751802E-001  0.2743210446466944E-001  0.0000000000000000E+000  0.1377335307374168E-001  0.0000000000000000E+000
  0.1567771231169677E-001  0.2955891803344037E-001  0.0000000000000000E+000  0.1485108521835965E-001  0.0000000000000000E+000
  0.1680897661587552E-001  0.3168418173408470E-001  0.0000000000000000E+000  0.1593030114420768E-001  0.0000000000000000E+000
  0.1774028948610247E-001  0.3343253360250792E-001  0.0000000000000000E+000  0.1681989089097898E-001  0.0000000000000000E+000
  0.1867160235632941E-001  0.3517967140682429E-001  0.0000000000000000E+000  0.1771048575778901E-001  0.0000000000000000E+000
  0.1960291522655636E-001  0.3692550783299060E-001  0.0000000000000000E+000  0.1860217542472915E-001  0.0000000000000000E+000
  0.2053422809678330E-001  0.3866996995008625E-001  0.0000000000000000E+000  0.1949505993901848E-001  0.0000000000000000E+000
  0.2154914563826640E-001  0.4056941232147387E-001  0.0000000000000000E+000  0.2046958069661995E-001  0.0000000000000000E+000
  0.2256406317974949E-001  0.4246706842157502E-001  0.0000000000000000E+000  0.2144557297016267E-001  0.0000000000000000E+000
  0.2357898072123258E-001  0.4436279702534282E-001  0.0000000000000000E+000  0.2242286021539825E-001  0.0000000000000000E+000
  0.2466754477920376E-001  0.4639374832404828E-001  0.0000000000000000E+000  0.2347246574295293E-001  0.0000000000000000E+000
  0.2575610883717493E-001  0.4842207375599138E-001  0.0000000000000000E+000  0.2452371803306246E-001  0.0000000000000000E+000
  0.2684467289514611E-001  0.5044760746922632E-001  0.0000000000000000E+000  0.2557672581960325E-001  0.0000000000000000E+000
  0.2793323695311728E-001  0.5247019243009230E-001  0.0000000000000000E+000  0.2663156312821190E-001  0.0000000000000000E+000
