                                                                                                                                                                                                                                                                
                        1                        2                        3                        4
                        l                     n_pg                Re(omega)                Im(omega)
                        3                        4  0.8496696290666614E+001  0.0000000000000000E+000
                        1                        2                        3                        4                        5
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)
  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.9999989778475690E-003  0.9132747706860621E-005  0.0000000000000000E+000  0.3044251422017393E-005  0.0000000000000000E+000
  0.1062498913963042E-002  0.1031000219500795E-004  0.0000000000000000E+000  0.3436673660678895E-005  0.0000000000000000E+000
  0.1124998850078515E-002  0.1155860415712815E-004  0.0000000000000000E+000  0.3852878325732861E-005  0.0000000000000000E+000
  0.1187498786193988E-002  0.1287855287637154E-004  0.0000000000000000E+000  0.4292865409369047E-005  0.0000000000000000E+000
  0.1249998722309461E-002  0.1426984772337413E-004  0.0000000000000000E+000  0.4756634871355193E-005  0.0000000000000000E+000
  0.1312498658424934E-002  0.1573248811219620E-004  0.0000000000000000E+000  0.5244186650061941E-005  0.0000000000000000E+000
  0.1374998594540407E-002  0.1726647347489132E-004  0.0000000000000000E+000  0.5755520668828767E-005  0.0000000000000000E+000
  0.1499998466771354E-002  0.2054847691205811E-004  0.0000000000000000E+000  0.6849535051742141E-005  0.0000000000000000E+000
  0.1624998339002300E-002  0.2411585334698821E-004  0.0000000000000000E+000  0.8038677232500210E-005  0.0000000000000000E+000
  0.1749998211233246E-002  0.2796859790570716E-004  0.0000000000000000E+000  0.9322946301848659E-005  0.0000000000000000E+000
  0.1874998083464192E-002  0.3210670540439577E-004  0.0000000000000000E+000  0.1070234125995731E-004  0.0000000000000000E+000
  0.1999997955695138E-002  0.3653017031566715E-004  0.0000000000000000E+000  0.1217686102495037E-004  0.0000000000000000E+000
  0.2099997853479895E-002  0.4027439559246912E-004  0.0000000000000000E+000  0.1342496592518208E-004  0.0000000000000000E+000
  0.2199997751264652E-002  0.4420124266926571E-004  0.0000000000000000E+000  0.1473394931188427E-004  0.0000000000000000E+000
  0.2399997546834166E-002  0.5260278919244107E-004  0.0000000000000000E+000  0.1753454872105563E-004  0.0000000000000000E+000
  0.2599997342403679E-002  0.6173478064763642E-004  0.0000000000000000E+000  0.2057865369700264E-004  0.0000000000000000E+000
  0.2799997137973193E-002  0.7159718600977080E-004  0.0000000000000000E+000  0.2386625800800622E-004  0.0000000000000000E+000
  0.2999996933542707E-002  0.8218997174228884E-004  0.0000000000000000E+000  0.2739735492670810E-004  0.0000000000000000E+000
  0.3249996678004599E-002  0.9645799682921623E-004  0.0000000000000000E+000  0.3215362636941579E-004  0.0000000000000000E+000
  0.3499996422466491E-002  0.1118671087940211E-003  0.0000000000000000E+000  0.3729032860743352E-004  0.0000000000000000E+000
  0.3749996166928384E-002  0.1284172258200488E-003  0.0000000000000000E+000  0.4280744523922744E-004  0.0000000000000000E+000
  0.3999995911390276E-002  0.1461082599864818E-003  0.0000000000000000E+000  0.4870495865862008E-004  0.0000000000000000E+000
  0.4333328904006133E-002  0.1714709047034717E-003  0.0000000000000000E+000  0.5716000490003206E-004  0.0000000000000000E+000
  0.4666661896621989E-002  0.1988614385371198E-003  0.0000000000000000E+000  0.6629123071700285E-004  0.0000000000000000E+000
  0.4999994889237845E-002  0.2282796029450344E-003  0.0000000000000000E+000  0.7609858427270745E-004  0.0000000000000000E+000
  0.5333327881853703E-002  0.2597251200861724E-003  0.0000000000000000E+000  0.8658200992705812E-004  0.0000000000000000E+000
  0.5666660874469559E-002  0.2931976928821209E-003  0.0000000000000000E+000  0.9774144822116266E-004  0.0000000000000000E+000
  0.5999993867085415E-002  0.3286970050496581E-003  0.0000000000000000E+000  0.1095768358722927E-003  0.0000000000000000E+000
  0.6499993356009199E-002  0.3857453867341107E-003  0.0000000000000000E+000  0.1285971704917439E-003  0.0000000000000000E+000
  0.6999992844932984E-002  0.4473519559164494E-003  0.0000000000000000E+000  0.1491379975218076E-003  0.0000000000000000E+000
  0.7499992333856769E-002  0.5135154041508167E-003  0.0000000000000000E+000  0.1711990544685937E-003  0.0000000000000000E+000
  0.7999991822780553E-002  0.5842343251769953E-003  0.0000000000000000E+000  0.1947800596326206E-003  0.0000000000000000E+000
  0.8499991311704338E-002  0.6595072153124703E-003  0.0000000000000000E+000  0.2198807120116996E-003  0.0000000000000000E+000
  0.8999990800628122E-002  0.7393324736524139E-003  0.0000000000000000E+000  0.2465006912559756E-003  0.0000000000000000E+000
  0.9499990289551907E-002  0.8237084021728268E-003  0.0000000000000000E+000  0.2746396576436552E-003  0.0000000000000000E+000
  0.9999989778475691E-002  0.9126332057952766E-003  0.0000000000000000E+000  0.3042972520708152E-003  0.0000000000000000E+000
  0.1049998926739948E-001  0.1006104992423655E-002  0.0000000000000000E+000  0.3354730960499042E-003  0.0000000000000000E+000
  0.1099998875632326E-001  0.1104121772976221E-002  0.0000000000000000E+000  0.3681667916904328E-003  0.0000000000000000E+000
  0.1199998773417083E-001  0.1313782192388982E-002  0.0000000000000000E+000  0.4381059701220719E-003  0.0000000000000000E+000
  0.1299998671201840E-001  0.1541596218542690E-002  0.0000000000000000E+000  0.5141113148728654E-003  0.0000000000000000E+000
  0.1399998568986596E-001  0.1787544487275498E-002  0.0000000000000000E+000  0.5961789351433225E-003  0.0000000000000000E+000
