                                                                                                                                                                                                                                                                
                        1                        2                        3                        4
                        l                     n_pg                Re(omega)                Im(omega)
                        5                        0  0.2516475730031650E+001  0.0000000000000000E+000
                        1                        2                        3                        4                        5
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)
  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.9999989778475690E-003  0.1766652843442548E-011  0.0000000000000000E+000  0.3533301860050249E-012  0.0000000000000000E+000
  0.1041665601924551E-002  0.2080013992530659E-011  0.0000000000000000E+000  0.4160024556367489E-012  0.0000000000000000E+000
  0.1083332226001533E-002  0.2433322172170849E-011  0.0000000000000000E+000  0.4866641050115937E-012  0.0000000000000000E+000
  0.1124998850078515E-002  0.2829836180377839E-011  0.0000000000000000E+000  0.5659668986079229E-012  0.0000000000000000E+000
  0.1166665474155497E-002  0.3272942618824420E-011  0.0000000000000000E+000  0.6545881595212502E-012  0.0000000000000000E+000
  0.1208332098232479E-002  0.3766155891138013E-011  0.0000000000000000E+000  0.7532307698073459E-012  0.0000000000000000E+000
  0.1249998722309461E-002  0.4313118201907982E-011  0.0000000000000000E+000  0.8626231707093039E-012  0.0000000000000000E+000
  0.1291665346386443E-002  0.4917599556128908E-011  0.0000000000000000E+000  0.9835193628143584E-012  0.0000000000000000E+000
  0.1333331970463425E-002  0.5583497758917461E-011  0.0000000000000000E+000  0.1116698906167507E-011  0.0000000000000000E+000
  0.1374998594540407E-002  0.6314838415404823E-011  0.0000000000000000E+000  0.1262966920358258E-011  0.0000000000000000E+000
  0.1416665218617389E-002  0.7115774930744829E-011  0.0000000000000000E+000  0.1423154084590553E-011  0.0000000000000000E+000
  0.1458331842694372E-002  0.7990588510200000E-011  0.0000000000000000E+000  0.1598116637742091E-011  0.0000000000000000E+000
  0.1499998466771354E-002  0.8943688159281693E-011  0.0000000000000000E+000  0.1788736378417050E-011  0.0000000000000000E+000
  0.1583331714925318E-002  0.1110302069640281E-010  0.0000000000000000E+000  0.2220602414722839E-011  0.0000000000000000E+000
  0.1666664963079282E-002  0.1363160059239872E-010  0.0000000000000000E+000  0.2726317779713600E-011  0.0000000000000000E+000
  0.1749998211233246E-002  0.1656930072210414E-010  0.0000000000000000E+000  0.3313857017064464E-011  0.0000000000000000E+000
  0.1833331459387210E-002  0.1995803878673432E-010  0.0000000000000000E+000  0.3991603630478183E-011  0.0000000000000000E+000
  0.1916664707541174E-002  0.2384177732322643E-010  0.0000000000000000E+000  0.4768350085144474E-011  0.0000000000000000E+000
  0.1999997955695138E-002  0.2826652371418498E-010  0.0000000000000000E+000  0.5653297809254219E-011  0.0000000000000000E+000
  0.2062497891810611E-002  0.3196894944804436E-010  0.0000000000000000E+000  0.6393781560946247E-011  0.0000000000000000E+000
  0.2124997827926084E-002  0.3602370642807180E-010  0.0000000000000000E+000  0.7204731332692937E-011  0.0000000000000000E+000
  0.2187497764041558E-002  0.4045246854375232E-010  0.0000000000000000E+000  0.8090481873530005E-011  0.0000000000000000E+000
  0.2249997700157031E-002  0.4527755669811906E-010  0.0000000000000000E+000  0.9055497332468271E-011  0.0000000000000000E+000
  0.2374997572387977E-002  0.5620922988922084E-010  0.0000000000000000E+000  0.1124182659135222E-010  0.0000000000000000E+000
  0.2499997444618923E-002  0.6901023352414986E-010  0.0000000000000000E+000  0.1380202032948257E-010  0.0000000000000000E+000
  0.2624997316849869E-002  0.8388242761221483E-010  0.0000000000000000E+000  0.1677645017899526E-010  0.0000000000000000E+000
  0.2749997189080815E-002  0.1010380246620445E-009  0.0000000000000000E+000  0.2020755821277928E-010  0.0000000000000000E+000
  0.2874997061311761E-002  0.1206995897878038E-009  0.0000000000000000E+000  0.2413985695922852E-010  0.0000000000000000E+000
  0.2999996933542707E-002  0.1431000408200819E-009  0.0000000000000000E+000  0.2861992941776610E-010  0.0000000000000000E+000
  0.3166663429850635E-002  0.1776497572630997E-009  0.0000000000000000E+000  0.3552984244819346E-010  0.0000000000000000E+000
  0.3333329926158563E-002  0.2181075503575633E-009  0.0000000000000000E+000  0.4362136175836585E-010  0.0000000000000000E+000
  0.3499996422466491E-002  0.2651114131952460E-009  0.0000000000000000E+000  0.5302208389620878E-010  0.0000000000000000E+000
  0.3666662918774420E-002  0.3193320604301719E-009  0.0000000000000000E+000  0.6386614939231123E-010  0.0000000000000000E+000
  0.3833329415082348E-002  0.3814729288793776E-009  0.0000000000000000E+000  0.7629424284438280E-010  0.0000000000000000E+000
  0.3999995911390276E-002  0.4522701781508103E-009  0.0000000000000000E+000  0.9045359300617722E-010  0.0000000000000000E+000
  0.4124995783621223E-002  0.5115101654709962E-009  0.0000000000000000E+000  0.1023015009346366E-009  0.0000000000000000E+000
  0.4249995655852169E-002  0.5763876449748117E-009  0.0000000000000000E+000  0.1152768926277640E-009  0.0000000000000000E+000
  0.4374995528083115E-002  0.6472494232507503E-009  0.0000000000000000E+000  0.1294491275508160E-009  0.0000000000000000E+000
  0.4499995400314061E-002  0.7244526613526932E-009  0.0000000000000000E+000  0.1448896358897485E-009  0.0000000000000000E+000
  0.4749995144775953E-002  0.8993639391179532E-009  0.0000000000000000E+000  0.1798715465728078E-009  0.0000000000000000E+000
  0.4999994889237845E-002  0.1104185857842863E-008  0.0000000000000000E+000  0.2208354824165725E-009  0.0000000000000000E+000
