                                                                                                                                                                                                                                                                
                        1                        2                        3                        4
                        l                     n_pg                Re(omega)                Im(omega)
                        3                       10  0.1748168563265365E+002  0.0000000000000000E+000
                        1                        2                        3                        4                        5
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)
  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.9999989778475690E-003  0.5088868836442676E-004  0.0000000000000000E+000  0.1696300113047989E-004  0.0000000000000000E+000
  0.1033332277109155E-002  0.5433765419817298E-004  0.0000000000000000E+000  0.1811270269348748E-004  0.0000000000000000E+000
  0.1066665576370740E-002  0.5789969137566186E-004  0.0000000000000000E+000  0.1930009482505207E-004  0.0000000000000000E+000
  0.1099998875632326E-002  0.6157479740187086E-004  0.0000000000000000E+000  0.2052517747728227E-004  0.0000000000000000E+000
  0.1133332174893912E-002  0.6536296995832071E-004  0.0000000000000000E+000  0.2178795053688985E-004  0.0000000000000000E+000
  0.1166665474155497E-002  0.6926420684835853E-004  0.0000000000000000E+000  0.2308841383887182E-004  0.0000000000000000E+000
  0.1199998773417083E-002  0.7327850595691775E-004  0.0000000000000000E+000  0.2442656717657326E-004  0.0000000000000000E+000
  0.1233332072678668E-002  0.7740586522064779E-004  0.0000000000000000E+000  0.2580241030915753E-004  0.0000000000000000E+000
  0.1266665371940254E-002  0.8164628260554712E-004  0.0000000000000000E+000  0.2721594296720003E-004  0.0000000000000000E+000
  0.1299998671201840E-002  0.8599975609007813E-004  0.0000000000000000E+000  0.2866716485691203E-004  0.0000000000000000E+000
  0.1333331970463425E-002  0.9046628365231827E-004  0.0000000000000000E+000  0.3015607566335469E-004  0.0000000000000000E+000
  0.1366665269725011E-002  0.9504586326011400E-004  0.0000000000000000E+000  0.3168267505290268E-004  0.0000000000000000E+000
  0.1399998568986597E-002  0.9973849286347991E-004  0.0000000000000000E+000  0.3324696267514609E-004  0.0000000000000000E+000
  0.1433331868248182E-002  0.1045441703886942E-003  0.0000000000000000E+000  0.3484893816436792E-004  0.0000000000000000E+000
  0.1466665167509768E-002  0.1094628937336836E-003  0.0000000000000000E+000  0.3648860114069990E-004  0.0000000000000000E+000
  0.1533331766032939E-002  0.1196394694945209E-003  0.0000000000000000E+000  0.3988098792402893E-004  0.0000000000000000E+000
  0.1599998364556110E-002  0.1302682024467525E-003  0.0000000000000000E+000  0.4342411978215376E-004  0.0000000000000000E+000
  0.1666664963079282E-002  0.1413490744672703E-003  0.0000000000000000E+000  0.4711799323828393E-004  0.0000000000000000E+000
  0.1733331561602453E-002  0.1528820667695489E-003  0.0000000000000000E+000  0.5096260464177816E-004  0.0000000000000000E+000
  0.1799998160125624E-002  0.1648671598747315E-003  0.0000000000000000E+000  0.5495795017540835E-004  0.0000000000000000E+000
  0.1866664758648796E-002  0.1773043335924548E-003  0.0000000000000000E+000  0.5910402586018522E-004  0.0000000000000000E+000
  0.1933331357171967E-002  0.1901935670079288E-003  0.0000000000000000E+000  0.6340082755861778E-004  0.0000000000000000E+000
  0.1999997955695138E-002  0.2035348384731009E-003  0.0000000000000000E+000  0.6784835097695150E-004  0.0000000000000000E+000
  0.2055553454464447E-002  0.2149978553027484E-003  0.0000000000000000E+000  0.7166975194950430E-004  0.0000000000000000E+000
  0.2111108953233757E-002  0.2267747585633757E-003  0.0000000000000000E+000  0.7559581501178092E-004  0.0000000000000000E+000
  0.2166664452003066E-002  0.2388655345349994E-003  0.0000000000000000E+000  0.7962653742861794E-004  0.0000000000000000E+000
  0.2222219950772375E-002  0.2512701691362509E-003  0.0000000000000000E+000  0.8376191639070187E-004  0.0000000000000000E+000
  0.2277775449541685E-002  0.2639886479235536E-003  0.0000000000000000E+000  0.8800194901477668E-004  0.0000000000000000E+000
  0.2333330948310995E-002  0.2770209560904757E-003  0.0000000000000000E+000  0.9234663234380426E-004  0.0000000000000000E+000
  0.2388886447080304E-002  0.2903670784672462E-003  0.0000000000000000E+000  0.9679596334709023E-004  0.0000000000000000E+000
  0.2444441945849613E-002  0.3040269995203622E-003  0.0000000000000000E+000  0.1013499389203810E-003  0.0000000000000000E+000
  0.2555552943388232E-002  0.3322881754216988E-003  0.0000000000000000E+000  0.1107718105627037E-003  0.0000000000000000E+000
  0.2666663940926851E-002  0.3618043502736316E-003  0.0000000000000000E+000  0.1206122214600724E-003  0.0000000000000000E+000
  0.2777774938465470E-002  0.3925753867613886E-003  0.0000000000000000E+000  0.1308711441187451E-003  0.0000000000000000E+000
  0.2888885936004088E-002  0.4246011417133180E-003  0.0000000000000000E+000  0.1415485498776341E-003  0.0000000000000000E+000
  0.2999996933542707E-002  0.4578814661051877E-003  0.0000000000000000E+000  0.1526444089073569E-003  0.0000000000000000E+000
  0.3071425431960391E-002  0.4799383769271226E-003  0.0000000000000000E+000  0.1599984160045700E-003  0.0000000000000000E+000
  0.3142853930378074E-002  0.5025136515656685E-003  0.0000000000000000E+000  0.1675253340506582E-003  0.0000000000000000E+000
  0.3285710927213441E-002  0.5492191222904627E-003  0.0000000000000000E+000  0.1830978668877489E-003  0.0000000000000000E+000
  0.3428567924048808E-002  0.5979975135367288E-003  0.0000000000000000E+000  0.1993619369115974E-003  0.0000000000000000E+000
  0.3571424920884175E-002  0.6488484502037466E-003  0.0000000000000000E+000  0.2163174690240906E-003  0.0000000000000000E+000
