                                                                                                                                                                                                                                                                
                        1                        2                        3                        4
                        l                     n_pg                Re(omega)                Im(omega)
                        3                        2  0.5348614150230383E+001  0.0000000000000000E+000
                        1                        2                        3                        4                        5
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)
  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.9999989778475690E-003  0.3920422789998295E-005  0.0000000000000000E+000  0.1306807141429704E-005  0.0000000000000000E+000
  0.1062498913963042E-002  0.4425787315826609E-005  0.0000000000000000E+000  0.1475262765432099E-005  0.0000000000000000E+000
  0.1124998850078515E-002  0.4961779939072267E-005  0.0000000000000000E+000  0.1653927683649052E-005  0.0000000000000000E+000
  0.1187498786193988E-002  0.5528400521745548E-005  0.0000000000000000E+000  0.1842801903888524E-005  0.0000000000000000E+000
  0.1249998722309461E-002  0.6125648951551378E-005  0.0000000000000000E+000  0.2041885426068223E-005  0.0000000000000000E+000
  0.1312498658424934E-002  0.6753525130382665E-005  0.0000000000000000E+000  0.2251178245096358E-005  0.0000000000000000E+000
  0.1374998594540407E-002  0.7412028967679742E-005  0.0000000000000000E+000  0.2470680352535276E-005  0.0000000000000000E+000
  0.1499998466771354E-002  0.8820919285830805E-005  0.0000000000000000E+000  0.2940312383996567E-005  0.0000000000000000E+000
  0.1624998339002300E-002  0.1035231920085211E-004  0.0000000000000000E+000  0.3450781419053944E-005  0.0000000000000000E+000
  0.1749998211233246E-002  0.1200622800464691E-004  0.0000000000000000E+000  0.4002087333848272E-005  0.0000000000000000E+000
  0.1874998083464192E-002  0.1378264495387524E-004  0.0000000000000000E+000  0.4594229990195708E-005  0.0000000000000000E+000
  0.1999997955695138E-002  0.1568156926117470E-004  0.0000000000000000E+000  0.5227209237824760E-005  0.0000000000000000E+000
  0.2099997853479895E-002  0.1728891343302014E-004  0.0000000000000000E+000  0.5762994873506731E-005  0.0000000000000000E+000
  0.2199997751264652E-002  0.1897466132793689E-004  0.0000000000000000E+000  0.6324915728821530E-005  0.0000000000000000E+000
  0.2399997546834166E-002  0.2258136649262263E-004  0.0000000000000000E+000  0.7527162682525861E-005  0.0000000000000000E+000
  0.2599997342403679E-002  0.2650168052163693E-004  0.0000000000000000E+000  0.8833949327690699E-005  0.0000000000000000E+000
  0.2799997137973193E-002  0.3073559900935305E-004  0.0000000000000000E+000  0.1024527477503727E-004  0.0000000000000000E+000
  0.2999996933542707E-002  0.3528311718906528E-004  0.0000000000000000E+000  0.1176113806435135E-004  0.0000000000000000E+000
  0.3249996678004599E-002  0.4140850681338115E-004  0.0000000000000000E+000  0.1380297190933676E-004  0.0000000000000000E+000
  0.3499996422466491E-002  0.4802387711431064E-004  0.0000000000000000E+000  0.1600814239217244E-004  0.0000000000000000E+000
  0.3749996166928384E-002  0.5512921647550335E-004  0.0000000000000000E+000  0.1837664717914090E-004  0.0000000000000000E+000
  0.3999995911390276E-002  0.6272451240787269E-004  0.0000000000000000E+000  0.2090848376631025E-004  0.0000000000000000E+000
  0.4333328904006133E-002  0.7361370576494813E-004  0.0000000000000000E+000  0.2453833276017994E-004  0.0000000000000000E+000
  0.4666661896621989E-002  0.8537387498111471E-004  0.0000000000000000E+000  0.2845853784924749E-004  0.0000000000000000E+000
  0.4999994889237845E-002  0.9800498334702461E-004  0.0000000000000000E+000  0.3266909165888553E-004  0.0000000000000000E+000
  0.5333327881853703E-002  0.1115069913942395E-003  0.0000000000000000E+000  0.3716998627722922E-004  0.0000000000000000E+000
  0.5666660874469559E-002  0.1258798569105340E-003  0.0000000000000000E+000  0.4196121325108540E-004  0.0000000000000000E+000
  0.5999993867085415E-002  0.1411235349482420E-003  0.0000000000000000E+000  0.4704276358499887E-004  0.0000000000000000E+000
  0.6499993356009199E-002  0.1656217246676421E-003  0.0000000000000000E+000  0.5520942331338656E-004  0.0000000000000000E+000
  0.6999992844932984E-002  0.1920789612567980E-003  0.0000000000000000E+000  0.6402925475958789E-004  0.0000000000000000E+000
  0.7499992333856769E-002  0.2204950589267411E-003  0.0000000000000000E+000  0.7350222056154402E-004  0.0000000000000000E+000
  0.7999991822780553E-002  0.2508698178766136E-003  0.0000000000000000E+000  0.8362828064959565E-004  0.0000000000000000E+000
  0.8499991311704338E-002  0.2832030243919647E-003  0.0000000000000000E+000  0.9440739222035917E-004  0.0000000000000000E+000
  0.8999990800628122E-002  0.3174944508935113E-003  0.0000000000000000E+000  0.1058395097246298E-003  0.0000000000000000E+000
  0.9499990289551907E-002  0.3537438559594325E-003  0.0000000000000000E+000  0.1179245848602529E-003  0.0000000000000000E+000
  0.9999989778475691E-002  0.3919509843384120E-003  0.0000000000000000E+000  0.1306625665690979E-003  0.0000000000000000E+000
  0.1049998926739948E-001  0.4321155669542120E-003  0.0000000000000000E+000  0.1440534010367451E-003  0.0000000000000000E+000
  0.1099998875632326E-001  0.4742373209099582E-003  0.0000000000000000E+000  0.1580970316839553E-003  0.0000000000000000E+000
  0.1199998773417083E-001  0.5643512251620136E-003  0.0000000000000000E+000  0.1881424206786805E-003  0.0000000000000000E+000
  0.1299998671201840E-001  0.6622900545655556E-003  0.0000000000000000E+000  0.2207982514241856E-003  0.0000000000000000E+000
  0.1399998568986596E-001  0.7680510582600526E-003  0.0000000000000000E+000  0.2560639693443216E-003  0.0000000000000000E+000
