                                                                                                                                                                                                                                                                
                        1                        2                        3                        4
                        l                     n_pg                Re(omega)                Im(omega)
                        2                       12  0.1980474079972775E+002  0.0000000000000000E+000
                        1                        2                        3                        4                        5
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)
  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.9999989778475690E-003  0.1478414017683518E-001  0.0000000000000000E+000  0.7392200334059662E-002  0.0000000000000000E+000
  0.1083332226001533E-002  0.1601593122419704E-001  0.0000000000000000E+000  0.8008187944342398E-002  0.0000000000000000E+000
  0.1166665474155497E-002  0.1724769122316947E-001  0.0000000000000000E+000  0.8624161264452460E-002  0.0000000000000000E+000
  0.1249998722309461E-002  0.1847941282778494E-001  0.0000000000000000E+000  0.9240120849235584E-002  0.0000000000000000E+000
  0.1333331970463425E-002  0.1971109034539402E-001  0.0000000000000000E+000  0.9856066703045041E-002  0.0000000000000000E+000
  0.1499998466771354E-002  0.2217429537425045E-001  0.0000000000000000E+000  0.1108791556240063E-001  0.0000000000000000E+000
  0.1666664963079282E-002  0.2463727277333934E-001  0.0000000000000000E+000  0.1231970388484636E-001  0.0000000000000000E+000
  0.1833331459387210E-002  0.2709999354970263E-001  0.0000000000000000E+000  0.1355142620359361E-001  0.0000000000000000E+000
  0.1999997955695138E-002  0.2956243031216865E-001  0.0000000000000000E+000  0.1478307652224753E-001  0.0000000000000000E+000
  0.2249997700157031E-002  0.3325549725315950E-001  0.0000000000000000E+000  0.1663040241492355E-001  0.0000000000000000E+000
  0.2499997444618923E-002  0.3694777548423059E-001  0.0000000000000000E+000  0.1847753094373026E-001  0.0000000000000000E+000
  0.2749997189080815E-002  0.4063917723871115E-001  0.0000000000000000E+000  0.2032444023048611E-001  0.0000000000000000E+000
  0.2999996933542707E-002  0.4432961483942092E-001  0.0000000000000000E+000  0.2217110837234825E-001  0.0000000000000000E+000
  0.3333329926158563E-002  0.4924855210084374E-001  0.0000000000000000E+000  0.2463291794529086E-001  0.0000000000000000E+000
  0.3666662918774420E-002  0.5416541042608612E-001  0.0000000000000000E+000  0.2709420855873439E-001  0.0000000000000000E+000
  0.3999995911390276E-002  0.5907998304576531E-001  0.0000000000000000E+000  0.2955492808635483E-001  0.0000000000000000E+000
  0.4499995400314061E-002  0.6644712457776755E-001  0.0000000000000000E+000  0.3324481580740190E-001  0.0000000000000000E+000
  0.4999994889237845E-002  0.7380795152589285E-001  0.0000000000000000E+000  0.3693312873385919E-001  0.0000000000000000E+000
  0.5499994378161630E-002  0.8116176866779007E-001  0.0000000000000000E+000  0.4061969067985038E-001  0.0000000000000000E+000
  0.5999993867085415E-002  0.8850787941206319E-001  0.0000000000000000E+000  0.4430432620424035E-001  0.0000000000000000E+000
  0.6499993356009199E-002  0.9584558694922903E-001  0.0000000000000000E+000  0.4798686026035798E-001  0.0000000000000000E+000
  0.6999992844932984E-002  0.1031741947589158E+000  0.0000000000000000E+000  0.5166711805440290E-001  0.0000000000000000E+000
  0.7499992333856769E-002  0.1104930068681863E+000  0.0000000000000000E+000  0.5534492498829580E-001  0.0000000000000000E+000
  0.7999991822780553E-002  0.1178013280063656E+000  0.0000000000000000E+000  0.5902010663759792E-001  0.0000000000000000E+000
  0.8999990800628122E-002  0.1323839475834992E+000  0.0000000000000000E+000  0.6636182156230219E-001  0.0000000000000000E+000
  0.9999989778475691E-002  0.1469162058813964E+000  0.0000000000000000E+000  0.7369097187651373E-001  0.0000000000000000E+000
  0.1099998875632326E-001  0.1613926117290410E+000  0.0000000000000000E+000  0.8100615613115256E-001  0.0000000000000000E+000
  0.1199998773417083E-001  0.1758076729943537E+000  0.0000000000000000E+000  0.8830598249870122E-001  0.0000000000000000E+000
  0.1299998671201840E-001  0.1901559093559899E+000  0.0000000000000000E+000  0.9558906541212255E-001  0.0000000000000000E+000
  0.1399998568986596E-001  0.2044318586239055E+000  0.0000000000000000E+000  0.1028540243820165E+000  0.0000000000000000E+000
  0.1499998466771353E-001  0.2186300805749762E+000  0.0000000000000000E+000  0.1100994836303426E+000  0.0000000000000000E+000
  0.1599998364556110E-001  0.2327451597420638E+000  0.0000000000000000E+000  0.1173240721055404E+000  0.0000000000000000E+000
  0.1699998262340867E-001  0.2467717077203773E+000  0.0000000000000000E+000  0.1245264235991835E+000  0.0000000000000000E+000
  0.1799998160125624E-001  0.2607043652286307E+000  0.0000000000000000E+000  0.1317051769405312E+000  0.0000000000000000E+000
  0.1899998057910381E-001  0.2745378040457984E+000  0.0000000000000000E+000  0.1388589762598642E+000  0.0000000000000000E+000
  0.1999997955695137E-001  0.2882667288811921E+000  0.0000000000000000E+000  0.1459864712683071E+000  0.0000000000000000E+000
  0.2099997853479894E-001  0.3018858792072607E+000  0.0000000000000000E+000  0.1530863175781317E+000  0.0000000000000000E+000
  0.2199997751264651E-001  0.3153900310576154E+000  0.0000000000000000E+000  0.1601571769297357E+000  0.0000000000000000E+000
  0.2299997649049408E-001  0.3287739987973110E+000  0.0000000000000000E+000  0.1671977174947955E+000  0.0000000000000000E+000
  0.2399997546834165E-001  0.3420326368784166E+000  0.0000000000000000E+000  0.1742066141694134E+000  0.0000000000000000E+000
  0.2499997444618922E-001  0.3551608415847629E+000  0.0000000000000000E+000  0.1811825489016503E+000  0.0000000000000000E+000
