                                                                                                                                                                                                                                                                
                        1                        2                        3                        4
                        l                     n_pg                Re(omega)                Im(omega)
                        4                       10  0.1804416287574583E+002  0.0000000000000000E+000
                        1                        2                        3                        4                        5
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)
  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.9999989778475690E-003  0.1755460798561877E-006  0.0000000000000000E+000  0.4388667493673032E-007  0.0000000000000000E+000
  0.1024998952293758E-002  0.1890436012119623E-006  0.0000000000000000E+000  0.4726112924997728E-007  0.0000000000000000E+000
  0.1049998926739947E-002  0.2032158449380325E-006  0.0000000000000000E+000  0.5080426456628553E-007  0.0000000000000000E+000
  0.1074998901186137E-002  0.2180792628436367E-006  0.0000000000000000E+000  0.5452019496297519E-007  0.0000000000000000E+000
  0.1099998875632326E-002  0.2336503068612044E-006  0.0000000000000000E+000  0.5841303441613362E-007  0.0000000000000000E+000
  0.1124998850078515E-002  0.2499454289710892E-006  0.0000000000000000E+000  0.6248689681385316E-007  0.0000000000000000E+000
  0.1149998824524704E-002  0.2669810811423407E-006  0.0000000000000000E+000  0.6674589596626064E-007  0.0000000000000000E+000
  0.1174998798970894E-002  0.2847737152855984E-006  0.0000000000000000E+000  0.7119414561312091E-007  0.0000000000000000E+000
  0.1199998773417083E-002  0.3033397832152202E-006  0.0000000000000000E+000  0.7583575942959581E-007  0.0000000000000000E+000
  0.1224998747863272E-002  0.3226957366184771E-006  0.0000000000000000E+000  0.8067485103058952E-007  0.0000000000000000E+000
  0.1249998722309461E-002  0.3428580270301801E-006  0.0000000000000000E+000  0.8571553397400449E-007  0.0000000000000000E+000
  0.1274998696755650E-002  0.3638431058115441E-006  0.0000000000000000E+000  0.9096192176315746E-007  0.0000000000000000E+000
  0.1299998671201839E-002  0.3856674241323087E-006  0.0000000000000000E+000  0.9641812784853522E-007  0.0000000000000000E+000
  0.1324998645648029E-002  0.4083474329554452E-006  0.0000000000000000E+000  0.1020882656290379E-006  0.0000000000000000E+000
  0.1349998620094218E-002  0.4318995830238870E-006  0.0000000000000000E+000  0.1079764484528215E-006  0.0000000000000000E+000
  0.1374998594540407E-002  0.4563403248488393E-006  0.0000000000000000E+000  0.1140867896178140E-006  0.0000000000000000E+000
  0.1399998568986597E-002  0.4816861086993794E-006  0.0000000000000000E+000  0.1204234023719842E-006  0.0000000000000000E+000
  0.1424998543432786E-002  0.5079533845930581E-006  0.0000000000000000E+000  0.1269903999134060E-006  0.0000000000000000E+000
  0.1449998517878975E-002  0.5351586022873041E-006  0.0000000000000000E+000  0.1337918953901595E-006  0.0000000000000000E+000
  0.1499998466771354E-002  0.5924486611016931E-006  0.0000000000000000E+000  0.1481148324220448E-006  0.0000000000000000E+000
  0.1549998415663732E-002  0.6536878773535514E-006  0.0000000000000000E+000  0.1634251177127134E-006  0.0000000000000000E+000
  0.1599998364556110E-002  0.7190078389900825E-006  0.0000000000000000E+000  0.1797556546115177E-006  0.0000000000000000E+000
  0.1649998313448489E-002  0.7885401291356104E-006  0.0000000000000000E+000  0.1971393456258739E-006  0.0000000000000000E+000
  0.1699998262340867E-002  0.8624163259033498E-006  0.0000000000000000E+000  0.2156090924008382E-006  0.0000000000000000E+000
  0.1749998211233246E-002  0.9407680022159435E-006  0.0000000000000000E+000  0.2351977956969247E-006  0.0000000000000000E+000
  0.1799998160125624E-002  0.1023726725632044E-005  0.0000000000000000E+000  0.2559383553667297E-006  0.0000000000000000E+000
  0.1849998109018003E-002  0.1111424058177046E-005  0.0000000000000000E+000  0.2778636703307187E-006  0.0000000000000000E+000
  0.1899998057910381E-002  0.1203991556176752E-005  0.0000000000000000E+000  0.3010066385524355E-006  0.0000000000000000E+000
  0.1949998006802759E-002  0.1301560770093119E-005  0.0000000000000000E+000  0.3254001570132959E-006  0.0000000000000000E+000
  0.1999997955695138E-002  0.1404263244361494E-005  0.0000000000000000E+000  0.3510771216870911E-006  0.0000000000000000E+000
  0.2041664579772120E-002  0.1493864778399307E-005  0.0000000000000000E+000  0.3734787346776238E-006  0.0000000000000000E+000
  0.2083331203849102E-002  0.1587198540989192E-005  0.0000000000000000E+000  0.3968135092710790E-006  0.0000000000000000E+000
  0.2124997827926084E-002  0.1684340647280342E-005  0.0000000000000000E+000  0.4211004807933641E-006  0.0000000000000000E+000
  0.2166664452003066E-002  0.1785367209228010E-005  0.0000000000000000E+000  0.4463586840365518E-006  0.0000000000000000E+000
  0.2208331076080049E-002  0.1890354335528860E-005  0.0000000000000000E+000  0.4726071532483296E-006  0.0000000000000000E+000
  0.2249997700157031E-002  0.1999378131556541E-005  0.0000000000000000E+000  0.4998649221214379E-006  0.0000000000000000E+000
  0.2291664324234013E-002  0.2112514699297246E-005  0.0000000000000000E+000  0.5281510237830736E-006  0.0000000000000000E+000
  0.2333330948310995E-002  0.2229840137285419E-005  0.0000000000000000E+000  0.5574844907842834E-006  0.0000000000000000E+000
  0.2374997572387977E-002  0.2351430540539502E-005  0.0000000000000000E+000  0.5878843550893476E-006  0.0000000000000000E+000
  0.2416664196464958E-002  0.2477362000497767E-005  0.0000000000000000E+000  0.6193696480651507E-006  0.0000000000000000E+000
  0.2499997444618923E-002  0.2742552443275412E-005  0.0000000000000000E+000  0.6856726413899805E-006  0.0000000000000000E+000
