                                                                                                                                                                                                                                                                



                        1                        2                        3                        4                        5                        6                        7
                        l                     n_pg                      n_p                      n_g                Re(omega)                Im(omega)                   E_norm
                        2                        0                        0                        0  0.1455805367863448E+001  0.0000000000000000E+000  0.1860526465629142E+000
                        2                        1                        1                        0  0.3207350701129797E+001  0.0000000000000000E+000  0.1922603862597606E-001
                        2                        2                        2                        0  0.4849195773002871E+001  0.0000000000000000E+000  0.4086569484549906E-002
                        2                        3                        3                        0  0.6426836870734283E+001  0.0000000000000000E+000  0.1379749903176048E-002
                        2                        4                        4                        0  0.7966895358610206E+001  0.0000000000000000E+000  0.5981367027789244E-003
                        2                        5                        5                        0  0.9482579400941846E+001  0.0000000000000000E+000  0.3028564395344085E-003
                        2                        6                        6                        0  0.1098150625950857E+002  0.0000000000000000E+000  0.1705052157933883E-003
                        2                        7                        7                        0  0.1246848510441020E+002  0.0000000000000000E+000  0.1037195849045662E-003
                        2                        8                        8                        0  0.1394674134997400E+002  0.0000000000000000E+000  0.6694344213628232E-004
                        2                        9                        9                        0  0.1541853297903946E+002  0.0000000000000000E+000  0.4528049618128555E-004
                        2                       10                       10                        0  0.1688548618284157E+002  0.0000000000000000E+000  0.3181333200160485E-004
                        2                       11                       11                        0  0.1834878873853091E+002  0.0000000000000000E+000  0.2306200868227021E-004
                        2                       12                       12                        0  0.1980930884952188E+002  0.0000000000000000E+000  0.1716014985212397E-004
                        3                        0                        0                        0  0.1934326419068440E+001  0.0000000000000000E+000  0.7253462635915207E-001
                        3                        1                        1                        0  0.3695756469942423E+001  0.0000000000000000E+000  0.1082566237914834E-001
                        3                        2                        2                        0  0.5348617251427238E+001  0.0000000000000000E+000  0.2729521104394342E-002
                        3                        3                        3                        0  0.6941461882793729E+001  0.0000000000000000E+000  0.1002864452688939E-002
                        3                        4                        4                        0  0.8496753278901828E+001  0.0000000000000000E+000  0.4577909891320498E-003
                        3                        5                        5                        0  0.1002659725715074E+002  0.0000000000000000E+000  0.2402113931068208E-003
                        3                        6                        6                        0  0.1153834872389736E+002  0.0000000000000000E+000  0.1388825953696058E-003
                        3                        7                        7                        0  0.1303683529265042E+002  0.0000000000000000E+000  0.8626479723716668E-004
                        3                        8                        8                        0  0.1452539660477022E+002  0.0000000000000000E+000  0.5662817903477073E-004
                        3                        9                        9                        0  0.1600642787878778E+002  0.0000000000000000E+000  0.3884469075310561E-004
                        3                       10                       10                        0  0.1748168563265365E+002  0.0000000000000000E+000  0.2761560237041290E-004
                        3                       11                       11                        0  0.1895247056209132E+002  0.0000000000000000E+000  0.2022039026688762E-004
                        4                        0                        0                        0  0.2258849033743793E+001  0.0000000000000000E+000  0.3856636840598786E-001
                        4                        1                        1                        0  0.4092238262049810E+001  0.0000000000000000E+000  0.6987808830179506E-002
                        4                        2                        2                        0  0.5780000616524593E+001  0.0000000000000000E+000  0.1961018917158731E-002
                        4                        3                        3                        0  0.7399057783674897E+001  0.0000000000000000E+000  0.7645918169987108E-003
                        4                        4                        4                        0  0.8976059688514711E+001  0.0000000000000000E+000  0.3627697307985443E-003
                        4                        5                        5                        0  0.1052451060500870E+002  0.0000000000000000E+000  0.1957095272336723E-003
                        4                        6                        6                        0  0.1205247247269067E+002  0.0000000000000000E+000  0.1155876524693119E-003
                        4                        7                        7                        0  0.1356522704008863E+002  0.0000000000000000E+000  0.7303014129713683E-004
                        4                        8                        8                        0  0.1506644400679436E+002  0.0000000000000000E+000  0.4861877200006420E-004
                        4                        9                        9                        0  0.1655877138451772E+002  0.0000000000000000E+000  0.3374615658811023E-004
                        4                       10                       10                        0  0.1804416287574583E+002  0.0000000000000000E+000  0.2423214856858170E-004
                        4                       11                       11                        0  0.1952407444643594E+002  0.0000000000000000E+000  0.1789533371398123E-004
                        5                        0                        0                        0  0.2516476204594279E+001  0.0000000000000000E+000  0.2391909464602029E-001
                        5                        1                        1                        0  0.4431174273583993E+001  0.0000000000000000E+000  0.4903669586414748E-002
                        5                        2                        2                        0  0.6162606857915254E+001  0.0000000000000000E+000  0.1481746171911278E-002
                        5                        3                        3                        0  0.7813114137104244E+001  0.0000000000000000E+000  0.6038460194781547E-003
                        5                        4                        4                        0  0.9415302686656629E+001  0.0000000000000000E+000  0.2952578523112040E-003
                        5                        5                        5                        0  0.1098492587202137E+002  0.0000000000000000E+000  0.1628787996679642E-003
                        5                        6                        6                        0  0.1253115586760336E+002  0.0000000000000000E+000  0.9789326872740546E-004
                        5                        7                        7                        0  0.1405992878044290E+002  0.0000000000000000E+000  0.6273659426293716E-004
                        5                        8                        8                        0  0.1557534753626554E+002  0.0000000000000000E+000  0.4226451342375121E-004
                        5                        9                        9                        0  0.1708036788929175E+002  0.0000000000000000E+000  0.2963187822004688E-004
                        5                       10                       10                        0  0.1857717147037184E+002  0.0000000000000000E+000  0.2146116637505912E-004
                        6                        0                        0                        0  0.2736957409300090E+001  0.0000000000000000E+000  0.1623959327735463E-001
                        6                        1                        1                        0  0.4731820075333419E+001  0.0000000000000000E+000  0.3637849906036265E-002
                        6                        2                        2                        0  0.6509451978296180E+001  0.0000000000000000E+000  0.1161332581889594E-002
                        6                        3                        3                        0  0.8193503438748641E+001  0.0000000000000000E+000  0.4898934729152199E-003
                        6                        4                        4                        0  0.9822501384021882E+001  0.0000000000000000E+000  0.2454272590100010E-003
