                                                                                                                                                                                                                                                                
                        1                        2                        3                        4
                        l                     n_pg                Re(omega)                Im(omega)
                        4                        8  0.1506644400679436E+002  0.0000000000000000E+000
                        1                        2                        3                        4                        5
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)
  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.9999989778475690E-003  0.9519379255551355E-007  0.0000000000000000E+000  0.2379849934080897E-007  0.0000000000000000E+000
  0.1024998952293758E-002  0.1025131776512000E-006  0.0000000000000000E+000  0.2562837416550226E-007  0.0000000000000000E+000
  0.1049998926739947E-002  0.1101984518765251E-006  0.0000000000000000E+000  0.2754972127901206E-007  0.0000000000000000E+000
  0.1074998901186137E-002  0.1182585374855976E-006  0.0000000000000000E+000  0.2956477169085908E-007  0.0000000000000000E+000
  0.1099998875632326E-002  0.1267023567897022E-006  0.0000000000000000E+000  0.3167575637052178E-007  0.0000000000000000E+000
  0.1124998850078515E-002  0.1355388321268250E-006  0.0000000000000000E+000  0.3388490625285432E-007  0.0000000000000000E+000
  0.1149998824524704E-002  0.1447768858377089E-006  0.0000000000000000E+000  0.3619445224219836E-007  0.0000000000000000E+000
  0.1174998798970894E-002  0.1544254402468441E-006  0.0000000000000000E+000  0.3860662521550718E-007  0.0000000000000000E+000
  0.1199998773417083E-002  0.1644934176472192E-006  0.0000000000000000E+000  0.4112365602471872E-007  0.0000000000000000E+000
  0.1224998747863272E-002  0.1749897402879469E-006  0.0000000000000000E+000  0.4374777549855349E-007  0.0000000000000000E+000
  0.1249998722309461E-002  0.1859233303641036E-006  0.0000000000000000E+000  0.4648121444386813E-007  0.0000000000000000E+000
  0.1274998696755650E-002  0.1973031100082934E-006  0.0000000000000000E+000  0.4932620364666821E-007  0.0000000000000000E+000
  0.1299998671201839E-002  0.2091380012835375E-006  0.0000000000000000E+000  0.5228497387285118E-007  0.0000000000000000E+000
  0.1324998645648029E-002  0.2214369261772167E-006  0.0000000000000000E+000  0.5535975586874110E-007  0.0000000000000000E+000
  0.1349998620094218E-002  0.2342088065958386E-006  0.0000000000000000E+000  0.5855278036146041E-007  0.0000000000000000E+000
  0.1374998594540407E-002  0.2474625643604470E-006  0.0000000000000000E+000  0.6186627805916845E-007  0.0000000000000000E+000
  0.1399998568986597E-002  0.2612071212025552E-006  0.0000000000000000E+000  0.6530247965119924E-007  0.0000000000000000E+000
  0.1424998543432786E-002  0.2754513987604915E-006  0.0000000000000000E+000  0.6886361580811690E-007  0.0000000000000000E+000
  0.1449998517878975E-002  0.2902043185760660E-006  0.0000000000000000E+000  0.7255191718170321E-007  0.0000000000000000E+000
  0.1499998466771354E-002  0.3212717707858749E-006  0.0000000000000000E+000  0.8031893806378715E-007  0.0000000000000000E+000
  0.1549998415663732E-002  0.3544808479795904E-006  0.0000000000000000E+000  0.8862138716170188E-007  0.0000000000000000E+000
  0.1599998364556110E-002  0.3899029187298581E-006  0.0000000000000000E+000  0.9747710900200394E-007  0.0000000000000000E+000
  0.1649998313448489E-002  0.4276093498121872E-006  0.0000000000000000E+000  0.1069039477963661E-006  0.0000000000000000E+000
  0.1699998262340867E-002  0.4676715061337335E-006  0.0000000000000000E+000  0.1169197474341765E-006  0.0000000000000000E+000
  0.1749998211233246E-002  0.5101607506656397E-006  0.0000000000000000E+000  0.1275423514744228E-006  0.0000000000000000E+000
  0.1799998160125624E-002  0.5551484443778404E-006  0.0000000000000000E+000  0.1387896031370895E-006  0.0000000000000000E+000
  0.1849998109018003E-002  0.6027059461755563E-006  0.0000000000000000E+000  0.1506793452942154E-006  0.0000000000000000E+000
  0.1899998057910381E-002  0.6529046128369876E-006  0.0000000000000000E+000  0.1632294204607150E-006  0.0000000000000000E+000
  0.1949998006802759E-002  0.7058157989518411E-006  0.0000000000000000E+000  0.1764576707850310E-006  0.0000000000000000E+000
  0.1999997955695138E-002  0.7615108568604816E-006  0.0000000000000000E+000  0.1903819380396692E-006  0.0000000000000000E+000
  0.2041664579772120E-002  0.8101014493325291E-006  0.0000000000000000E+000  0.2025300453801987E-006  0.0000000000000000E+000
  0.2083331203849102E-002  0.8607161240455379E-006  0.0000000000000000E+000  0.2151842122950694E-006  0.0000000000000000E+000
  0.2124997827926084E-002  0.9133961690869682E-006  0.0000000000000000E+000  0.2283547632486694E-006  0.0000000000000000E+000
  0.2166664452003066E-002  0.9681828713514836E-006  0.0000000000000000E+000  0.2420520225059321E-006  0.0000000000000000E+000
  0.2208331076080049E-002  0.1025117516516762E-005  0.0000000000000000E+000  0.2562863141283961E-006  0.0000000000000000E+000
  0.2249997700157031E-002  0.1084241389019384E-005  0.0000000000000000E+000  0.2710679619702652E-006  0.0000000000000000E+000
  0.2291664324234013E-002  0.1145595772030739E-005  0.0000000000000000E+000  0.2864072896744485E-006  0.0000000000000000E+000
  0.2333330948310995E-002  0.1209221947432966E-005  0.0000000000000000E+000  0.3023146206685989E-006  0.0000000000000000E+000
  0.2374997572387977E-002  0.1275161195794941E-005  0.0000000000000000E+000  0.3188002781611463E-006  0.0000000000000000E+000
  0.2416664196464958E-002  0.1343454796348270E-005  0.0000000000000000E+000  0.3358745851373266E-006  0.0000000000000000E+000
  0.2499997444618923E-002  0.1487270166275592E-005  0.0000000000000000E+000  0.3718304379119016E-006  0.0000000000000000E+000
